Date,Location,ShortName,LongName,Administered_Daily,Administered_Cumulative,Administered_7_Day_Rolling_Average,Admin_Dose_1_Daily,Admin_Dose_1_Cumulative,Admin_Dose_1_Day_Rolling_Average,Admin_Dose_2_Daily,Admin_Dose_2_Cumulative,Admin_Dose_2_Day_Rolling_Average,date_type,Administered_daily_change_report,Administered_daily_change_report_7dayroll
2020-12-13,US,USA,United States,12081,12081,12081,10568,10568,10568,1355,1355,1355,Admin,,
2020-12-14,US,USA,United States,3617,15698,7849,3498,14066,7033,4,1359,680,Admin,,
2020-12-15,US,USA,United States,48835,64533,21511,45415,59481,19827,23,1382,461,Admin,,
2020-12-16,US,USA,United States,157381,221914,55478,150541,210022,52506,188,1570,393,Admin,,
2020-12-17,US,USA,United States,269561,491475,98295,258780,468802,93760,473,2043,409,Admin,,
2020-12-18,US,USA,United States,408715,900190,150031,397555,866357,144393,535,2578,430,Admin,,
2020-12-19,US,USA,United States,178256,1078446,154063,173730,1040087,148584,680,3258,465,Admin,,
2020-12-20,US,USA,United States,101695,1180141,166865,99585,1139672,161301,444,3702,335,Admin,,
2020-12-21,US,USA,United States,373371,1553512,219687,365166,1504838,212967,702,4404,435,Admin,,
2020-12-22,US,USA,United States,440193,1993705,275596,431156,1935994,268073,1848,6252,696,Admin,,
2020-12-23,US,USA,United States,557161,2550866,332707,545245,2481239,324460,1556,7808,891,Admin,,
2020-12-24,US,USA,United States,190928,2741794,321474,185391,2666630,313975,875,8683,949,Admin,,
2020-12-25,US,USA,United States,11883,2753677,264783,11797,2678427,258867,33,8716,877,Admin,,
2020-12-26,US,USA,United States,136334,2890011,258795,133910,2812337,253179,297,9013,822,Admin,,
2020-12-27,US,USA,United States,91417,2981428,257326,89580,2901917,251749,280,9293,799,Admin,,
2020-12-28,US,USA,United States,565583,3547011,284785,551857,3453774,278419,2085,11378,996,Admin,,
2020-12-29,US,USA,United States,694116,4241127,321060,673648,4127422,313061,2591,13969,1102,Admin,,
2020-12-30,US,USA,United States,811771,5052898,357433,789501,4916923,347955,4835,18804,1571,Admin,,
2020-12-31,US,USA,United States,407332,5460230,388348,396380,5313303,378096,1506,20310,1661,Admin,,
