Date,Location,ShortName,LongName,Administered_Daily,Administered_Cumulative,Administered_7_Day_Rolling_Average,Admin_Dose_1_Daily,Admin_Dose_1_Cumulative,Admin_Dose_1_Day_Rolling_Average,Admin_Dose_2_Daily,Admin_Dose_2_Cumulative,Admin_Dose_2_Day_Rolling_Average,date_type,Administered_daily_change_report,Administered_daily_change_report_7dayroll
2020-12-13,US,USA,United States,12083,12083,12083,10570,10570,10570,1355,1355,1355,Admin,,
2020-12-14,US,USA,United States,3622,15705,7852,3503,14073,7037,4,1359,680,Admin,,
2020-12-15,US,USA,United States,48917,64622,21540,45494,59567,19856,23,1382,461,Admin,,
2020-12-16,US,USA,United States,157500,222122,55530,150659,210226,52557,189,1571,393,Admin,,
2020-12-17,US,USA,United States,269742,491864,98372,258959,469185,93837,473,2044,409,Admin,,
2020-12-18,US,USA,United States,408940,900804,150134,397758,866943,144491,543,2587,431,Admin,,
2020-12-19,US,USA,United States,178388,1079192,154170,173842,1040785,148684,684,3271,467,Admin,,
2020-12-20,US,USA,United States,101735,1180927,166977,99622,1140407,161405,446,3717,337,Admin,,
2020-12-21,US,USA,United States,374004,1554931,219889,365780,1506187,213159,712,4429,439,Admin,,
2020-12-22,US,USA,United States,440620,1995551,275847,431578,1937765,268314,1850,6279,700,Admin,,
2020-12-23,US,USA,United States,557577,2553128,333000,545655,2483420,324742,1558,7837,895,Admin,,
2020-12-24,US,USA,United States,190978,2744106,321748,185441,2668861,314239,875,8712,953,Admin,,
2020-12-25,US,USA,United States,11887,2755993,265027,11801,2680662,259103,33,8745,880,Admin,,
2020-12-26,US,USA,United States,136349,2892342,259021,133925,2814587,253400,297,9042,824,Admin,,
2020-12-27,US,USA,United States,91435,2983777,257550,89597,2904184,251968,280,9322,801,Admin,,
2020-12-28,US,USA,United States,565910,3549687,284965,552179,3456363,278597,2089,11411,997,Admin,,
2020-12-29,US,USA,United States,694423,4244110,321222,673953,4130316,313222,2591,14002,1103,Admin,,
2020-12-30,US,USA,United States,812143,5056253,357589,789868,4920184,348109,4835,18837,1571,Admin,,
2020-12-31,US,USA,United States,407564,5463817,388530,396608,5316792,378276,1509,20346,1662,Admin,,
2021-01-01,US,USA,United States,39596,5503413,392488,38146,5354938,382039,786,21132,1770,Admin,,
2021-01-02,US,USA,United States,244561,5747974,407947,238147,5593085,396928,1829,22961,1988,Admin,,
2021-01-03,US,USA,United States,124889,5872863,412726,119237,5712322,401163,1887,24848,2218,Admin,,
2021-01-04,US,USA,United States,615923,6488786,419871,562628,6274950,402655,40965,65813,7772,Admin,,
2021-01-05,US,USA,United States,774792,7263578,431352,681719,6956669,403765,80358,146171,18881,Admin,,
2021-01-06,US,USA,United States,959396,8222974,452388,780882,7737551,402481,162052,308223,41341,Admin,,
