Date,Location,ShortName,LongName,Administered_Daily,Administered_Cumulative,Administered_7_Day_Rolling_Average,Admin_Dose_1_Daily,Admin_Dose_1_Cumulative,Admin_Dose_1_Day_Rolling_Average,Admin_Dose_2_Daily,Admin_Dose_2_Cumulative,Admin_Dose_2_Day_Rolling_Average,Series_Complete_Daily,Series_Complete_Cumulative,Series_Complete_Day_Rolling_Average,date_type,Administered_daily_change_report,Administered_daily_change_report_7dayroll
2020-12-13,US,USA,United States,12596,12596,12596,11073,11073,11073,1355,1355,1355,1422,1422,1422,Admin,,
2020-12-14,US,USA,United States,3762,16358,8179,3634,14707,7354,5,1360,680,17,1439,719,Admin,,
2020-12-15,US,USA,United States,49448,65806,21935,45980,60687,20229,26,1386,462,37,1476,492,Admin,,
2020-12-16,US,USA,United States,159305,225111,56277,152397,213084,53271,203,1589,397,212,1688,422,Admin,,
2020-12-17,US,USA,United States,271840,496951,99390,260799,473883,94777,511,2100,420,527,2215,443,Admin,,
2020-12-18,US,USA,United States,414267,911218,151869,402553,876436,146073,618,2718,453,618,2833,472,Admin,,
2020-12-19,US,USA,United States,180704,1091922,155988,175850,1052286,150327,731,3449,493,732,3565,509,Admin,,
2020-12-20,US,USA,United States,103401,1195323,168961,101062,1153348,163182,507,3956,372,542,4107,383,Admin,,
2020-12-21,US,USA,United States,378226,1573549,222455,369627,1522975,215467,845,4801,492,849,4956,502,Admin,,
2020-12-22,US,USA,United States,444988,2018537,278961,435596,1958571,271126,2094,6895,787,2097,7053,796,Admin,,
2020-12-23,US,USA,United States,564636,2583173,336866,552404,2510975,328270,1677,8572,998,1679,8732,1006,Admin,,
2020-12-24,US,USA,United States,193181,2776354,325629,187579,2698554,317810,870,9442,1049,873,9605,1055,Admin,,
2020-12-25,US,USA,United States,12068,2788422,268172,11958,2710512,262011,52,9494,968,52,9657,974,Admin,,
2020-12-26,US,USA,United States,137718,2926140,262031,135149,2845661,256196,366,9860,916,368,10025,922,Admin,,
2020-12-27,US,USA,United States,92749,3018889,260509,90788,2936449,254729,335,10195,891,382,10407,900,Admin,,
2020-12-28,US,USA,United States,573235,3592124,288367,558907,3495356,281769,2343,12538,1105,2347,12754,1114,Admin,,
2020-12-29,US,USA,United States,702391,4294515,325139,681049,4176405,316833,3053,15591,1242,3057,15811,1251,Admin,,
2020-12-30,US,USA,United States,820918,5115433,361751,797454,4973859,351841,5545,21136,1795,5548,21359,1803,Admin,,
2020-12-31,US,USA,United States,412399,5527832,393068,400755,5374614,382294,2048,23184,1963,2049,23408,1971,Admin,,
2021-01-01,US,USA,United States,46512,5574344,397988,44112,5418726,386888,1597,24781,2184,1665,25073,2202,Admin,,
2021-01-02,US,USA,United States,249234,5823578,413919,242284,5661010,402193,2233,27014,2451,2240,27313,2469,Admin,,
2021-01-03,US,USA,United States,129548,5953126,419176,123264,5784274,406832,2108,29122,2704,2110,29423,2716,Admin,,
2021-01-04,US,USA,United States,627538,6580664,426934,572576,6356850,408785,42076,71198,8380,42088,71511,8393,Admin,,
2021-01-05,US,USA,United States,790468,7371132,439516,694775,7051625,410746,82323,153521,19704,82334,153845,19719,Admin,,
2021-01-06,US,USA,United States,985738,8356870,463062,802503,7854128,411467,165930,319451,42616,165949,319794,42633,Admin,,
2021-01-07,US,USA,United States,1122882,9479752,564560,832465,8686593,473140,268943,588394,80744,268951,588745,80762,Admin,,
2021-01-08,US,USA,United States,1187591,10667343,727571,814156,9500749,583146,350511,938905,130589,350528,939273,130600,Admin,,
2021-01-09,US,USA,United States,487768,11155111,761647,356474,9857223,599459,123760,1062665,147950,123764,1063037,147960,Admin,,
2021-01-10,US,USA,United States,237549,11392660,777076,167017,10024240,605709,66943,1129608,157212,66952,1129989,157223,Admin,,
2021-01-11,US,USA,United States,1025358,12418018,833907,693546,10717786,622991,313052,1442660,195923,313067,1443056,195935,Admin,,
2021-01-12,US,USA,United States,1201192,13619210,892582,876262,11594048,648918,304919,1747579,227723,304938,1747994,227735,Admin,,
2021-01-13,US,USA,United States,1275724,14894934,934009,994431,12588479,676336,262940,2010519,241581,262951,2010945,241593,Admin,,
2021-01-14,US,USA,United States,1265197,16160131,954339,1119639,13708118,717361,128798,2139317,221560,128808,2139753,221572,Admin,,
2021-01-15,US,USA,United States,1208667,17368798,957350,1082407,14790525,755682,113410,2252727,187689,113426,2253179,187700,Admin,,
2021-01-16,US,USA,United States,626478,17995276,977166,553618,15344143,783846,67749,2320476,179687,67759,2320938,179700,Admin,,
2021-01-17,US,USA,United States,292161,18287437,984968,250550,15594693,795779,39371,2359847,175748,39372,2360310,175760,Admin,,
2021-01-18,US,USA,United States,836269,19123706,957955,615131,16209824,784577,214469,2574316,161665,214484,2574794,161676,Admin,,
2021-01-19,US,USA,United States,1293967,20417673,971209,943098,17152922,794125,335245,2909561,165997,335252,2910046,166007,Admin,,
2021-01-20,US,USA,United States,1558343,21976016,1011583,1138140,18291062,814655,400705,3310266,185678,400715,3310761,185688,Admin,,
2021-01-21,US,USA,United States,1574136,23550152,1055717,1296990,19588052,839991,256703,3566969,203950,256725,3567486,203961,Admin,,
2021-01-22,US,USA,United States,1569691,25119843,1107292,1354562,20942614,878870,197361,3764330,215943,197375,3764861,215954,Admin,,
2021-01-23,US,USA,United States,878743,25998586,1143330,726315,21668929,903541,141753,3906083,226515,141758,3906619,226525,Admin,,
2021-01-24,US,USA,United States,380311,26378897,1155922,293270,21962199,909644,82268,3988351,232643,82272,3988891,232654,Admin,,
2021-01-25,US,USA,United States,1304979,27683876,1222881,830501,22792700,940411,457653,4446004,267384,457663,4446554,267394,Admin,,
2021-01-26,US,USA,United States,1604256,29288132,1267208,1034553,23827253,953476,548637,4994641,297869,548650,4995204,297879,Admin,,
2021-01-27,US,USA,United States,1859953,31148085,1310295,1219484,25046737,965096,612912,5607553,328184,612925,5608129,328195,Admin,,
2021-01-28,US,USA,United States,1884009,33032094,1354563,1340305,26387042,971284,522739,6130292,366189,522769,6130898,366201,Admin,,
2021-01-29,US,USA,United States,1834217,34866311,1392352,1331844,27718886,968039,467349,6597641,404759,467361,6598259,404771,Admin,,
2021-01-30,US,USA,United States,986175,35852486,1407700,745677,28464563,970805,228314,6825955,417125,228316,6826575,417136,Admin,,
2021-01-31,US,USA,United States,441646,36294132,1416462,318911,28783474,974468,116992,6942947,422085,116994,6943569,422096,Admin,,
2021-02-01,US,USA,United States,1259568,37553700,1409974,715785,29499259,958080,523608,7466555,431507,523667,7467236,431526,Admin,,
2021-02-02,US,USA,United States,1609188,39162888,1410679,935914,30435173,943989,653313,8119868,446461,653350,8120586,446483,Admin,,
2021-02-03,US,USA,United States,2052588,41215476,1438198,1235288,31670461,946246,789472,8909340,471684,789496,8910082,471707,Admin,,
