Date,Location,ShortName,LongName,Administered_Daily,Administered_Cumulative,Administered_7_Day_Rolling_Average,Admin_Dose_1_Daily,Admin_Dose_1_Cumulative,Admin_Dose_1_Day_Rolling_Average,Series_Complete_Daily,Series_Complete_Cumulative,Series_Complete_Day_Rolling_Average,date_type,Administered_daily_change_report,Administered_daily_change_report_7dayroll
2020-12-13,US,USA,United States,32368,32368,32368,26808,26808,26808,6583,6583,6583,Admin,,
2020-12-14,US,USA,United States,4603,36971,18486,4442,31250,15625,128,6711,3356,Admin,,
2020-12-15,US,USA,United States,48014,84985,28328,45848,77098,25699,266,6977,2326,Admin,,
2020-12-16,US,USA,United States,159443,244428,61107,154223,231321,57830,455,7432,1858,Admin,,
2020-12-17,US,USA,United States,272768,517196,103439,265869,497190,99438,761,8193,1639,Admin,,
2020-12-18,US,USA,United States,416746,933942,155657,408289,905479,150913,1215,9408,1568,Admin,,
2020-12-19,US,USA,United States,182167,1116109,159444,178285,1083764,154823,1075,10483,1498,Admin,,
2020-12-20,US,USA,United States,105660,1221769,169914,103684,1187448,165806,731,11214,662,Admin,,
2020-12-21,US,USA,United States,382621,1604390,223917,375869,1563317,218867,1516,12730,860,Admin,,
2020-12-22,US,USA,United States,448559,2052949,281138,439876,2003193,275156,2968,15698,1246,Admin,,
2020-12-23,US,USA,United States,574956,2627905,340497,563388,2566581,333609,3087,18785,1622,Admin,,
2020-12-24,US,USA,United States,196162,2824067,329553,191321,2757902,322959,1113,19898,1672,Admin,,
2020-12-25,US,USA,United States,12735,2836802,271837,12572,2770474,266428,107,20005,1514,Admin,,
2020-12-26,US,USA,United States,141641,2978443,266048,138411,2908885,260732,962,20967,1498,Admin,,
2020-12-27,US,USA,United States,96383,3074826,264722,93691,3002576,259304,736,21703,1498,Admin,,
2020-12-28,US,USA,United States,591659,3666485,294585,577610,3580186,288124,4282,25985,1894,Admin,,
2020-12-29,US,USA,United States,722192,4388677,333675,704041,4284227,325862,5275,31260,2223,Admin,,
2020-12-30,US,USA,United States,843671,5232348,372063,825065,5109292,363244,7853,39113,2904,Admin,,
2020-12-31,US,USA,United States,421075,5653423,404194,411751,5521043,394734,3213,42326,3204,Admin,,
2021-01-01,US,USA,United States,109007,5762430,417947,98601,5619644,407024,7269,49595,4227,Admin,,
2021-01-02,US,USA,United States,264226,6026656,435459,256253,5875897,423859,2898,52493,4504,Admin,,
2021-01-03,US,USA,United States,139234,6165890,441581,132334,6008231,429379,2470,54963,4751,Admin,,
2021-01-04,US,USA,United States,658223,6824113,451090,600630,6608861,432668,44960,99923,10563,Admin,,
2021-01-05,US,USA,United States,832057,7656170,466785,732143,7341004,436682,87615,187538,22325,Admin,,
2021-01-06,US,USA,United States,1023659,8679829,492497,832591,8173595,437758,172761,360299,45884,Admin,,
2021-01-07,US,USA,United States,1171049,9850878,599636,867933,9041528,502926,281401,641700,85625,Admin,,
2021-01-08,US,USA,United States,1237367,11088245,760831,849316,9890844,610171,363965,1005665,136581,Admin,,
2021-01-09,US,USA,United States,508906,11597151,795785,371039,10261883,626569,128891,1134556,154580,Admin,,
2021-01-10,US,USA,United States,251768,11848919,811861,176796,10438679,632921,69748,1204304,164192,Admin,,
2021-01-11,US,USA,United States,1071237,12920156,870863,725155,11163834,650710,323117,1527421,203928,Admin,,
2021-01-12,US,USA,United States,1259875,14180031,931980,918704,12082538,677362,315011,1842432,236413,Admin,,
2021-01-13,US,USA,United States,1325008,15505039,975030,1031528,13114066,705782,271006,2113438,250448,Admin,,
2021-01-14,US,USA,United States,1317116,16822155,995897,1158646,14272712,747312,136105,2249543,229692,Admin,,
2021-01-15,US,USA,United States,1258516,18080671,998918,1118416,15391128,785755,121168,2370711,195007,Admin,,
2021-01-16,US,USA,United States,650655,18731326,1019168,567793,15958921,813863,72125,2442836,186897,Admin,,
2021-01-17,US,USA,United States,306262,19037588,1026953,256626,16215547,825267,42227,2485063,182966,Admin,,
2021-01-18,US,USA,United States,886450,19924038,1000555,639584,16855131,813042,228385,2713448,169432,Admin,,
2021-01-19,US,USA,United States,1347538,21271576,1013078,966880,17822011,819925,357298,3070746,175473,Admin,,
2021-01-20,US,USA,United States,1606484,22878060,1053289,1156139,18978150,837726,422009,3492755,197045,Admin,,
2021-01-21,US,USA,United States,1634813,24512873,1098674,1332911,20311061,862621,275685,3768440,216985,Admin,,
2021-01-22,US,USA,United States,1630321,26143194,1151789,1394878,21705939,902116,210223,3978663,229707,Admin,,
2021-01-23,US,USA,United States,909762,27052956,1188804,744722,22450661,927391,151281,4129944,241015,Admin,,
2021-01-24,US,USA,United States,396459,27449415,1201690,300739,22751400,933693,88600,4218544,247640,Admin,,
2021-01-25,US,USA,United States,1375580,28824995,1271565,861351,23612751,965374,490569,4709113,285095,Admin,,
2021-01-26,US,USA,United States,1664794,30489789,1316888,1054340,24667091,977869,583546,5292659,317416,Admin,,
2021-01-27,US,USA,United States,1936310,32426099,1364006,1252999,25920090,991706,650114,5942773,350003,Admin,,
2021-01-28,US,USA,United States,1965655,34391754,1411269,1372287,27292377,997331,559726,6502499,390580,Admin,,
2021-01-29,US,USA,United States,1917953,36309707,1452359,1374695,28667072,994448,497509,7000008,431621,Admin,,
2021-01-30,US,USA,United States,1020243,37329950,1468142,759472,29426544,996555,243205,7243213,444753,Admin,,
2021-01-31,US,USA,United States,460671,37790621,1477315,322720,29749264,999695,127649,7370862,450331,Admin,,
2021-02-01,US,USA,United States,1391724,39182345,1479621,773389,30522653,987129,576019,7946881,462538,Admin,,
2021-02-02,US,USA,United States,1700129,40882474,1484669,964789,31487442,974336,701303,8648184,479361,Admin,,
2021-02-03,US,USA,United States,2142956,43025430,1514190,1262125,32749567,975640,836438,9484622,505978,Admin,,
2021-02-04,US,USA,United States,2350099,45375529,1569111,1390249,34139816,978206,915050,10399672,556739,Admin,,
2021-02-05,US,USA,United States,2359630,47735159,1632207,1356870,35496686,975659,962996,11362668,623237,Admin,,
2021-02-06,US,USA,United States,1303924,49039083,1672733,854023,36350709,989166,422919,11785587,648911,Admin,,
2021-02-07,US,USA,United States,445553,49484636,1670574,277627,36628336,982725,157278,11942865,653143,Admin,,
2021-02-08,US,USA,United States,1582872,51067508,1697880,838513,37466849,992028,706907,12649772,671842,Admin,,
2021-02-09,US,USA,United States,1977481,53044989,1737502,1038236,38505085,1002520,897616,13547388,699886,Admin,,
2021-02-10,US,USA,United States,2309174,55354163,1761248,1230454,39735539,997996,1038199,14585587,728709,Admin,,
2021-02-11,US,USA,United States,2410790,57764953,1769918,1278155,41013694,981983,1091720,15677307,753948,Admin,,
2021-02-12,US,USA,United States,2589113,60354066,1802701,1380098,42393792,985301,1159428,16836735,782010,Admin,,
2021-02-13,US,USA,United States,1478069,61832135,1827579,870811,43264603,987699,573249,17409984,803485,Admin,,
2021-02-14,US,USA,United States,593649,62425784,1848735,346955,43611558,997603,229635,17639619,813822,Admin,,
2021-02-15,US,USA,United States,1180644,63606428,1791274,610812,44222370,965074,535975,18175594,789403,Admin,,
2021-02-16,US,USA,United States,1623943,65230371,1740769,797557,45019927,930692,789067,18964661,773896,Admin,,
2021-02-17,US,USA,United States,1968663,67199034,1692124,933941,45953868,888333,992096,19956757,767310,Admin,,
2021-02-18,US,USA,United States,1860584,69059618,1613524,834518,46788386,824956,976670,20933427,750874,Admin,,
2021-02-19,US,USA,United States,1970320,71029938,1525125,824516,47612902,745587,1097505,22030932,742028,Admin,,
2021-02-20,US,USA,United States,1308031,72337969,1500833,597316,48210218,706516,681159,22712091,757444,Admin,,
2021-02-21,US,USA,United States,597258,72935227,1501349,254758,48464976,693345,324157,23036248,770947,Admin,,
2021-02-22,US,USA,United States,1464497,74399724,1541899,617989,49082965,694371,803383,23839631,809148,Admin,,
2021-02-23,US,USA,United States,1942133,76341857,1587355,867628,49950593,704381,1028093,24867724,843295,Admin,,
2021-02-24,US,USA,United States,2532556,78874413,1667911,1246640,51197233,749052,1236117,26103841,878155,Admin,,
2021-02-25,US,USA,United States,2943476,81817889,1822610,1538413,52735646,849609,1344039,27447880,930636,Admin,,
2021-02-26,US,USA,United States,3119779,84937668,1986819,1674502,54410148,971035,1385180,28833060,971733,Admin,,
2021-02-27,US,USA,United States,1999097,86936765,2085542,1141988,55552136,1048845,818705,29651765,991382,Admin,,
2021-02-28,US,USA,United States,857437,87794202,2122711,535480,56087616,1088949,295682,29947447,987314,Admin,,
2021-03-01,US,USA,United States,2061646,89855848,2208018,1204491,57292107,1172735,797448,30744895,986466,Admin,,
2021-03-02,US,USA,United States,2468462,92324310,2283208,1465664,58757771,1258168,962152,31707047,977046,Admin,,
2021-03-03,US,USA,United States,2909272,95233582,2337024,1744822,60502593,1329337,1124868,32831915,961153,Admin,,
2021-03-04,US,USA,United States,3208555,98442137,2374893,1958767,62461360,1389388,1245533,34077448,947081,Admin,,
2021-03-05,US,USA,United States,3234532,101676669,2391286,2006040,64467400,1436750,1308730,35386178,936160,Admin,,
2021-03-06,US,USA,United States,2062555,103739224,2400351,1352295,65819695,1466794,863822,36250000,942605,Admin,,
2021-03-07,US,USA,United States,926633,104665857,2410236,678240,66497935,1487188,343946,36593946,949500,Admin,,
2021-03-08,US,USA,United States,2168974,106834831,2425569,1484734,67982669,1527223,852704,37446650,957394,Admin,,
2021-03-09,US,USA,United States,2712552,109547383,2460439,1812227,69794896,1576732,1082386,38529036,974570,Admin,,
2021-03-10,US,USA,United States,3130410,112677793,2492030,2065858,71860754,1622594,1270475,39799511,995371,Admin,,
2021-03-11,US,USA,United States,3445850,116123643,2525929,2280252,74141006,1668521,1401813,41201324,1017697,Admin,,
2021-03-12,US,USA,United States,3433070,119556713,2554292,2120363,76261369,1684853,1530664,42731988,1049401,Admin,,
2021-03-13,US,USA,United States,2194822,121751535,2573187,1386422,77647791,1689728,1019748,43751736,1071677,Admin,,
2021-03-14,US,USA,United States,985447,122736982,2581589,649035,78296826,1685556,427167,44178903,1083565,Admin,,
2021-03-15,US,USA,United States,2286784,125023766,2598419,1500141,79796967,1687757,870669,45049572,1086132,Admin,,
2021-03-16,US,USA,United States,2892936,127916702,2624188,1932992,81729959,1705009,1050268,46099840,1081543,Admin,,
2021-03-17,US,USA,United States,3174345,131091047,2630465,2130617,83860576,1714260,1132312,47232152,1061806,Admin,,
2021-03-18,US,USA,United States,3408678,134499725,2625155,2299081,86159657,1716950,1206575,48438727,1033915,Admin,,
2021-03-19,US,USA,United States,3344028,137843753,2612434,2217070,88376727,1730765,1224931,49663658,990239,Admin,,
2021-03-20,US,USA,United States,2159952,140003705,2607453,1413588,89790315,1734646,861113,50524771,967576,Admin,,
2021-03-21,US,USA,United States,1022480,141026185,2612743,684886,90475201,1739768,372213,50896984,959726,Admin,,
2021-03-22,US,USA,United States,2369471,143395656,2624556,1606727,92081928,1754994,808772,51705756,950883,Admin,,
2021-03-23,US,USA,United States,3071957,146467613,2650130,1986615,94068543,1762655,1154394,52860150,965759,Admin,,
2021-03-24,US,USA,United States,3565218,150032831,2705969,2212744,96281287,1774387,1425195,54285345,1007599,Admin,,
2021-03-25,US,USA,United States,3844128,153876959,2768176,2270650,98551937,1770326,1650994,55936339,1071087,Admin,,
2021-03-26,US,USA,United States,3837561,157714520,2838681,2107663,100659600,1754696,1803316,57739655,1153714,Admin,,
2021-03-27,US,USA,United States,2478462,160192982,2884182,1373681,102033281,1748995,1165883,58905538,1197252,Admin,,
2021-03-28,US,USA,United States,1213141,161406123,2911420,673352,102706633,1747347,551781,59457319,1222905,Admin,,
2021-03-29,US,USA,United States,2845187,164251310,2979379,1611499,104318132,1748029,1276754,60734073,1289760,Admin,,
2021-03-30,US,USA,United States,3601556,167852866,3055036,2017688,106335820,1752468,1664394,62398467,1362617,Admin,,
2021-03-31,US,USA,United States,4180202,172033068,3142891,2416441,108752261,1781568,1942608,64341075,1436533,Admin,,
2021-04-01,US,USA,United States,4570448,176603516,3246651,2537031,111289292,1819622,2246512,66587587,1521607,Admin,,
2021-04-02,US,USA,United States,3664609,180268125,3221944,2063219,113352511,1813273,1819097,68406684,1523861,Admin,,
2021-04-03,US,USA,United States,2306909,182575034,3197436,1328008,114680519,1806748,1160598,69567282,1523106,Admin,,
2021-04-04,US,USA,United States,765313,183340347,3133461,438744,115119263,1773233,372088,69939370,1497436,Admin,,
2021-04-05,US,USA,United States,3112486,186452833,3171646,1738547,116857810,1791383,1604424,71543794,1544246,Admin,,
2021-04-06,US,USA,United States,3986964,190439797,3226704,2293727,119151537,1830817,2083382,73627176,1604101,Admin,,
