Date,Location,ShortName,LongName,Administered_Daily,Administered_Cumulative,Administered_7_Day_Rolling_Average,Admin_Dose_1_Daily,Admin_Dose_1_Cumulative,Admin_Dose_1_Day_Rolling_Average,Admin_Dose_2_Daily,Admin_Dose_2_Cumulative,Admin_Dose_2_Day_Rolling_Average,Series_Complete_Daily,Series_Complete_Cumulative,Series_Complete_Day_Rolling_Average,date_type,Administered_daily_change_report,Administered_daily_change_report_7dayroll
2020-12-13,US,USA,United States,13227,13227,13227,11701,11701,11701,1355,1355,1355,1510,1510,1510,Admin,,
2020-12-14,US,USA,United States,3913,17140,8570,3783,15484,7742,5,1360,680,33,1543,771,Admin,,
2020-12-15,US,USA,United States,49743,66883,22294,46270,61754,20585,27,1387,462,65,1608,536,Admin,,
2020-12-16,US,USA,United States,159587,226470,56617,152587,214341,53585,209,1596,399,249,1857,464,Admin,,
2020-12-17,US,USA,United States,274414,500884,100176,262994,477335,95467,549,2145,429,578,2435,487,Admin,,
2020-12-18,US,USA,United States,418096,918980,153163,405418,882753,147126,691,2836,473,701,3136,522,Admin,,
2020-12-19,US,USA,United States,182046,1101026,157289,176610,1059363,151338,793,3629,518,795,3931,561,Admin,,
2020-12-20,US,USA,United States,104433,1205459,170318,101743,1161106,164201,532,4161,401,571,4502,427,Admin,,
2020-12-21,US,USA,United States,381184,1586643,224214,371674,1532780,216757,912,5073,530,926,5428,555,Admin,,
2020-12-22,US,USA,United States,446845,2033488,280943,437104,1969884,272590,2154,7227,834,2165,7593,855,Admin,,
2020-12-23,US,USA,United States,567937,2601425,339279,555246,2525130,330113,1798,9025,1061,1804,9397,1077,Admin,,
2020-12-24,US,USA,United States,194276,2795701,327831,188532,2713662,319475,913,9938,1113,919,10316,1125,Admin,,
2020-12-25,US,USA,United States,12241,2807942,269851,12119,2725781,263290,58,9996,1023,58,10374,1034,Admin,,
2020-12-26,US,USA,United States,138335,2946277,263607,135682,2861463,257443,415,10411,969,419,10793,980,Admin,,
2020-12-27,US,USA,United States,93194,3039471,262001,91134,2952597,255927,376,10787,947,423,11216,959,Admin,,
2020-12-28,US,USA,United States,578473,3617944,290185,563692,3516289,283358,2556,13343,1181,2564,13780,1193,Admin,,
2020-12-29,US,USA,United States,707941,4325885,327485,685345,4201634,318821,3866,17209,1426,3875,17655,1437,Admin,,
2020-12-30,US,USA,United States,827812,5153697,364610,803374,5005008,354268,6076,23285,2037,6083,23738,2048,Admin,,
2020-12-31,US,USA,United States,415442,5569139,396205,403243,5408251,384941,2394,25679,2249,2398,26136,2260,Admin,,
2021-01-01,US,USA,United States,52919,5622058,402016,49770,5458021,390320,2276,27955,2566,2456,28592,2602,Admin,,
2021-01-02,US,USA,United States,252120,5874178,418271,244450,5702471,405858,2453,30408,2857,2464,31056,2894,Admin,,
2021-01-03,US,USA,United States,130949,6005127,423665,124159,5826630,410576,2225,32633,3121,2228,33284,3152,Admin,,
2021-01-04,US,USA,United States,634280,6639407,431637,577853,6404483,412599,43046,75679,8905,43074,76358,8939,Admin,,
2021-01-05,US,USA,United States,800740,7440147,444894,703099,7107582,415135,83387,159066,20265,83412,159770,20302,Admin,,
2021-01-06,US,USA,United States,995752,8435899,468886,809780,7917362,416051,167818,326884,43371,167867,327637,43414,Admin,,
2021-01-07,US,USA,United States,1132696,9568595,571350,838636,8755998,478250,271751,598635,81851,271768,599405,81895,Admin,,
2021-01-08,US,USA,United States,1197471,10766066,734858,819965,9575963,588277,353902,952537,132083,353932,953337,132106,Admin,,
2021-01-09,US,USA,United States,492983,11259049,769267,360111,9936074,604800,124951,1077488,149583,124957,1078294,149605,Admin,,
2021-01-10,US,USA,United States,240502,11499551,784917,168769,10104843,611173,67661,1145149,158931,67675,1145969,158955,Admin,,
