Date,Location,ShortName,LongName,Administered_Daily,Administered_Cumulative,Administered_7_Day_Rolling_Average,Admin_Dose_1_Daily,Admin_Dose_1_Cumulative,Admin_Dose_1_Day_Rolling_Average,Series_Complete_Daily,Series_Complete_Cumulative,Series_Complete_Day_Rolling_Average,date_type,Administered_daily_change_report,Administered_daily_change_report_7dayroll
2020-12-13,US,USA,United States,24453,24453,24453,20675,20675,20675,4414,4414,4414,Admin,,
2020-12-14,US,USA,United States,4404,28857,14428,4265,24940,12470,99,4513,2256,Admin,,
2020-12-15,US,USA,United States,49087,77944,25981,46863,71803,23934,226,4739,1579,Admin,,
2020-12-16,US,USA,United States,159331,237275,59318,153859,225662,56416,430,5169,1292,Admin,,
2020-12-17,US,USA,United States,271459,508734,101746,264337,489999,98000,688,5857,1171,Admin,,
2020-12-18,US,USA,United States,414205,922939,153823,405263,895262,149210,1200,7057,1176,Admin,,
2020-12-19,US,USA,United States,181416,1104355,157765,177388,1072650,153236,1018,8075,1153,Admin,,
2020-12-20,US,USA,United States,104752,1209107,169236,102755,1175405,164961,738,8813,628,Admin,,
2020-12-21,US,USA,United States,381624,1590731,223124,374903,1550308,217910,1352,10165,807,Admin,,
2020-12-22,US,USA,United States,448871,2039602,280236,440201,1990509,274101,2554,12719,1140,Admin,,
2020-12-23,US,USA,United States,574232,2613834,339508,561705,2552214,332365,2631,15350,1454,Admin,,
2020-12-24,US,USA,United States,196210,2810044,328758,191020,2743234,321891,1110,16460,1514,Admin,,
2020-12-25,US,USA,United States,12637,2822681,271391,12494,2755728,265781,93,16553,1356,Admin,,
2020-12-26,US,USA,United States,141775,2964456,265728,138092,2893820,260167,753,17306,1318,Admin,,
2020-12-27,US,USA,United States,96547,3061003,264556,93309,2987129,258818,706,18012,1314,Admin,,
2020-12-28,US,USA,United States,588101,3649104,294053,574518,3561647,287334,3668,21680,1645,Admin,,
2020-12-29,US,USA,United States,718330,4367434,332547,700352,4261999,324499,4715,26395,1953,Admin,,
2020-12-30,US,USA,United States,839393,5206827,370427,821031,5083030,361545,6656,33051,2528,Admin,,
2020-12-31,US,USA,United States,417896,5624723,402097,408435,5491465,392604,2978,36029,2795,Admin,,
2021-01-01,US,USA,United States,90043,5714766,413155,82581,5574046,402617,5804,41833,3611,Admin,,
2021-01-02,US,USA,United States,262551,5977317,430408,253497,5827543,419103,2746,44579,3896,Admin,,
2021-01-03,US,USA,United States,136814,6114131,436161,129619,5957162,424290,2362,46941,4132,Admin,,
2021-01-04,US,USA,United States,653044,6767175,445438,594051,6551213,427081,45319,92260,10082,Admin,,
2021-01-05,US,USA,United States,825528,7592703,460752,724751,7275964,430566,87631,179891,21928,Admin,,
2021-01-06,US,USA,United States,1016285,8608988,486023,826647,8102611,431369,171509,351400,45478,Admin,,
2021-01-07,US,USA,United States,1165252,9774240,592788,863497,8966108,496378,278423,629823,84827,Admin,,
2021-01-08,US,USA,United States,1232752,11006992,756032,845387,9811495,605350,360351,990174,135477,Admin,,
2021-01-09,US,USA,United States,508066,11515058,791105,369830,10181325,621969,128124,1118298,153388,Admin,,
2021-01-10,US,USA,United States,249735,11764793,807237,175506,10356831,628524,68719,1187017,162868,Admin,,
