Date,Location,ShortName,LongName,Administered_Daily,Administered_Cumulative,Administered_7_Day_Rolling_Average,Admin_Dose_1_Daily,Admin_Dose_1_Cumulative,Admin_Dose_1_Day_Rolling_Average,Admin_Dose_2_Daily,Admin_Dose_2_Cumulative,Admin_Dose_2_Day_Rolling_Average,Series_Complete_Daily,Series_Complete_Cumulative,Series_Complete_Day_Rolling_Average,date_type,Administered_daily_change_report,Administered_daily_change_report_7dayroll
2020-12-13,US,USA,United States,12348,12348,12348,10831,10831,10831,1355,1355,1355,1401,1401,1401,Admin,,
2020-12-14,US,USA,United States,3696,16044,8022,3570,14401,7201,4,1359,680,7,1408,704,Admin,,
2020-12-15,US,USA,United States,49263,65307,21769,45800,60201,20067,25,1384,461,28,1436,478,Admin,,
2020-12-16,US,USA,United States,158959,224266,56066,152061,212262,53066,200,1584,396,206,1642,410,Admin,,
2020-12-17,US,USA,United States,272182,496448,99289,261179,473441,94688,494,2078,416,496,2138,427,Admin,,
2020-12-18,US,USA,United States,413599,910047,151674,402060,875501,145917,589,2667,445,589,2727,454,Admin,,
2020-12-19,US,USA,United States,180197,1090244,155749,175454,1050955,150136,706,3373,482,707,3434,490,Admin,,
2020-12-20,US,USA,United States,102993,1193237,168698,100724,1151679,162978,498,3871,359,531,3965,366,Admin,,
2020-12-21,US,USA,United States,378078,1571315,222181,369616,1521295,215271,808,4679,474,812,4777,481,Admin,,
2020-12-22,US,USA,United States,444763,2016078,278681,435426,1956721,270931,2062,6741,765,2063,6840,772,Admin,,
2020-12-23,US,USA,United States,563189,2579267,336428,551053,2507774,327930,1617,8358,968,1618,8458,973,Admin,,
2020-12-24,US,USA,United States,192068,2771335,324983,186502,2694276,317262,849,9207,1018,850,9308,1024,Admin,,
2020-12-25,US,USA,United States,11996,2783331,267612,11897,2706173,261525,43,9250,940,43,9351,946,Admin,,
2020-12-26,US,USA,United States,137064,2920395,261450,134532,2840705,255679,333,9583,887,335,9686,893,Admin,,
2020-12-27,US,USA,United States,92242,3012637,259914,90355,2931060,254197,309,9892,860,310,9996,861,Admin,,
2020-12-28,US,USA,United States,571023,3583660,287477,556858,3487918,280946,2239,12131,1065,2242,12238,1065,Admin,,
2020-12-29,US,USA,United States,700134,4283794,323959,678988,4166906,315741,2930,15061,1189,2932,15170,1190,Admin,,
2020-12-30,US,USA,United States,817974,5101768,360357,795135,4962041,350610,4991,20052,1671,4994,20164,1672,Admin,,
2020-12-31,US,USA,United States,410834,5512602,391609,399338,5361379,381015,1913,21965,1823,1913,22077,1824,Admin,,
2021-01-01,US,USA,United States,43249,5555851,396074,41216,5402595,385203,1259,23224,1996,1298,23375,2003,Admin,,
2021-01-02,US,USA,United States,247586,5803437,411863,240863,5643458,400393,2102,25326,2249,2104,25479,2256,Admin,,
2021-01-03,US,USA,United States,128596,5932033,417056,122408,5765866,404972,2060,27386,2499,2061,27540,2506,Admin,,
2021-01-04,US,USA,United States,623378,6555411,424535,568908,6334774,406694,41676,69062,8133,41681,69221,8140,Admin,,
2021-01-05,US,USA,United States,783444,7338855,436437,688386,7023160,408036,81794,150856,19399,81800,151021,19407,Admin,,
2021-01-06,US,USA,United States,976779,8315634,459123,794352,7817512,407924,165276,316132,42297,165285,316306,42306,Admin,,
2021-01-07,US,USA,United States,1117456,9433090,560069,828428,8645940,469223,267770,583902,80277,267772,584078,80285,Admin,,
2021-01-08,US,USA,United States,1179642,10612732,722411,807956,9453896,578757,349078,932980,129965,349085,933163,129969,Admin,,
