Date,Location,ShortName,LongName,Administered_Daily,Administered_Cumulative,Administered_7_Day_Rolling_Average,Admin_Dose_1_Daily,Admin_Dose_1_Cumulative,Admin_Dose_1_Day_Rolling_Average,Series_Complete_Daily,Series_Complete_Cumulative,Series_Complete_Day_Rolling_Average,date_type,Administered_daily_change_report,Administered_daily_change_report_7dayroll
2020-12-13,US,USA,United States,14080,14080,14080,12581,12581,12581,1557,1557,1557,Admin,,
2020-12-14,US,USA,United States,4043,18123,9061,3950,16531,8266,45,1602,801,Admin,,
2020-12-15,US,USA,United States,49522,67645,22548,47086,63617,21206,113,1715,571,Admin,,
2020-12-16,US,USA,United States,161044,228689,57172,154421,218038,54510,300,2015,503,Admin,,
2020-12-17,US,USA,United States,274053,502742,100548,264374,482412,96482,577,2592,518,Admin,,
2020-12-18,US,USA,United States,417363,920105,153350,405797,888209,148035,795,3387,564,Admin,,
2020-12-19,US,USA,United States,182947,1103052,157578,178184,1066393,152342,901,4288,612,Admin,,
2020-12-20,US,USA,United States,105776,1208828,170678,103021,1169414,165262,609,4897,477,Admin,,
2020-12-21,US,USA,United States,381952,1590780,224665,374146,1543560,218147,988,5885,611,Admin,,
2020-12-22,US,USA,United States,448202,2038982,281619,439048,1982608,274142,2249,8134,917,Admin,,
2020-12-23,US,USA,United States,570379,2609361,340096,559177,2541785,331964,1814,9948,1133,Admin,,
2020-12-24,US,USA,United States,195200,2804561,328831,190155,2731940,321361,795,10743,1164,Admin,,
2020-12-25,US,USA,United States,12429,2816990,270983,12308,2744248,265148,74,10817,1061,Admin,,
2020-12-26,US,USA,United States,139345,2956335,264754,137070,2881318,259275,455,11272,997,Admin,,
2020-12-27,US,USA,United States,94636,3050971,263163,92516,2973834,257774,487,11759,980,Admin,,
2020-12-28,US,USA,United States,583519,3634490,291958,571719,3545553,285999,2660,14419,1219,Admin,,
2020-12-29,US,USA,United States,711955,4346445,329637,694361,4239914,322472,4010,18429,1470,Admin,,
2020-12-30,US,USA,United States,831518,5177963,366943,813972,5053886,358872,6528,24957,2144,Admin,,
2020-12-31,US,USA,United States,415500,5593463,398414,407658,5461544,389943,2522,27479,2390,Admin,,
2021-01-01,US,USA,United States,66585,5660048,406151,62468,5524012,397109,3775,31254,2919,Admin,,
2021-01-02,US,USA,United States,257384,5917432,423013,249544,5773556,413177,2664,33918,3235,Admin,,
2021-01-03,US,USA,United States,135042,6052474,428786,128036,5901592,418251,2315,36233,3496,Admin,,
2021-01-04,US,USA,United States,642395,6694869,437197,586542,6488134,420369,44511,80744,9475,Admin,,
2021-01-05,US,USA,United States,813304,7508173,451675,717011,7205145,423604,86422,167166,21248,Admin,,
2021-01-06,US,USA,United States,1005738,8513911,476564,821238,8026383,424642,169859,337025,44581,Admin,,
2021-01-07,US,USA,United States,1146461,9660372,580987,852425,8878808,488181,274844,611869,83484,Admin,,
2021-01-08,US,USA,United States,1210216,10870588,744362,833183,9711991,598283,356065,967934,133811,Admin,,
2021-01-09,US,USA,United States,500086,11370674,779034,366051,10078042,614927,126454,1094388,151495,Admin,,
2021-01-10,US,USA,United States,246446,11617120,794949,173507,10251549,621422,68288,1162676,160920,Admin,,
2021-01-11,US,USA,United States,1050638,12667758,853269,714107,10965656,639646,318313,1480989,200035,Admin,,
2021-01-12,US,USA,United States,1231309,13899067,912984,901918,11867574,666061,310432,1791421,232036,Admin,,
2021-01-13,US,USA,United States,1302864,15201931,955431,1017647,12885221,694120,267835,2059256,246033,Admin,,
2021-01-14,US,USA,United States,1294163,16496094,976531,1144087,14029308,735786,132578,2191834,225709,Admin,,
2021-01-15,US,USA,United States,1243071,17739165,981225,1110849,15140157,775452,117553,2309387,191636,Admin,,
2021-01-16,US,USA,United States,645069,18384234,1001937,567126,15707283,804177,70482,2379869,183640,Admin,,
2021-01-17,US,USA,United States,299785,18684019,1009557,255427,15962710,815880,41268,2421137,179780,Admin,,
2021-01-18,US,USA,United States,865934,19549953,983170,632512,16595222,804224,223695,2644832,166263,Admin,,
2021-01-19,US,USA,United States,1326734,20876687,996802,964281,17559503,813133,347066,2991898,171496,Admin,,
2021-01-20,US,USA,United States,1602102,22478789,1039551,1168386,18727889,834667,414581,3406479,192460,Admin,,
2021-01-21,US,USA,United States,1618781,24097570,1085925,1331384,20059273,861424,266559,3673038,211600,Admin,,
2021-01-22,US,USA,United States,1604566,25702136,1137567,1381631,21440904,900107,203697,3876735,223906,Admin,,
2021-01-23,US,USA,United States,900136,26602272,1174005,740331,22181235,924850,146814,4023549,234811,Admin,,
2021-01-24,US,USA,United States,392683,26994955,1187276,300544,22481779,931296,86196,4109745,241229,Admin,,
2021-01-25,US,USA,United States,1343662,28338617,1255523,850666,23332445,962460,475149,4584894,277151,Admin,,
2021-01-26,US,USA,United States,1638017,29976634,1299992,1048520,24380965,974495,568212,5153106,308744,Admin,,
2021-01-27,US,USA,United States,1902459,31879093,1342900,1243641,25624606,985245,634137,5787243,340109,Admin,,
2021-01-28,US,USA,United States,1931618,33810711,1387591,1363154,26987760,989784,543076,6330319,379611,Admin,,
2021-01-29,US,USA,United States,1876303,35687014,1426411,1356392,28344152,986178,482500,6812819,419440,Admin,,
2021-01-30,US,USA,United States,1012621,36699635,1442480,761263,29105415,989169,236683,7049502,432279,Admin,,
2021-01-31,US,USA,United States,457428,37157063,1451729,325302,29430717,992705,123598,7173100,437622,Admin,,
2021-02-01,US,USA,United States,1324971,38482034,1449059,748740,30179457,978145,549947,7723047,448307,Admin,,
2021-02-02,US,USA,United States,1658745,40140779,1452020,957992,31137449,965212,680296,8403343,464319,Admin,,
2021-02-03,US,USA,United States,2109774,42250553,1481637,1259413,32396862,967465,817395,9220738,490499,Admin,,
2021-02-04,US,USA,United States,2312901,44563454,1536106,1389942,33786804,971292,892257,10112995,540382,Admin,,
2021-02-05,US,USA,United States,2317899,46881353,1599191,1352884,35139688,970791,935944,11048939,605160,Admin,,
