Date,Location,ShortName,LongName,Administered_Daily,Administered_Cumulative,Administered_7_Day_Rolling_Average,Admin_Dose_1_Daily,Admin_Dose_1_Cumulative,Admin_Dose_1_Day_Rolling_Average,Admin_Dose_2_Daily,Admin_Dose_2_Cumulative,Admin_Dose_2_Day_Rolling_Average,date_type,Administered_daily_change_report,Administered_daily_change_report_7dayroll
2020-12-13,US,USA,United States,9229,9229,9229,8197,8197,8197,954,954,954,Admin,,
2020-12-14,US,USA,United States,3529,12758,6379,3411,11608,5804,4,958,479,Admin,,
2020-12-15,US,USA,United States,48438,61196,20398,45027,56635,18878,18,976,325,Admin,,
2020-12-16,US,USA,United States,156822,218018,54504,150011,206646,51661,178,1154,288,Admin,,
2020-12-17,US,USA,United States,267790,485808,97161,257123,463769,92753,458,1612,322,Admin,,
2020-12-18,US,USA,United States,403965,889773,148295,393019,856788,142798,464,2076,346,Admin,,
2020-12-19,US,USA,United States,169807,1059580,151368,165349,1022137,146019,645,2721,388,Admin,,
2020-12-20,US,USA,United States,100060,1159640,164344,98071,1120208,158858,333,3054,300,Admin,,
2020-12-21,US,USA,United States,370899,1530539,216825,362884,1483092,210212,631,3685,389,Admin,,
2020-12-22,US,USA,United States,436771,1967310,272302,427914,1911006,264910,1764,5449,639,Admin,,
2020-12-23,US,USA,United States,552440,2519750,328818,540876,2451882,320748,1466,6915,823,Admin,,
2020-12-24,US,USA,United States,189290,2709040,317604,183934,2635816,310292,839,7754,877,Admin,,
2020-12-25,US,USA,United States,11783,2720823,261578,11711,2647527,255819,26,7780,814,Admin,,
2020-12-26,US,USA,United States,134247,2855070,256498,131941,2779468,251047,260,8040,759,Admin,,
2020-12-27,US,USA,United States,89976,2945046,255058,88201,2867669,249637,248,8288,747,Admin,,
2020-12-28,US,USA,United States,558989,3504035,281928,545664,3413333,275748,1952,10240,936,Admin,,
2020-12-29,US,USA,United States,685850,4189885,317510,665945,4079278,309753,2369,12609,1022,Admin,,
2020-12-30,US,USA,United States,802151,4992036,353183,780399,4859677,343970,4602,17211,1470,Admin,,
2020-12-31,US,USA,United States,403200,5395236,383742,392530,5252207,373770,1402,18613,1551,Admin,,
2021-01-01,US,USA,United States,36765,5432001,387311,35564,5287771,377177,582,19195,1630,Admin,,
2021-01-02,US,USA,United States,238619,5670620,402221,232374,5520145,391525,1701,20896,1836,Admin,,
2021-01-03,US,USA,United States,121569,5792189,406734,116005,5636150,395497,1823,22719,2061,Admin,,
2021-01-04,US,USA,United States,606508,6398697,413523,554142,6190292,396708,40430,63149,7558,Admin,,
2021-01-05,US,USA,United States,763262,7161959,424582,672036,6862328,397578,79034,142183,18510,Admin,,
2021-01-06,US,USA,United States,942476,8104435,444628,767482,7629810,395733,159142,301325,40587,Admin,,
2021-01-07,US,USA,United States,1080178,9184613,541339,804562,8434372,454595,258211,559536,77274,Admin,,
2021-01-08,US,USA,United States,1142587,10327200,699314,788004,9222376,562086,336122,895658,125209,Admin,,
2021-01-09,US,USA,United States,466911,10794111,731927,346801,9569177,578433,115124,1010782,141412,Admin,,
2021-01-10,US,USA,United States,226968,11021079,746984,161013,9730190,584862,63885,1074667,150278,Admin,,
2021-01-11,US,USA,United States,985493,12006572,801125,669767,10399957,601380,300168,1374835,187383,Admin,,
2021-01-12,US,USA,United States,1151953,13158525,856652,844789,11244746,626059,291516,1666351,217738,Admin,,
2021-01-13,US,USA,United States,1226165,14384690,897179,961424,12206170,653765,250307,1916658,230761,Admin,,
2021-01-14,US,USA,United States,1216288,15600978,916623,1082823,13288993,693517,121099,2037757,211174,Admin,,
2021-01-15,US,USA,United States,1154602,16755580,918340,1041085,14330078,729671,104433,2142190,178076,Admin,,
2021-01-16,US,USA,United States,596793,17352373,936894,533079,14863157,756282,60575,2202765,170283,Admin,,
2021-01-17,US,USA,United States,274468,17626841,943680,238324,15101481,767327,34801,2237566,166128,Admin,,
