Date,Location,ShortName,LongName,Administered_Daily,Administered_Cumulative,Administered_7_Day_Rolling_Average,Admin_Dose_1_Daily,Admin_Dose_1_Cumulative,Admin_Dose_1_Day_Rolling_Average,Admin_Dose_2_Daily,Admin_Dose_2_Cumulative,Admin_Dose_2_Day_Rolling_Average,Series_Complete_Daily,Series_Complete_Cumulative,Series_Complete_Day_Rolling_Average,date_type,Administered_daily_change_report,Administered_daily_change_report_7dayroll
2020-12-13,US,USA,United States,13576,13576,13576,12082,12082,12082,1348,1348,1348,1541,1541,1541,Admin,,
2020-12-14,US,USA,United States,4039,17615,8807,3905,15987,7994,7,1355,678,43,1584,792,Admin,,
2020-12-15,US,USA,United States,50367,67982,22660,46944,62931,20977,33,1388,463,105,1689,563,Admin,,
2020-12-16,US,USA,United States,160862,228844,57211,154215,217146,54287,223,1611,403,287,1976,494,Admin,,
2020-12-17,US,USA,United States,274489,503333,100666,264649,481795,96359,581,2192,438,633,2609,521,Admin,,
2020-12-18,US,USA,United States,419310,922643,153773,407775,889570,148262,761,2953,492,777,3386,564,Admin,,
2020-12-19,US,USA,United States,182652,1105295,157899,177817,1067387,152484,961,3914,559,967,4353,621,Admin,,
2020-12-20,US,USA,United States,105310,1210605,171004,102536,1169923,165406,558,4472,446,631,4984,491,Admin,,
2020-12-21,US,USA,United States,381076,1591681,224866,373287,1543210,218175,960,5432,582,979,5963,625,Admin,,
2020-12-22,US,USA,United States,448319,2040000,281716,439244,1982454,274218,2264,7696,901,2281,8244,936,Admin,,
2020-12-23,US,USA,United States,569119,2609119,340039,558176,2540630,331926,1829,9525,1131,1839,10083,1158,Admin,,
2020-12-24,US,USA,United States,194693,2803812,328639,189592,2730222,321204,852,10377,1169,860,10943,1190,Admin,,
2020-12-25,US,USA,United States,12340,2816152,270501,12227,2742449,264697,68,10445,1070,68,11011,1089,Admin,,
2020-12-26,US,USA,United States,138990,2955142,264263,136725,2879174,258827,442,10887,996,447,11458,1015,Admin,,
2020-12-27,US,USA,United States,94138,3049280,262667,92045,2971219,257328,410,11297,975,457,11915,990,Admin,,
2020-12-28,US,USA,United States,582242,3631522,291405,570503,3541722,285502,2657,13954,1217,2670,14585,1231,Admin,,
2020-12-29,US,USA,United States,710198,4341720,328817,692607,4234329,321696,4070,18024,1475,4081,18666,1488,Admin,,
2020-12-30,US,USA,United States,828500,5170220,365871,811201,5045530,357843,6335,24359,2119,6347,25013,2132,Admin,,
2020-12-31,US,USA,United States,414329,5584549,397248,406630,5452160,388848,2400,26759,2340,2411,27424,2354,Admin,,
2021-01-01,US,USA,United States,59325,5643874,403960,55834,5507994,395078,2760,29519,2725,3076,30500,2784,Admin,,
2021-01-02,US,USA,United States,255460,5899334,420598,248161,5756155,410997,2557,32076,3027,2573,33073,3087,Admin,,
2021-01-03,US,USA,United States,133977,6033311,426290,127359,5883514,416042,2241,34317,3289,2250,35323,3344,Admin,,
2021-01-04,US,USA,United States,640113,6673424,434557,584699,6468213,418070,44091,78408,9208,44131,79454,9267,Admin,,
2021-01-05,US,USA,United States,811019,7484443,448960,715022,7183235,421272,86094,164502,20925,86133,165587,20988,Admin,,
2021-01-06,US,USA,United States,1002985,8487428,473886,819108,8002343,422402,169298,333800,44206,169353,334940,44275,Admin,,
2021-01-07,US,USA,United States,1143282,9630710,578023,849752,8852095,485705,274346,608146,83055,274373,609313,83127,Admin,,
2021-01-08,US,USA,United States,1208250,10838960,742155,830456,9682551,596365,356715,964861,133620,356755,966068,133652,Admin,,
2021-01-09,US,USA,United States,498769,11337729,776913,365121,10047672,613074,126049,1090910,151262,126061,1092129,151293,Admin,,
2021-01-10,US,USA,United States,244945,11582674,792766,172620,10220292,619540,68100,1159010,160670,68119,1160248,160703,Admin,,
2021-01-11,US,USA,United States,1047479,12630153,850961,711849,10932141,637704,317555,1476565,199737,317588,1477836,199768,Admin,,
2021-01-12,US,USA,United States,1229282,13859435,910713,900435,11832576,664192,310115,1786680,231740,310162,1787998,231773,Admin,,
