Date,Location,ShortName,LongName,Administered_Daily,Administered_Cumulative,Administered_7_Day_Rolling_Average,Admin_Dose_1_Daily,Admin_Dose_1_Cumulative,Admin_Dose_1_Day_Rolling_Average,Series_Complete_Daily,Series_Complete_Cumulative,Series_Complete_Day_Rolling_Average,date_type,Administered_daily_change_report,Administered_daily_change_report_7dayroll
2020-12-13,US,USA,United States,29449,29449,29449,24509,24509,24509,5676,5676,5676,Admin,,
2020-12-14,US,USA,United States,4567,34016,17008,4408,28917,14459,119,5795,2898,Admin,,
2020-12-15,US,USA,United States,49713,83729,27910,47384,76301,25434,259,6054,2018,Admin,,
2020-12-16,US,USA,United States,159813,243542,60886,154423,230724,57681,473,6527,1632,Admin,,
2020-12-17,US,USA,United States,272506,516048,103210,265388,496112,99222,741,7268,1454,Admin,,
2020-12-18,US,USA,United States,416085,932133,155356,407514,903626,150604,1203,8471,1412,Admin,,
2020-12-19,US,USA,United States,181830,1113963,159138,177904,1081530,154504,1053,9524,1361,Admin,,
2020-12-20,US,USA,United States,105242,1219205,169965,103308,1184838,165761,700,10224,650,Admin,,
2020-12-21,US,USA,United States,381605,1600810,223828,375081,1559919,218715,1483,11707,845,Admin,,
2020-12-22,US,USA,United States,447429,2048239,280644,438942,1998861,274651,2868,14575,1217,Admin,,
2020-12-23,US,USA,United States,574879,2623118,339939,562425,2561286,332937,2925,17500,1568,Admin,,
2020-12-24,US,USA,United States,195900,2819018,328996,190894,2752180,322295,1094,18594,1618,Admin,,
2020-12-25,US,USA,United States,12650,2831668,271362,12497,2764677,265864,102,18696,1461,Admin,,
2020-12-26,US,USA,United States,141897,2973565,265657,137957,2902634,260158,966,19662,1448,Admin,,
2020-12-27,US,USA,United States,96694,3070259,264436,93417,2996051,258745,717,20379,1451,Admin,,
2020-12-28,US,USA,United States,590768,3661027,294317,576434,3572485,287509,4164,24543,1834,Admin,,
2020-12-29,US,USA,United States,721724,4382751,333502,702716,4275201,325191,5218,29761,2169,Admin,,
2020-12-30,US,USA,United States,843010,5225761,371806,823216,5098417,362447,7751,37512,2859,Admin,,
2020-12-31,US,USA,United States,420274,5646035,403860,410329,5508746,393795,3136,40648,3151,Admin,,
2021-01-01,US,USA,United States,101761,5747796,416590,92254,5601000,405189,6713,47361,4095,Admin,,
2021-01-02,US,USA,United States,264342,6012138,434082,255483,5856483,421978,2850,50211,4364,Admin,,
2021-01-03,US,USA,United States,138851,6150989,440104,131852,5988335,427469,2446,52657,4611,Admin,,
2021-01-04,US,USA,United States,657060,6808049,449575,597863,6586198,430530,45749,98406,10552,Admin,,
2021-01-05,US,USA,United States,831293,7639342,465227,729433,7315631,434347,88424,186830,22438,Admin,,
2021-01-06,US,USA,United States,1021146,8660488,490675,830767,8146398,435426,172293,359123,45944,Admin,,
2021-01-07,US,USA,United States,1169826,9830314,597754,866277,9012675,500561,280745,639868,85603,Admin,,
2021-01-08,US,USA,United States,1236012,11066326,759790,847348,9860023,608432,363107,1002975,136516,Admin,,
2021-01-09,US,USA,United States,508844,11575170,794719,370390,10230413,624847,128608,1131583,154482,Admin,,
2021-01-10,US,USA,United States,251077,11826247,810751,176334,10406747,631202,69565,1201148,164070,Admin,,
2021-01-11,US,USA,United States,1070298,12896545,869785,723597,11130344,649164,322378,1523526,203589,Admin,,
2021-01-12,US,USA,United States,1258038,14154583,930749,916650,12046994,675909,314276,1837802,235853,Admin,,
2021-01-13,US,USA,United States,1323455,15478038,973936,1029448,13076442,704292,270353,2108155,249862,Admin,,
2021-01-14,US,USA,United States,1316112,16794150,994834,1156643,14233085,745773,135682,2243837,229138,Admin,,
2021-01-15,US,USA,United States,1256481,18050631,997758,1116301,15349386,784195,120590,2364427,194493,Admin,,
2021-01-16,US,USA,United States,649152,18699783,1017802,566079,15915465,812150,71916,2436343,186394,Admin,,
2021-01-17,US,USA,United States,305048,19004831,1025512,255674,16171139,823485,42051,2478394,182464,Admin,,
2021-01-18,US,USA,United States,884464,19889295,998964,638270,16809409,811295,227777,2706171,168949,Admin,,
2021-01-19,US,USA,United States,1346061,21235356,1011539,965174,17774583,818227,356321,3062492,174956,Admin,,
2021-01-20,US,USA,United States,1602219,22837575,1051362,1153685,18928268,835975,420881,3483373,196460,Admin,,
2021-01-21,US,USA,United States,1630340,24467915,1096252,1329548,20257816,860676,274649,3758022,216312,Admin,,
2021-01-22,US,USA,United States,1627016,26094931,1149186,1392114,21649930,900078,209448,3967470,229006,Admin,,
2021-01-23,US,USA,United States,906665,27001596,1185973,742510,22392440,925282,150688,4118158,240259,Admin,,
2021-01-24,US,USA,United States,395008,27396604,1198825,299666,22692106,931567,88329,4206487,246870,Admin,,
2021-01-25,US,USA,United States,1372576,28769180,1268555,859604,23551710,963186,489381,4695868,284242,Admin,,
2021-01-26,US,USA,United States,1661253,30430433,1313582,1052305,24604015,975633,582071,5277939,316492,Admin,,
2021-01-27,US,USA,United States,1931281,32361714,1360591,1249996,25854011,989392,648255,5926194,348974,Admin,,
2021-01-28,US,USA,United States,1961007,34322721,1407829,1369248,27223259,995063,558089,6484283,389466,Admin,,
2021-01-29,US,USA,United States,1913439,36236160,1448747,1371847,28595106,992168,496047,6980330,430409,Admin,,
2021-01-30,US,USA,United States,1018031,37254191,1464656,758174,29353280,994406,242577,7222907,443536,Admin,,
2021-01-31,US,USA,United States,459293,37713484,1473840,321777,29675057,997564,127248,7350155,449095,Admin,,
2021-02-01,US,USA,United States,1382382,39095866,1475241,768525,30443582,984553,572588,7922743,460982,Admin,,
2021-02-02,US,USA,United States,1695099,40790965,1480076,961873,31405455,971634,699509,8622252,477759,Admin,,
2021-02-03,US,USA,United States,2137174,42928139,1509489,1258868,32664323,972902,834657,9456909,504388,Admin,,
2021-02-04,US,USA,United States,2344597,45272736,1564288,1387423,34051746,975498,912909,10369818,555076,Admin,,
2021-02-05,US,USA,United States,2354520,47627256,1627299,1354358,35406104,973000,960852,11330670,621477,Admin,,
2021-02-06,US,USA,United States,1299872,48927128,1667562,851479,36257583,986329,421975,11752645,647105,Admin,,
2021-02-07,US,USA,United States,443788,49370916,1665347,276565,36534148,979870,156714,11909359,651315,Admin,,
