Date,Location,ShortName,LongName,Administered_Daily,Administered_Cumulative,Administered_7_Day_Rolling_Average,Admin_Dose_1_Daily,Admin_Dose_1_Cumulative,Admin_Dose_1_Day_Rolling_Average,Series_Complete_Daily,Series_Complete_Cumulative,Series_Complete_Day_Rolling_Average,date_type,Administered_daily_change_report,Administered_daily_change_report_7dayroll
2020-12-13,US,USA,United States,14155,14155,14155,12656,12656,12656,1569,1569,1569,Admin,,
2020-12-14,US,USA,United States,4098,18253,9126,4005,16661,8331,45,1614,807,Admin,,
2020-12-15,US,USA,United States,49643,67896,22632,47202,63863,21288,132,1746,582,Admin,,
2020-12-16,US,USA,United States,161220,229116,57279,154593,218456,54614,310,2056,514,Admin,,
2020-12-17,US,USA,United States,274279,503395,100679,264615,483071,96614,604,2660,532,Admin,,
2020-12-18,US,USA,United States,417630,921025,153504,406049,889120,148187,813,3473,578,Admin,,
2020-12-19,US,USA,United States,182874,1103899,157699,178103,1067223,152460,911,4384,626,Admin,,
2020-12-20,US,USA,United States,105705,1209604,170778,102953,1170176,165360,615,4999,490,Admin,,
2020-12-21,US,USA,United States,381857,1591461,224744,374022,1544198,218220,1001,6000,626,Admin,,
2020-12-22,US,USA,United States,448473,2039934,281719,439244,1983442,274226,2280,8280,933,Admin,,
2020-12-23,US,USA,United States,570682,2610616,340214,559953,2543395,332134,1842,10122,1152,Admin,,
2020-12-24,US,USA,United States,195539,2806155,328965,190487,2733882,321544,813,10935,1182,Admin,,
2020-12-25,US,USA,United States,12446,2818601,271082,12319,2746201,265297,80,11015,1077,Admin,,
2020-12-26,US,USA,United States,139654,2958255,264908,137373,2883574,259479,481,11496,1016,Admin,,
2020-12-27,US,USA,United States,94853,3053108,263357,92711,2976285,258016,500,11996,999,Admin,,
2020-12-28,US,USA,United States,584549,3637657,292313,572463,3548748,286364,2727,14723,1246,Admin,,
2020-12-29,US,USA,United States,712952,4350609,330096,695381,4244129,322955,4030,18753,1496,Admin,,
2020-12-30,US,USA,United States,832654,5183263,367521,814879,5059008,359373,6643,25396,2182,Admin,,
