Date,Location,ShortName,LongName,Administered_Daily,Administered_Cumulative,Administered_7_Day_Rolling_Average,Admin_Dose_1_Daily,Admin_Dose_1_Cumulative,Admin_Dose_1_Day_Rolling_Average,Series_Complete_Daily,Series_Complete_Cumulative,Series_Complete_Day_Rolling_Average,date_type,Administered_daily_change_report,Administered_daily_change_report_7dayroll
2020-12-13,US,USA,United States,13846,13846,13846,12348,12348,12348,1552,1552,1552,Admin,,
2020-12-14,US,USA,United States,4016,17862,8931,3923,16271,8136,44,1596,798,Admin,,
2020-12-15,US,USA,United States,49467,67329,22443,47034,63305,21102,112,1708,569,Admin,,
2020-12-16,US,USA,United States,160931,228260,57065,154314,217619,54405,297,2005,501,Admin,,
2020-12-17,US,USA,United States,273768,502028,100405,264097,481716,96343,574,2579,515,Admin,,
2020-12-18,US,USA,United States,417133,919161,153193,405581,887297,147883,785,3364,560,Admin,,
2020-12-19,US,USA,United States,182923,1102084,157440,178162,1065459,152208,899,4263,609,Admin,,
2020-12-20,US,USA,United States,105701,1207785,170562,102947,1168406,165151,609,4872,474,Admin,,
2020-12-21,US,USA,United States,381716,1589501,224519,373919,1542325,218008,982,5854,608,Admin,,
2020-12-22,US,USA,United States,447877,2037378,281435,438748,1981073,273967,2235,8089,911,Admin,,
2020-12-23,US,USA,United States,569994,2607372,339873,558836,2539909,331756,1803,9892,1126,Admin,,
2020-12-24,US,USA,United States,195119,2802491,328637,190080,2729989,321182,790,10682,1157,Admin,,
2020-12-25,US,USA,United States,12410,2814901,270820,12291,2742280,264998,72,10754,1055,Admin,,
2020-12-26,US,USA,United States,139307,2954208,264589,137032,2879312,259122,455,11209,992,Admin,,
2020-12-27,US,USA,United States,94592,3048800,263002,92478,2971790,257626,481,11690,974,Admin,,
2020-12-28,US,USA,United States,583134,3631934,291776,571393,3543183,285837,2634,14324,1210,Admin,,
2020-12-29,US,USA,United States,711503,4343437,329437,693935,4237118,322292,3994,18318,1461,Admin,,
2020-12-30,US,USA,United States,830671,5174108,366676,813173,5050291,358626,6491,24809,2131,Admin,,
2020-12-31,US,USA,United States,415335,5589443,398136,407527,5457818,389690,2495,27304,2374,Admin,,
2021-01-01,US,USA,United States,65848,5655291,405770,61796,5519614,396762,3707,31011,2893,Admin,,
2021-01-02,US,USA,United States,257196,5912487,422611,249373,5768987,412811,2648,33659,3207,Admin,,
2021-01-03,US,USA,United States,134958,6047445,428377,127960,5896947,417880,2307,35966,3468,Admin,,
2021-01-04,US,USA,United States,641949,6689394,436780,586168,6483115,419990,44444,80410,9440,Admin,,
2021-01-05,US,USA,United States,812702,7502096,451237,716516,7199631,423216,86324,166734,21202,Admin,,
2021-01-06,US,USA,United States,1005200,8507296,476169,820875,8020506,424316,169707,336441,44518,Admin,,
2021-01-07,US,USA,United States,1145941,9653237,580542,852209,8872715,487842,274573,611014,83387,Admin,,
2021-01-08,US,USA,United States,1209668,10862905,743944,832886,9705601,597998,355858,966872,133694,Admin,,
2021-01-09,US,USA,United States,499891,11362796,778615,365928,10071529,614649,126394,1093266,151372,Admin,,
2021-01-10,US,USA,United States,246291,11609087,794520,173392,10244921,621139,68255,1161521,160793,Admin,,
2021-01-11,US,USA,United States,1050053,12659140,852820,713834,10958755,639377,318028,1479549,199877,Admin,,
2021-01-12,US,USA,United States,1230720,13889860,912537,901590,11860345,665816,310202,1789751,231859,Admin,,
2021-01-13,US,USA,United States,1302283,15192143,954978,1017260,12877605,693871,267672,2057423,245854,Admin,,
2021-01-14,US,USA,United States,1293404,16485547,976044,1143556,14021161,735492,132390,2189813,225542,Admin,,
2021-01-15,US,USA,United States,1242448,17727995,980727,1110376,15131537,775134,117442,2307255,191483,Admin,,
2021-01-16,US,USA,United States,644609,18372604,1001401,566731,15698268,803820,70429,2377684,183488,Admin,,
2021-01-17,US,USA,United States,299661,18672265,1009025,255349,15953617,815528,41276,2418960,179634,Admin,,
2021-01-18,US,USA,United States,865514,19537779,982662,632334,16585951,803885,223475,2642435,166126,Admin,,
2021-01-19,US,USA,United States,1326068,20863847,996283,964113,17550064,812817,346616,2989051,171328,Admin,,
2021-01-20,US,USA,United States,1601320,22465167,1039003,1168085,18718149,834363,414190,3403241,192259,Admin,,
2021-01-21,US,USA,United States,1617658,24082825,1085325,1330654,20048803,861092,266220,3669461,211378,Admin,,
2021-01-22,US,USA,United States,1603895,25686720,1136960,1381255,21430058,899789,203454,3872915,223665,Admin,,
2021-01-23,US,USA,United States,899818,26586538,1173419,740139,22170197,924561,146716,4019631,234563,Admin,,
2021-01-24,US,USA,United States,392534,26979072,1186686,300461,22470658,931006,86151,4105782,240974,Admin,,
2021-01-25,US,USA,United States,1342842,28321914,1254876,850270,23320928,962140,474775,4580557,276874,Admin,,
2021-01-26,US,USA,United States,1637313,29959227,1299340,1048211,24369139,974154,567867,5148424,308481,Admin,,
2021-01-27,US,USA,United States,1901316,31860543,1342196,1243003,25612142,984856,633727,5782151,339844,Admin,,
2021-01-28,US,USA,United States,1930633,33791176,1386907,1362589,26974731,989418,542738,6324889,379346,Admin,,
2021-01-29,US,USA,United States,1875436,35666612,1425698,1355918,28330649,985799,482208,6807097,419168,Admin,,
2021-01-30,US,USA,United States,1012072,36678684,1441735,760955,29091604,988772,236476,7043573,431991,Admin,,
2021-01-31,US,USA,United States,457214,37135898,1450975,325226,29416830,992310,123506,7167079,437328,Admin,,
2021-02-01,US,USA,United States,1323260,38459158,1448177,747992,30164822,977699,549215,7716294,447962,Admin,,
2021-02-02,US,USA,United States,1657607,40116765,1451076,957471,31122293,964736,679775,8396069,463949,Admin,,
2021-02-03,US,USA,United States,2108725,42225490,1480706,1258917,32381210,967010,816990,9213059,490129,Admin,,
2021-02-04,US,USA,United States,2311715,44537205,1535147,1389382,33770592,970837,891803,10104862,539996,Admin,,
2021-02-05,US,USA,United States,2316329,46853534,1598131,1352011,35122603,970279,935422,11040284,604741,Admin,,
2021-02-06,US,USA,United States,1287859,48141393,1637529,854382,35976985,983626,414317,11454601,630146,Admin,,
2021-02-07,US,USA,United States,445540,48586933,1635862,280583,36257568,977248,154328,11608929,634550,Admin,,
2021-02-08,US,USA,United States,1548429,50135362,1668029,835065,37092633,989687,687385,12296314,654288,Admin,,
2021-02-09,US,USA,United States,1941442,52076804,1708577,1038112,38130745,1001207,875790,13172104,682290,Admin,,
2021-02-10,US,USA,United States,2266674,54343478,1731141,1221535,39352280,995867,1017482,14189586,710932,Admin,,
2021-02-11,US,USA,United States,2371597,56715075,1739695,1272016,40624296,979101,1070345,15259931,736438,Admin,,
2021-02-12,US,USA,United States,2546543,59261618,1772583,1375628,41999924,982474,1136110,16396041,765108,Admin,,
2021-02-13,US,USA,United States,1458605,60720223,1796975,866294,42866218,984176,566918,16962959,786908,Admin,,
2021-02-14,US,USA,United States,582209,61302432,1816499,343322,43209540,993139,225704,17188663,797104,Admin,,
2021-02-15,US,USA,United States,1155489,62457921,1760365,611305,43820845,961173,517716,17706379,772866,Admin,,
2021-02-16,US,USA,United States,1598450,64056371,1711366,796211,44617056,926616,774904,18481283,758454,Admin,,
2021-02-17,US,USA,United States,1937240,65993611,1664304,930018,45547074,884971,977808,19459091,752786,Admin,,
2021-02-18,US,USA,United States,1829838,67823449,1586910,835703,46382777,822640,957203,20416294,736623,Admin,,
2021-02-19,US,USA,United States,1942369,69765818,1500600,835902,47218679,745536,1071136,21487430,727341,Admin,,
2021-02-20,US,USA,United States,1296746,71062564,1477477,607333,47826012,708542,664578,22152008,741292,Admin,,
2021-02-21,US,USA,United States,589977,71652541,1478587,259326,48085338,696543,315287,22467295,754090,Admin,,
2021-02-22,US,USA,United States,1441448,73093989,1519438,630006,48715344,699214,778664,23245959,791368,Admin,,
2021-02-23,US,USA,United States,1915317,75009306,1564705,883166,49598510,711636,995422,24241381,822871,Admin,,
2021-02-24,US,USA,United States,2495181,77504487,1644410,1257395,50855905,758404,1199485,25440866,854539,Admin,,
2021-02-25,US,USA,United States,2895720,80400207,1796679,1544787,52400692,859702,1301449,26742315,903717,Admin,,
2021-02-26,US,USA,United States,3069130,83469337,1957645,1685684,54086376,981100,1338218,28080533,941871,Admin,,
2021-02-27,US,USA,United States,1977347,85446684,2054874,1151131,55237507,1058785,794889,28875422,960487,Admin,,
2021-02-28,US,USA,United States,841378,86288062,2090788,537764,55775271,1098562,283138,29158560,955895,Admin,,
2021-03-01,US,USA,United States,1945543,88233605,2162802,1151578,56926849,1173072,752082,29910642,952097,Admin,,
2021-03-02,US,USA,United States,2415639,90649244,2234276,1453510,58380359,1254550,929024,30839666,942612,Admin,,
2021-03-03,US,USA,United States,2862853,93512097,2286801,1734132,60114491,1322655,1098497,31938163,928185,Admin,,
2021-03-04,US,USA,United States,3155395,96667492,2323897,1948677,62063168,1380354,1212020,33150183,915409,Admin,,
2021-03-05,US,USA,United States,3176367,99843859,2339217,1998786,64061954,1425083,1268664,34418847,905473,Admin,,
2021-03-06,US,USA,United States,2026870,101870729,2346292,1341681,65403635,1452304,842888,35261735,912330,Admin,,
2021-03-07,US,USA,United States,911876,102782605,2356363,672938,66076573,1471615,334922,35596657,919728,Admin,,
2021-03-08,US,USA,United States,2120028,104902633,2381289,1468909,67545482,1516948,826113,36422770,930304,Admin,,
2021-03-09,US,USA,United States,2677117,107579750,2418643,1805757,69351239,1567269,1058772,37481542,948839,Admin,,
2021-03-10,US,USA,United States,3081890,110661640,2449934,2055361,71406600,1613158,1242249,38723791,969375,Admin,,
2021-03-11,US,USA,United States,3408831,114070471,2486139,2281645,73688245,1660725,1370973,40094764,992083,Admin,,
2021-03-12,US,USA,United States,3388157,117458628,2516395,2123061,75811306,1678479,1494275,41589039,1024313,Admin,,
