Date,Location,ShortName,LongName,Administered_Daily,Administered_Cumulative,Administered_7_Day_Rolling_Average,Admin_Dose_1_Daily,Admin_Dose_1_Cumulative,Admin_Dose_1_Day_Rolling_Average,Series_Complete_Daily,Series_Complete_Cumulative,Series_Complete_Day_Rolling_Average,date_type,Administered_daily_change_report,Administered_daily_change_report_7dayroll
2020-12-13,US,USA,United States,14613,14613,14613,13111,13111,13111,1869,1869,1869,Admin,,
2020-12-14,US,USA,United States,4134,18747,9373,4037,17148,8574,58,1927,963,Admin,,
2020-12-15,US,USA,United States,49751,68498,22832,47287,64435,21478,144,2071,690,Admin,,
2020-12-16,US,USA,United States,161475,229973,57493,154823,219258,54815,314,2385,596,Admin,,
2020-12-17,US,USA,United States,274529,504502,100900,264883,484141,96828,496,2881,576,Admin,,
2020-12-18,US,USA,United States,418132,922634,153772,406485,890626,148438,818,3699,616,Admin,,
2020-12-19,US,USA,United States,182983,1105617,157945,178234,1068860,152694,878,4577,653,Admin,,
2020-12-20,US,USA,United States,105716,1211333,170960,102956,1171816,165529,584,5161,470,Admin,,
2020-12-21,US,USA,United States,382428,1593761,225002,374455,1546271,218446,1011,6172,606,Admin,,
2020-12-22,US,USA,United States,448827,2042588,282012,439587,1985858,274489,2272,8444,910,Admin,,
2020-12-23,US,USA,United States,571078,2613666,340527,560331,2546189,332419,1833,10277,1127,Admin,,
2020-12-24,US,USA,United States,195756,2809422,329274,190690,2736879,321820,812,11089,1172,Admin,,
2020-12-25,US,USA,United States,12468,2821890,271322,12350,2749229,265515,74,11163,1066,Admin,,
2020-12-26,US,USA,United States,139755,2961645,265146,137444,2886673,259688,471,11634,1008,Admin,,
2020-12-27,US,USA,United States,94916,3056561,263604,92797,2979470,258236,474,12108,992,Admin,,
2020-12-28,US,USA,United States,585232,3641793,292576,573199,3552669,286628,2601,14709,1219,Admin,,
2020-12-29,US,USA,United States,713513,4355306,330388,696142,4248811,323279,3754,18463,1431,Admin,,
2020-12-30,US,USA,United States,833448,5188754,367869,815698,5064509,359760,6430,24893,2088,Admin,,
2020-12-31,US,USA,United States,417062,5605816,399484,409137,5473646,390967,2530,27423,2333,Admin,,
2021-01-01,US,USA,United States,72063,5677879,407998,67273,5540919,398813,4355,31778,2945,Admin,,
2021-01-02,US,USA,United States,258380,5936259,424944,250455,5791374,414957,2693,34471,3262,Admin,,
2021-01-03,US,USA,United States,135365,6071624,430723,128219,5919593,420018,2357,36828,3531,Admin,,
2021-01-04,US,USA,United States,645363,6716987,439313,588807,6508400,422247,44798,81626,9559,Admin,,
2021-01-05,US,USA,United States,816547,7533534,454032,719212,7227612,425543,86837,168463,21428,Admin,,
2021-01-06,US,USA,United States,1009542,8543076,479188,823235,8050847,426620,170688,339151,44894,Admin,,
2021-01-07,US,USA,United States,1150937,9694013,584028,855252,8906099,490350,275770,614921,83928,Admin,,
2021-01-08,US,USA,United States,1215680,10909693,747402,835974,9742073,600165,357795,972716,134419,Admin,,
2021-01-09,US,USA,United States,501239,11410932,782096,366660,10108733,616766,126730,1099446,152139,Admin,,
2021-01-10,US,USA,United States,246797,11657729,798015,173692,10282425,623262,68315,1167761,161561,Admin,,
2021-01-11,US,USA,United States,1054453,12712182,856456,716007,10998432,641433,319349,1487110,200783,Admin,,
2021-01-12,US,USA,United States,1237983,13950165,916661,904741,11903173,667937,311236,1798346,232840,Admin,,
2021-01-13,US,USA,United States,1307844,15258009,959276,1020704,12923877,696147,268606,2066952,246828,Admin,,
2021-01-14,US,USA,United States,1298068,16556077,980294,1146758,14070635,737791,132939,2199891,226424,Admin,,
2021-01-15,US,USA,United States,1248940,17805017,985046,1114914,15185549,777639,118226,2318117,192200,Admin,,
2021-01-16,US,USA,United States,648609,18453626,1006099,568367,15753916,806455,70693,2388810,184194,Admin,,
2021-01-17,US,USA,United States,304832,18758458,1014389,256249,16010165,818249,41426,2430236,180353,Admin,,
2021-01-18,US,USA,United States,874741,19633199,988716,634783,16644948,806645,225263,2655499,166912,Admin,,
2021-01-19,US,USA,United States,1334019,20967218,1002436,966525,17611473,815471,348575,3004074,172246,Admin,,
2021-01-20,US,USA,United States,1607676,22574894,1045269,1170918,18782391,836931,416128,3420202,193321,Admin,,
2021-01-21,US,USA,United States,1625550,24200444,1092052,1335087,20117478,863835,268102,3688304,212630,Admin,,
2021-01-22,US,USA,United States,1609225,25809669,1143521,1384427,21501905,902337,204318,3892622,224929,Admin,,
2021-01-23,US,USA,United States,902760,26712429,1179829,741831,22243736,927117,147255,4039877,235866,Admin,,
2021-01-24,US,USA,United States,393609,27106038,1192511,301063,22544799,933519,86545,4126422,242312,Admin,,
2021-01-25,US,USA,United States,1349266,28455304,1260300,852591,23397390,964635,477150,4603572,278296,Admin,,
2021-01-26,US,USA,United States,1644005,30099309,1304584,1050779,24448169,976671,570322,5173894,309974,Admin,,
2021-01-27,US,USA,United States,1910165,32009474,1347797,1246285,25694454,987438,636729,5810623,341488,Admin,,
2021-01-28,US,USA,United States,1938735,33948209,1392537,1365372,27059826,991764,545998,6356621,381188,Admin,,
2021-01-29,US,USA,United States,1883069,35831278,1431658,1358589,28418415,988073,484526,6841147,421217,Admin,,
2021-01-30,US,USA,United States,1015506,36846784,1447765,762476,29180891,991022,237492,7078639,434108,Admin,,
2021-01-31,US,USA,United States,458791,37305575,1457076,325833,29506724,994561,124128,7202767,439477,Admin,,
2021-02-01,US,USA,United States,1337683,38643258,1455422,754478,30261202,980545,554285,7757052,450497,Admin,,
