Date,Location,ShortName,LongName,Administered_Daily,Administered_Cumulative,Administered_7_Day_Rolling_Average,Admin_Dose_1_Daily,Admin_Dose_1_Cumulative,Admin_Dose_1_Day_Rolling_Average,Admin_Dose_2_Daily,Admin_Dose_2_Cumulative,Admin_Dose_2_Day_Rolling_Average,Series_Complete_Daily,Series_Complete_Cumulative,Series_Complete_Day_Rolling_Average,date_type,Administered_daily_change_report,Administered_daily_change_report_7dayroll
2020-12-13,US,USA,United States,12617,12617,12617,11094,11094,11094,1355,1355,1355,1422,1422,1422,Admin,,
2020-12-14,US,USA,United States,3775,16392,8196,3647,14741,7371,5,1360,680,20,1442,721,Admin,,
2020-12-15,US,USA,United States,49468,65860,21953,46000,60741,20247,26,1386,462,40,1482,494,Admin,,
2020-12-16,US,USA,United States,159352,225212,56303,152443,213184,53296,203,1589,397,212,1694,423,Admin,,
2020-12-17,US,USA,United States,271909,497121,99424,260864,474048,94810,515,2104,421,532,2226,445,Admin,,
2020-12-18,US,USA,United States,414370,911491,151915,402625,876673,146112,624,2728,455,625,2851,475,Admin,,
2020-12-19,US,USA,United States,180738,1092229,156032,175882,1052555,150365,732,3460,494,733,3584,512,Admin,,
2020-12-20,US,USA,United States,103431,1195660,169006,101088,1153643,163221,510,3970,374,545,4129,386,Admin,,
2020-12-21,US,USA,United States,378319,1573979,222512,369713,1523356,215516,847,4817,494,851,4980,505,Admin,,
2020-12-22,US,USA,United States,445160,2019139,279039,435758,1959114,271196,2102,6919,790,2105,7085,800,Admin,,
2020-12-23,US,USA,United States,564935,2584074,336980,552693,2511807,328375,1683,8602,1002,1685,8770,1010,Admin,,
2020-12-24,US,USA,United States,193240,2777314,325741,187631,2699438,317913,873,9475,1053,876,9646,1060,Admin,,
2020-12-25,US,USA,United States,12073,2789387,268270,11961,2711399,262104,54,9529,972,54,9700,978,Admin,,
2020-12-26,US,USA,United States,137773,2927160,262133,135203,2846602,256292,367,9896,919,370,10070,926,Admin,,
2020-12-27,US,USA,United States,92767,3019927,260609,90806,2937408,254824,335,10231,894,382,10452,903,Admin,,
2020-12-28,US,USA,United States,573707,3593634,288522,559353,3496761,281915,2364,12595,1111,2368,12820,1120,Admin,,
2020-12-29,US,USA,United States,702691,4296325,325312,681326,4178087,316996,3071,15666,1250,3076,15896,1258,Admin,,
2020-12-30,US,USA,United States,821109,5117434,361908,797623,4975710,351986,5561,21227,1804,5564,21460,1812,Admin,,
2020-12-31,US,USA,United States,412544,5529978,393237,400891,5376601,382452,2056,23283,1973,2057,23517,1981,Admin,,
2021-01-01,US,USA,United States,47017,5576995,398229,44562,5421163,387109,1648,24931,2200,1724,25241,2220,Admin,,
2021-01-02,US,USA,United States,249382,5826377,414173,242418,5663581,402426,2245,27176,2469,2252,27493,2489,Admin,,
2021-01-03,US,USA,United States,129603,5955980,419436,123309,5786890,407069,2116,29292,2723,2118,29611,2737,Admin,,
2021-01-04,US,USA,United States,628077,6584057,427203,573046,6359936,409025,42134,71426,8404,42146,71757,8419,Admin,,
2021-01-05,US,USA,United States,791089,7375146,439831,695326,7055262,411025,82385,153811,19735,82396,154153,19751,Admin,,
2021-01-06,US,USA,United States,986590,8361736,463471,803254,7858516,411829,166018,319829,42657,166039,320192,42676,Admin,,
2021-01-07,US,USA,United States,1123927,9485663,565097,833282,8691798,473600,269150,588979,80814,269158,589350,80833,Admin,,
2021-01-08,US,USA,United States,1188229,10673892,728128,814635,9506433,583610,350647,939626,130671,350665,940015,130682,Admin,,
2021-01-09,US,USA,United States,487924,11161816,762205,356585,9863018,599920,123796,1063422,148035,123800,1063815,148046,Admin,,
2021-01-10,US,USA,United States,237646,11399462,777640,167095,10030113,606175,66956,1130378,157298,66966,1130781,157310,Admin,,
2021-01-11,US,USA,United States,1026034,12425496,834491,694053,10724166,623461,313183,1443561,196019,313198,1443979,196031,Admin,,
2021-01-12,US,USA,United States,1204542,13630038,893556,879464,11603630,649767,305036,1748597,227827,305056,1749035,227840,Admin,,
2021-01-13,US,USA,United States,1276430,14906468,934961,994943,12598573,677151,263083,2011680,241693,263094,2012129,241705,Admin,,
2021-01-14,US,USA,United States,1266395,16172863,955314,1120741,13719314,718217,128881,2140561,221655,128891,2141020,221667,Admin,,
2021-01-15,US,USA,United States,1211479,17384342,958635,1085082,14804396,756852,113522,2254083,187780,113540,2254560,187792,Admin,,
2021-01-16,US,USA,United States,627121,18011463,978521,554219,15358615,785085,67780,2321863,179777,67790,2322350,179790,Admin,,
2021-01-17,US,USA,United States,292367,18303830,986338,250710,15609325,797030,39410,2361273,175842,39411,2361761,175854,Admin,,
2021-01-18,US,USA,United States,837060,19140890,959342,615452,16224777,785802,214904,2576177,161802,214920,2576681,161814,Admin,,
2021-01-19,US,USA,United States,1294920,20435810,972253,943709,17168486,794979,335551,2911728,166162,335558,2912239,166172,Admin,,
2021-01-20,US,USA,United States,1559342,21995152,1012669,1138633,18307119,815507,401162,3312890,185887,401172,3313411,185897,Admin,,
2021-01-21,US,USA,United States,1574891,23570043,1056740,1297533,19604652,840763,256881,3569771,204173,256906,3570317,204185,Admin,,
2021-01-22,US,USA,United States,1570795,25140838,1108070,1355480,20960132,879391,197500,3767271,216170,197514,3767831,216181,Admin,,
2021-01-23,US,USA,United States,879418,26020256,1144113,726853,21686985,904053,141870,3909141,226754,141877,3909708,226765,Admin,,
2021-01-24,US,USA,United States,380904,26401160,1156761,293751,21980736,910202,82362,3991503,232890,82366,3992074,232901,Admin,,
2021-01-25,US,USA,United States,1305906,27707066,1223739,831113,22811849,941010,457917,4449420,267606,457927,4450001,267617,Admin,,
2021-01-26,US,USA,United States,1605372,29312438,1268089,1034618,23846467,953997,549626,4999046,298188,549639,4999640,298200,Admin,,
2021-01-27,US,USA,United States,1861497,31173935,1311254,1219938,25066405,965612,613935,5612981,328584,613948,5613588,328596,Admin,,
2021-01-28,US,USA,United States,1885375,33059310,1355609,1340780,26407185,971790,523564,6136545,366682,523594,6137182,366695,Admin,,
2021-01-29,US,USA,United States,1835693,34895003,1393452,1332882,27740067,968562,467703,6604248,405282,467715,6604897,405295,Admin,,
