Date,Location,ShortName,LongName,Administered_Daily,Administered_Cumulative,Administered_7_Day_Rolling_Average,Admin_Dose_1_Daily,Admin_Dose_1_Cumulative,Admin_Dose_1_Day_Rolling_Average,Admin_Dose_2_Daily,Admin_Dose_2_Cumulative,Admin_Dose_2_Day_Rolling_Average,Series_Complete_Daily,Series_Complete_Cumulative,Series_Complete_Day_Rolling_Average,date_type,Administered_daily_change_report,Administered_daily_change_report_7dayroll
2020-12-13,US,USA,United States,12681,12681,12681,11157,11157,11157,1355,1355,1355,1429,1429,1429,Admin,,
2020-12-14,US,USA,United States,3793,16474,8237,3665,14822,7411,5,1360,680,23,1452,726,Admin,,
2020-12-15,US,USA,United States,49525,65999,21999,46055,60877,20292,27,1387,462,47,1499,499,Admin,,
2020-12-16,US,USA,United States,159630,225629,56407,152717,213594,53399,206,1593,398,226,1725,431,Admin,,
2020-12-17,US,USA,United States,272524,498153,99630,261470,475064,95013,511,2104,421,531,2256,451,Admin,,
2020-12-18,US,USA,United States,414965,913118,152186,403126,878190,146365,648,2752,459,649,2905,484,Admin,,
2020-12-19,US,USA,United States,181005,1094123,156303,176156,1054346,150621,737,3489,498,738,3643,520,Admin,,
2020-12-20,US,USA,United States,103564,1197687,169286,101216,1155562,163486,514,4003,378,550,4193,394,Admin,,
2020-12-21,US,USA,United States,379093,1576780,222900,370412,1525974,215879,856,4859,500,860,5053,514,Admin,,
2020-12-22,US,USA,United States,445823,2022603,279514,436381,1962355,271640,2105,6964,797,2108,7161,808,Admin,,
2020-12-23,US,USA,United States,565877,2588480,337550,553592,2515947,328908,1712,8676,1012,1715,8876,1021,Admin,,
2020-12-24,US,USA,United States,193516,2781996,326263,187891,2703838,318396,885,9561,1065,888,9764,1072,Admin,,
2020-12-25,US,USA,United States,12105,2794101,268711,11993,2715831,262520,54,9615,980,54,9818,987,Admin,,
2020-12-26,US,USA,United States,137890,2931991,262552,135307,2851138,256685,379,9994,929,382,10200,936,Admin,,
2020-12-27,US,USA,United States,92927,3024918,261033,90950,2942088,255218,348,10342,906,395,10595,914,Admin,,
2020-12-28,US,USA,United States,575443,3600361,289083,560998,3503086,282445,2403,12745,1127,2409,13004,1135,Admin,,
