Date,Location,ShortName,LongName,Administered_Daily,Administered_Cumulative,Administered_7_Day_Rolling_Average,Admin_Dose_1_Daily,Admin_Dose_1_Cumulative,Admin_Dose_1_Day_Rolling_Average,Series_Complete_Daily,Series_Complete_Cumulative,Series_Complete_Day_Rolling_Average,date_type,Administered_daily_change_report,Administered_daily_change_report_7dayroll
2020-12-13,US,USA,United States,27516,27516,27516,22997,22997,22997,5191,5191,5191,Admin,,
2020-12-14,US,USA,United States,4508,32024,16012,4356,27353,13677,113,5304,2652,Admin,,
2020-12-15,US,USA,United States,49357,81381,27127,47112,74465,24822,257,5561,1853,Admin,,
2020-12-16,US,USA,United States,159348,240729,60182,154030,228495,57124,461,6022,1505,Admin,,
2020-12-17,US,USA,United States,271768,512497,102499,264746,493241,98648,726,6748,1349,Admin,,
2020-12-18,US,USA,United States,414709,927206,154534,406213,899454,149909,1180,7928,1321,Admin,,
2020-12-19,US,USA,United States,181628,1108834,158404,177738,1077192,153885,1033,8961,1280,Admin,,
2020-12-20,US,USA,United States,104861,1213695,169454,102974,1180166,165310,678,9639,635,Admin,,
2020-12-21,US,USA,United States,380876,1594571,223221,374420,1554586,218176,1458,11097,827,Admin,,
2020-12-22,US,USA,United States,446992,2041563,280026,438583,1993169,274101,2828,13925,1194,Admin,,
2020-12-23,US,USA,United States,573605,2615168,339205,561244,2554413,332274,2858,16783,1537,Admin,,
2020-12-24,US,USA,United States,195636,2810804,328329,190665,2745078,321691,1080,17863,1587,Admin,,
2020-12-25,US,USA,United States,12617,2823421,270887,12467,2757545,265442,102,17965,1433,Admin,,
2020-12-26,US,USA,United States,141728,2965149,265187,137814,2895359,259738,949,18914,1421,Admin,,
2020-12-27,US,USA,United States,96540,3061689,263999,93293,2988652,258355,704,19618,1425,Admin,,
2020-12-28,US,USA,United States,589337,3651026,293779,575265,3563917,287047,4040,23658,1794,Admin,,
2020-12-29,US,USA,United States,719853,4370879,332759,701309,4265226,324580,5140,28798,2124,Admin,,
2020-12-30,US,USA,United States,840853,5211732,370937,821612,5086838,361775,7617,36415,2804,Admin,,
2020-12-31,US,USA,United States,418853,5630585,402825,409371,5496209,393019,3073,39488,3089,Admin,,
2021-01-01,US,USA,United States,96911,5727496,414867,88346,5584555,403859,6382,45870,3986,Admin,,
2021-01-02,US,USA,United States,263540,5991036,432269,254783,5839338,420568,2797,48667,4250,Admin,,
2021-01-03,US,USA,United States,138296,6129332,438234,131352,5970690,426005,2422,51089,4495,Admin,,
2021-01-04,US,USA,United States,655405,6784737,447673,596571,6567261,429049,45556,96645,10426,Admin,,
2021-01-05,US,USA,United States,828439,7613176,463185,727541,7294802,432797,87998,184643,22263,Admin,,
2021-01-06,US,USA,United States,1018964,8632140,488629,829327,8124129,433899,171652,356295,45697,Admin,,
2021-01-07,US,USA,United States,1167549,9799689,595586,864948,8989077,498981,279710,636005,85216,Admin,,
2021-01-08,US,USA,United States,1233864,11033553,758008,846298,9835375,607260,361904,997909,136005,Admin,,
2021-01-09,US,USA,United States,508367,11541920,792983,370201,10205576,623748,128045,1125954,153898,Admin,,
2021-01-10,US,USA,United States,250551,11792471,809019,176093,10381669,630140,69149,1195103,163430,Admin,,
2021-01-11,US,USA,United States,1067723,12860194,867922,722160,11103829,648081,321558,1516661,202859,Admin,,
2021-01-12,US,USA,United States,1256139,14116333,929022,915642,12019471,674953,313474,1830135,235070,Admin,,
2021-01-13,US,USA,United States,1319431,15435764,971946,1027041,13046512,703198,269273,2099408,249016,Admin,,
2021-01-14,US,USA,United States,1311603,16747367,992525,1153587,14200099,744432,135088,2234496,228355,Admin,,
2021-01-15,US,USA,United States,1254275,18001642,995441,1115072,15315171,782828,120033,2354529,193802,Admin,,
2021-01-16,US,USA,United States,648169,18649811,1015413,565276,15880447,810696,71682,2426211,185751,Admin,,
2021-01-17,US,USA,United States,304514,18954325,1023122,255222,16135669,822000,41936,2468147,181863,Admin,,
2021-01-18,US,USA,United States,882965,19837290,996728,637376,16773045,809888,225965,2694112,168207,Admin,,
2021-01-19,US,USA,United States,1343416,21180706,1009196,963645,17736690,816746,353057,3047169,173862,Admin,,
2021-01-20,US,USA,United States,1598232,22778938,1049024,1150711,18887401,834413,417561,3464730,195046,Admin,,
2021-01-21,US,USA,United States,1627621,24406559,1094170,1327344,20214745,859235,272700,3737430,214704,Admin,,
2021-01-22,US,USA,United States,1624638,26031197,1147079,1390309,21605054,898555,208156,3945586,227293,Admin,,
2021-01-23,US,USA,United States,905363,26936560,1183821,741481,22346535,923727,149356,4094942,238390,Admin,,
2021-01-24,US,USA,United States,394210,27330770,1196635,299067,22645602,929990,87330,4182272,244875,Admin,,
2021-01-25,US,USA,United States,1370399,28701169,1266268,858178,23503780,961534,485008,4667280,281881,Admin,,
2021-01-26,US,USA,United States,1659463,30360632,1311418,1052035,24555815,974161,576248,5243528,313765,Admin,,
2021-01-27,US,USA,United States,1927485,32288117,1358454,1248164,25803979,988083,642090,5885618,345841,Admin,,
2021-01-28,US,USA,United States,1958094,34246211,1405664,1367974,27171953,993887,551557,6437175,385677,Admin,,
2021-01-29,US,USA,United States,1910820,36157031,1446547,1370504,28542457,991058,490730,6927905,426045,Admin,,
2021-01-30,US,USA,United States,1016591,37173622,1462437,757174,29299631,993299,240937,7168842,439128,Admin,,
2021-01-31,US,USA,United States,458117,37631739,1471567,320974,29620605,996429,125756,7294598,444618,Admin,,
2021-02-01,US,USA,United States,1375665,39007404,1472319,765229,30385834,983151,566483,7861081,456257,Admin,,
2021-02-02,US,USA,United States,1691024,40698428,1476828,959686,31345520,969958,692926,8554007,472925,Admin,,
2021-02-03,US,USA,United States,2132310,42830738,1506088,1256538,32602058,971154,827321,9381328,499387,Admin,,
2021-02-04,US,USA,United States,2339012,45169750,1560505,1384132,33986190,973462,906308,10287636,550065,Admin,,
2021-02-05,US,USA,United States,2351247,47520997,1623423,1352849,35339039,970940,952942,11240578,616096,Admin,,
2021-02-06,US,USA,United States,1298325,48819322,1663671,850503,36189542,984273,419301,11659879,641576,Admin,,
2021-02-07,US,USA,United States,443442,49262764,1661575,276427,36465969,977909,155597,11815476,645839,Admin,,
2021-02-08,US,USA,United States,1575363,50838127,1690103,835316,37301285,987922,700323,12515799,664959,Admin,,
2021-02-09,US,USA,United States,1970173,52808300,1729981,1035422,38336707,998741,888341,13404140,692876,Admin,,
2021-02-10,US,USA,United States,2299431,55107731,1753856,1226556,39563263,994458,1028422,14432562,721604,Admin,,
2021-02-11,US,USA,United States,2402594,57510325,1762939,1274979,40838242,978865,1082663,15515225,746798,Admin,,
2021-02-12,US,USA,United States,2581396,60091721,1795817,1377422,42215664,982375,1152047,16667272,775242,Admin,,
2021-02-13,US,USA,United States,1470297,61562018,1820385,866958,43082622,984726,568566,17235838,796565,Admin,,
2021-02-14,US,USA,United States,591004,62153022,1841465,345681,43428303,994619,227990,17463828,806907,Admin,,
2021-02-15,US,USA,United States,1175351,63328373,1784320,608967,44037270,962284,532863,17996691,782984,Admin,,
2021-02-16,US,USA,United States,1618874,64947247,1734135,796272,44833542,928119,781951,18778642,767786,Admin,,
2021-02-17,US,USA,United States,1962202,66909449,1685959,933005,45766547,886183,984424,19763066,761500,Admin,,
2021-02-18,US,USA,United States,1854517,68763966,1607663,833417,46599964,823103,969241,20732307,745297,Admin,,
2021-02-19,US,USA,United States,1965158,70729124,1519629,823850,47423814,744021,1089965,21822272,736428,Admin,,
2021-02-20,US,USA,United States,1303774,72032898,1495840,596667,48020481,705408,676251,22498523,751812,Admin,,
2021-02-21,US,USA,United States,594045,72626943,1496274,254293,48274774,692353,320483,22819006,765025,Admin,,
2021-02-22,US,USA,United States,1458258,74085201,1536689,615945,48890719,693350,797081,23616087,802770,Admin,,
2021-02-23,US,USA,United States,1933192,76018393,1581592,865049,49755768,703175,1019846,24635933,836755,Admin,,
2021-02-24,US,USA,United States,2521965,78540358,1661558,1243185,50998953,747487,1226472,25862405,871334,Admin,,
2021-02-25,US,USA,United States,2932923,81473281,1815616,1535516,52534469,847786,1332042,27194447,923162,Admin,,
2021-02-26,US,USA,United States,3108703,84581984,1978980,1670900,54205369,968794,1372230,28566677,963486,Admin,,
2021-02-27,US,USA,United States,1991788,86573772,2077267,1139916,55345285,1046401,813156,29379833,983044,Admin,,
2021-02-28,US,USA,United States,852721,87426493,2114221,534024,55879309,1086362,293472,29673305,979185,Admin,,
2021-03-01,US,USA,United States,2037661,89464154,2196993,1191216,57070525,1168544,788026,30461331,977892,Admin,,
2021-03-02,US,USA,United States,2457682,91921836,2271920,1460209,58530734,1253567,954547,31415878,968563,Admin,,
2021-03-03,US,USA,United States,2896124,94817960,2325371,1738425,60269159,1324315,1116273,32532151,952820,Admin,,
2021-03-04,US,USA,United States,3198594,98016554,2363324,1954079,62223238,1384110,1236921,33769072,939232,Admin,,
2021-03-05,US,USA,United States,3224081,101240635,2379807,2001488,64224726,1431337,1297728,35066800,928589,Admin,,
2021-03-06,US,USA,United States,2054932,103295567,2388827,1348933,65573659,1461196,859444,35926244,935201,Admin,,
2021-03-07,US,USA,United States,922924,104218491,2398856,676683,66250342,1481576,341652,36267896,942084,Admin,,
2021-03-08,US,USA,United States,2160070,106378561,2416343,1480088,67730430,1522844,847487,37115383,950578,Admin,,
2021-03-09,US,USA,United States,2702062,109080623,2451255,1806437,69536867,1572305,1075621,38191004,967875,Admin,,
2021-03-10,US,USA,United States,3117839,112198462,2482928,2059401,71596268,1618158,1262467,39453471,988760,Admin,,
2021-03-11,US,USA,United States,3431947,115630409,2516265,2272728,73868996,1663680,1392183,40845654,1010940,Admin,,
2021-03-12,US,USA,United States,3421358,119051767,2544447,2114220,75983216,1679784,1520510,42366164,1042766,Admin,,
2021-03-13,US,USA,United States,2185861,121237628,2563151,1383139,77366355,1684671,1014290,43380454,1064887,Admin,,
2021-03-14,US,USA,United States,982072,122219700,2571601,647377,78013732,1680484,425229,43805683,1076826,Admin,,
2021-03-15,US,USA,United States,2276746,124496446,2588269,1495114,79508846,1682631,863962,44669645,1079180,Admin,,
2021-03-16,US,USA,United States,2882507,127378953,2614047,1927430,81436276,1699916,1043427,45713072,1074581,Admin,,
2021-03-17,US,USA,United States,3163292,130542245,2620540,2125273,83561549,1709326,1124215,46837287,1054830,Admin,,
2021-03-18,US,USA,United States,3396757,133939002,2615513,2292429,85853978,1712140,1197166,48034453,1026971,Admin,,
2021-03-19,US,USA,United States,3332376,137271378,2602801,2210591,88064569,1725908,1216122,49250575,983487,Admin,,
2021-03-20,US,USA,United States,2151109,139422487,2597837,1408419,89472988,1729519,856710,50107285,960975,Admin,,
2021-03-21,US,USA,United States,1017038,140439525,2602832,681995,90154983,1734464,369716,50477001,953045,Admin,,
2021-03-22,US,USA,United States,2359666,142799191,2614677,1602010,91756993,1749735,801679,51278680,944147,Admin,,
2021-03-23,US,USA,United States,3059478,145858669,2639959,1979897,93736890,1757231,1145857,52424537,958780,Admin,,
2021-03-24,US,USA,United States,3550652,149409321,2695296,2205136,95942026,1768640,1415246,53839783,1000356,Admin,,
2021-03-25,US,USA,United States,3829378,153238699,2757099,2263578,98205604,1764518,1638832,55478615,1063451,Admin,,
2021-03-26,US,USA,United States,3822649,157061348,2827138,2100166,100305770,1748743,1791756,57270371,1145685,Admin,,
2021-03-27,US,USA,United States,2468048,159529396,2872415,1368739,101674509,1743074,1160193,58430564,1189039,Admin,,
2021-03-28,US,USA,United States,1207869,160737265,2899677,670556,102345065,1741440,548741,58979305,1214614,Admin,,
2021-03-29,US,USA,United States,2833324,163570589,2967342,1605957,103951022,1742004,1268187,60247492,1281258,Admin,,
2021-03-30,US,USA,United States,3585746,167156335,3042523,2009707,105960729,1746263,1652470,61899962,1353632,Admin,,
2021-03-31,US,USA,United States,4163264,171319599,3130039,2408167,108368896,1775267,1930756,63830718,1427276,Admin,,
2021-04-01,US,USA,United States,4538838,175858437,3231391,2521838,110890734,1812161,2228917,66059635,1511574,Admin,,
2021-04-02,US,USA,United States,3647266,179505703,3206336,2052727,112943461,1805384,1807750,67867385,1513859,Admin,,
2021-04-03,US,USA,United States,2296745,181802448,3181864,1322009,114265470,1798709,1154462,69021847,1513040,Admin,,
2021-04-04,US,USA,United States,761776,182564224,3118137,436964,114702434,1765338,370084,69391931,1487518,Admin,,
2021-04-05,US,USA,United States,3098360,185662584,3155999,1730943,116433377,1783194,1593150,70985081,1533941,Admin,,
2021-04-06,US,USA,United States,3970549,189633133,3210971,2284841,118718218,1822498,2068154,73053235,1593324,Admin,,
2021-04-07,US,USA,United States,4347382,193980515,3237273,2556488,121274706,1843687,2293814,75347049,1645190,Admin,,
2021-04-08,US,USA,United States,4489190,198469705,3230181,2560095,123834801,1849152,2502544,77849593,1684279,Admin,,
2021-04-09,US,USA,United States,4307970,202777675,3324567,2433432,126268233,1903539,2422119,80271712,1772046,Admin,,
2021-04-10,US,USA,United States,2877810,205655485,3407576,1720991,127989224,1960536,1647393,81919105,1842465,Admin,,
2021-04-11,US,USA,United States,1397452,207052937,3498387,831583,128820807,2016910,798387,82717492,1903651,Admin,,
2021-04-12,US,USA,United States,3007954,210060891,3485472,1627364,130448171,2002113,1714874,84432366,1921040,Admin,,
2021-04-13,US,USA,United States,3469341,213530232,3413871,1738240,132186411,1924028,1708499,86140865,1869661,Admin,,
2021-04-14,US,USA,United States,3680589,217210821,3318615,1725088,133911499,1805256,1917885,88058750,1815957,Admin,,
2021-04-15,US,USA,United States,3732557,220943378,3210524,1748234,135659733,1689276,1942084,90000834,1735891,Admin,,
2021-04-16,US,USA,United States,3590266,224533644,3107995,1630129,137289862,1574518,1919976,91920810,1664156,Admin,,
2021-04-17,US,USA,United States,2353347,226886991,3033072,1159492,138449354,1494304,1173188,93093998,1596413,Admin,,
2021-04-18,US,USA,United States,1128919,228015910,2994710,536758,138986112,1452186,580837,93674835,1565334,Admin,,
2021-04-19,US,USA,United States,2570523,230586433,2932220,1080287,140066399,1374033,1458486,95133321,1528707,Admin,,
2021-04-20,US,USA,United States,3216926,233803359,2896161,1354810,141421209,1319257,1826737,96960058,1545599,Admin,,
2021-04-21,US,USA,United States,3457800,237261159,2864334,1376927,142798136,1269520,2040844,99000902,1563164,Admin,,
2021-04-22,US,USA,United States,3479594,240740753,2828196,1394645,144192781,1219007,2046562,101047464,1578090,Admin,,
2021-04-23,US,USA,United States,3280631,244021384,2783962,1349291,145542072,1178887,1893499,102940963,1574307,Admin,,
2021-04-24,US,USA,United States,2197881,246219265,2761753,1000369,146542441,1156155,1181548,104122511,1575501,Admin,,
2021-04-25,US,USA,United States,989371,247208636,2741818,488941,147031382,1149324,494052,104616563,1563104,Admin,,
2021-04-26,US,USA,United States,2377347,249585983,2714221,929954,147961336,1127848,1426809,106043372,1558578,Admin,,
2021-04-27,US,USA,United States,2873046,252459029,2665095,1100974,149062310,1091586,1782991,107826363,1552329,Admin,,
2021-04-28,US,USA,United States,3066159,255525188,2609147,1140030,150202340,1057743,1958432,109784795,1540556,Admin,,
2021-04-29,US,USA,United States,3031835,258557023,2545181,1107277,151309617,1016691,1969549,111754344,1529554,Admin,,
2021-04-30,US,USA,United States,2894941,261451964,2490082,1104349,152413966,981699,1839367,113593711,1521821,Admin,,
2021-05-01,US,USA,United States,1833434,263285398,2438019,701815,153115781,939049,1159073,114752784,1518610,Admin,,
2021-05-02,US,USA,United States,875453,264160851,2421745,324065,153439846,915495,582886,115335670,1531301,Admin,,
2021-05-03,US,USA,United States,1955345,266116196,2361459,634857,154074703,873338,1394478,116730148,1526682,Admin,,
2021-05-04,US,USA,United States,2494434,268610630,2307371,811737,154886440,832019,1749806,118479954,1521941,Admin,,
2021-05-05,US,USA,United States,2538029,271148659,2231924,811188,155697628,785041,1798129,120278083,1499041,Admin,,
2021-05-06,US,USA,United States,2509975,273658634,2157373,771679,156469307,737099,1808214,122086297,1475993,Admin,,
2021-05-07,US,USA,United States,2497346,276155980,2100573,787262,157256569,691800,1777374,123863671,1467137,Admin,,
2021-05-08,US,USA,United States,1529258,277685238,2057120,504284,157760853,663582,1082947,124946618,1456262,Admin,,
2021-05-09,US,USA,United States,613096,278298334,2019640,204191,157965044,646457,435789,125382407,1435248,Admin,,
2021-05-10,US,USA,United States,1599092,279897426,1968747,481060,158446104,624486,1167610,126550017,1402838,Admin,,
2021-05-11,US,USA,United States,2040949,281938375,1903963,655015,159101119,602097,1443303,127993320,1359052,Admin,,
2021-05-12,US,USA,United States,2008568,283946943,1828326,641549,159742668,577863,1429983,129423303,1306460,Admin,,
2021-05-13,US,USA,United States,2268060,286215003,1793767,923385,160666053,599535,1398764,130822067,1247967,Admin,,
2021-05-14,US,USA,United States,2443173,288658176,1786028,1086905,161752958,642341,1426052,132248119,1197778,Admin,,
2021-05-15,US,USA,United States,1839685,290497861,1830374,903697,162656655,699400,986420,133234539,1183988,Admin,,
2021-05-16,US,USA,United States,929970,291427831,1875642,475762,163132417,738196,484421,133718960,1190936,Admin,,
2021-05-17,US,USA,United States,1815913,293243744,1906616,883747,164016164,795723,1004807,134723767,1167678,Admin,,
2021-05-18,US,USA,United States,2065935,295309679,1910186,987113,165003277,843165,1156366,135880133,1126687,Admin,,
2021-05-19,US,USA,United States,2079870,297389549,1920372,982327,165985604,891848,1172530,137052663,1089908,Admin,,
2021-05-20,US,USA,United States,2013469,299403018,1884002,919945,166905549,891357,1167683,138220346,1056897,Admin,,
2021-05-21,US,USA,United States,2051799,301454817,1828091,930301,167835850,868985,1192031,139412377,1023465,Admin,,
2021-05-22,US,USA,United States,1444130,302898947,1771583,727585,168563435,843826,767158,140179535,992142,Admin,,
