Date,Location,ShortName,LongName,Administered_Daily,Administered_Cumulative,Administered_7_Day_Rolling_Average,Admin_Dose_1_Daily,Admin_Dose_1_Cumulative,Admin_Dose_1_Day_Rolling_Average,Series_Complete_Daily,Series_Complete_Cumulative,Series_Complete_Day_Rolling_Average,date_type,Administered_daily_change_report,Administered_daily_change_report_7dayroll
2020-12-13,US,USA,United States,18425,18425,18425,15843,15843,15843,3103,3103,3103,Admin,,
2020-12-14,US,USA,United States,4231,22656,11328,4106,19949,9975,87,3190,1595,Admin,,
2020-12-15,US,USA,United States,48890,71546,23848,46311,66260,22087,168,3358,1119,Admin,,
2020-12-16,US,USA,United States,160153,231699,57924,153331,219591,54898,342,3700,925,Admin,,
2020-12-17,US,USA,United States,272985,504684,100936,263251,482842,96568,529,4229,845,Admin,,
2020-12-18,US,USA,United States,415237,919921,153320,403632,886474,147746,889,5118,853,Admin,,
2020-12-19,US,USA,United States,181395,1101316,157330,176646,1063120,151874,921,6039,862,Admin,,
2020-12-20,US,USA,United States,104884,1206200,169682,102105,1165225,164197,598,6637,504,Admin,,
2020-12-21,US,USA,United States,381337,1587537,223554,373367,1538592,216949,1094,7731,648,Admin,,
2020-12-22,US,USA,United States,447709,2035246,280528,438928,1977520,273037,2333,10064,958,Admin,,
2020-12-23,US,USA,United States,571194,2606440,339248,559243,2536763,331025,1900,11964,1180,Admin,,
2020-12-24,US,USA,United States,195195,2801635,328135,190023,2726786,320563,838,12802,1224,Admin,,
2020-12-25,US,USA,United States,12494,2814129,270601,12368,2739154,264669,79,12881,1109,Admin,,
2020-12-26,US,USA,United States,140273,2954402,264726,137380,2876534,259059,522,13403,1052,Admin,,
2020-12-27,US,USA,United States,95484,3049886,263383,92716,2969250,257718,520,13923,1040,Admin,,
2020-12-28,US,USA,United States,585105,3634991,292493,572715,3541965,286196,2817,16740,1287,Admin,,
2020-12-29,US,USA,United States,713684,4348675,330489,696137,4238102,322940,4020,20760,1528,Admin,,
2020-12-30,US,USA,United States,834403,5183078,368091,816043,5054145,359626,6266,27026,2151,Admin,,
2020-12-31,US,USA,United States,418004,5601082,399921,409406,5463551,390966,2652,29678,2410,Admin,,
2021-01-01,US,USA,United States,77171,5678253,409160,71298,5534849,399385,4793,34471,3084,Admin,,
2021-01-02,US,USA,United States,259247,5937500,426156,251197,5786046,415645,2783,37254,3407,Admin,,
2021-01-03,US,USA,United States,136014,6073514,431946,128820,5914866,420802,2379,39633,3672,Admin,,
2021-01-04,US,USA,United States,646142,6719656,440666,589246,6504112,423164,44250,83883,9591,Admin,,
2021-01-05,US,USA,United States,818837,7538493,455688,721026,7225138,426719,86218,170101,21334,Admin,,
