Date,Location,ShortName,LongName,Administered_Daily,Administered_Cumulative,Administered_7_Day_Rolling_Average,Admin_Dose_1_Daily,Admin_Dose_1_Cumulative,Admin_Dose_1_Day_Rolling_Average,Admin_Dose_2_Daily,Admin_Dose_2_Cumulative,Admin_Dose_2_Day_Rolling_Average,date_type,Administered_daily_change_report,Administered_daily_change_report_7dayroll
2020-12-13,US,USA,United States,11212,11212,11212,9881,9881,9881,1213,1213,1213,Admin,,
2020-12-14,US,USA,United States,3575,14787,7394,3456,13337,6669,4,1217,609,Admin,,
2020-12-15,US,USA,United States,48744,63531,21177,45325,58662,19554,22,1239,413,Admin,,
2020-12-16,US,USA,United States,157066,220597,55149,150235,208897,52224,184,1423,356,Admin,,
2020-12-17,US,USA,United States,269026,489623,97925,258251,467148,93430,469,1892,378,Admin,,
2020-12-18,US,USA,United States,408112,897735,149623,396979,864127,144021,513,2405,401,Admin,,
2020-12-19,US,USA,United States,178067,1075802,153686,173559,1037686,148241,673,3078,440,Admin,,
2020-12-20,US,USA,United States,101520,1177322,166587,99416,1137102,161032,440,3518,329,Admin,,
2020-12-21,US,USA,United States,372811,1550133,219335,364656,1501758,212632,684,4202,426,Admin,,
2020-12-22,US,USA,United States,439333,1989466,275134,430332,1932090,267633,1819,6021,683,Admin,,
2020-12-23,US,USA,United States,556034,2545500,332129,544156,2476246,323907,1535,7556,876,Admin,,
2020-12-24,US,USA,United States,190678,2736178,320936,185159,2661405,313465,863,8419,932,Admin,,
2020-12-25,US,USA,United States,11861,2748039,264329,11776,2673181,258436,32,8451,864,Admin,,
2020-12-26,US,USA,United States,136055,2884094,258327,133645,2806826,252734,285,8736,808,Admin,,
2020-12-27,US,USA,United States,91096,2975190,256838,89273,2896099,251285,270,9006,784,Admin,,
2020-12-28,US,USA,United States,564428,3539618,284212,550760,3446859,277872,2044,11050,978,Admin,,
2020-12-29,US,USA,United States,692622,4232240,320396,672251,4119110,312431,2545,13595,1082,Admin,,
2020-12-30,US,USA,United States,809859,5042099,356657,787695,4906805,347223,4767,18362,1544,Admin,,
2020-12-31,US,USA,United States,406490,5448589,387487,395592,5302397,377285,1473,19835,1631,Admin,,
2021-01-01,US,USA,United States,38708,5487297,391323,37341,5339738,380937,717,20552,1729,Admin,,
2021-01-02,US,USA,United States,243348,5730645,406650,236992,5576730,395701,1785,22337,1943,Admin,,
2021-01-03,US,USA,United States,124087,5854732,411363,118465,5695195,399871,1861,24198,2170,Admin,,
2021-01-04,US,USA,United States,613740,6468472,418408,560733,6255928,401296,40732,64930,7697,Admin,,
2021-01-05,US,USA,United States,772097,7240569,429761,679726,6935654,402363,79800,144730,18734,Admin,,
2021-01-06,US,USA,United States,952142,8192711,450087,775397,7711051,400607,160426,305156,40971,Admin,,
2021-01-07,US,USA,United States,1092270,9284981,548056,813510,8524561,460309,260969,566125,78041,Admin,,
2021-01-08,US,USA,United States,1154735,10439716,707488,794060,9318621,568412,341592,907717,126738,Admin,,
2021-01-09,US,USA,United States,473689,10913405,740394,347645,9666266,584219,120859,1028576,143748,Admin,,
2021-01-10,US,USA,United States,229219,11142624,755413,161735,9828001,590401,65309,1093885,152812,Admin,,
