Date,Location,ShortName,LongName,Administered_Daily,Administered_Cumulative,Administered_7_Day_Rolling_Average,Admin_Dose_1_Daily,Admin_Dose_1_Cumulative,Admin_Dose_1_Day_Rolling_Average,Admin_Dose_2_Daily,Admin_Dose_2_Cumulative,Admin_Dose_2_Day_Rolling_Average,date_type,Administered_daily_change_report,Administered_daily_change_report_7dayroll
2020-12-13,US,USA,United States,10997,10997,10997,9707,9707,9707,1173,1173,1173,Admin,,
2020-12-14,US,USA,United States,3574,14571,7286,3455,13162,6581,4,1177,589,Admin,,
2020-12-15,US,USA,United States,48720,63291,21097,45305,58467,19489,21,1198,399,Admin,,
2020-12-16,US,USA,United States,157019,220310,55078,150198,208665,52166,183,1381,345,Admin,,
2020-12-17,US,USA,United States,268692,489002,97800,257929,466594,93319,468,1849,370,Admin,,
2020-12-18,US,USA,United States,407627,896629,149438,396519,863113,143852,502,2351,392,Admin,,
2020-12-19,US,USA,United States,177886,1074515,153502,173388,1036501,148072,669,3020,431,Admin,,
2020-12-20,US,USA,United States,101442,1175957,166423,99346,1135847,160877,434,3454,326,Admin,,
2020-12-21,US,USA,United States,372107,1548064,219070,364013,1499860,212385,680,4134,422,Admin,,
2020-12-22,US,USA,United States,438472,1986536,274749,429536,1929396,267276,1810,5944,678,Admin,,
2020-12-23,US,USA,United States,554521,2541057,331535,542691,2472087,323346,1529,7473,870,Admin,,
2020-12-24,US,USA,United States,190009,2731066,320295,184507,2656594,312857,853,8326,925,Admin,,
2020-12-25,US,USA,United States,11858,2742924,263756,11775,2668369,257894,30,8356,858,Admin,,
2020-12-26,US,USA,United States,135953,2878877,257766,133547,2801916,252202,283,8639,803,Admin,,
2020-12-27,US,USA,United States,91051,2969928,256282,89233,2891149,250757,265,8904,779,Admin,,
2020-12-28,US,USA,United States,563945,3533873,283687,550296,3441445,277369,2034,10938,972,Admin,,
2020-12-29,US,USA,United States,691818,4225691,319879,671482,4112927,311933,2533,13471,1075,Admin,,
2020-12-30,US,USA,United States,809162,5034853,356257,787038,4899965,346840,4749,18220,1535,Admin,,
2020-12-31,US,USA,United States,406082,5440935,387124,395212,5295177,376940,1462,19682,1622,Admin,,
2021-01-01,US,USA,United States,38431,5479366,390920,37084,5332261,380556,703,20385,1718,Admin,,
2021-01-02,US,USA,United States,242927,5722293,406202,236583,5568844,395275,1780,22165,1932,Admin,,
2021-01-03,US,USA,United States,123924,5846217,410898,118309,5687153,399429,1854,24019,2159,Admin,,
2021-01-04,US,USA,United States,613009,6459226,417908,560088,6247241,400828,40703,64722,7683,Admin,,
2021-01-05,US,USA,United States,771075,7230301,429230,678894,6926135,401887,79670,144392,18703,Admin,,
2021-01-06,US,USA,United States,950845,8181146,449470,774510,7700645,400097,160109,304501,40897,Admin,,
2021-01-07,US,USA,United States,1090473,9271619,547241,812507,8513152,459711,260306,564807,77875,Admin,,
2021-01-08,US,USA,United States,1151922,10423541,706311,792612,9305764,567643,340284,905091,126387,Admin,,
2021-01-09,US,USA,United States,472757,10896298,739144,346963,9652727,583412,120679,1025770,143372,Admin,,
2021-01-10,US,USA,United States,228977,11125275,754151,161611,9814338,589598,65250,1091020,152429,Admin,,
2021-01-11,US,USA,United States,995798,12121073,808835,676327,10490665,606203,303481,1394501,189968,Admin,,
2021-01-12,US,USA,United States,1165487,13286560,865180,852760,11343425,631041,295273,1689774,220769,Admin,,
2021-01-13,US,USA,United States,1238244,14524804,906237,969822,12313247,658943,252777,1942551,234007,Admin,,
2021-01-14,US,USA,United States,1230424,15755228,926230,1094945,13408192,699291,122439,2064990,214312,Admin,,
2021-01-15,US,USA,United States,1168014,16923242,928529,1052090,14460282,736360,105594,2170584,180785,Admin,,
2021-01-16,US,USA,United States,603041,17526283,947141,537086,14997368,763520,61972,2232556,172398,Admin,,
2021-01-17,US,USA,United States,278009,17804292,954145,241062,15238430,774870,35540,2268096,168154,Admin,,
2021-01-18,US,USA,United States,797986,18602278,925886,591169,15829599,762705,202189,2470285,153683,Admin,,
2021-01-19,US,USA,United States,1249614,19851892,937905,916898,16746497,771867,319058,2789343,157081,Admin,,
