Date,Location,ShortName,LongName,Administered_Daily,Administered_Cumulative,Administered_7_Day_Rolling_Average,Admin_Dose_1_Daily,Admin_Dose_1_Cumulative,Admin_Dose_1_Day_Rolling_Average,Series_Complete_Daily,Series_Complete_Cumulative,Series_Complete_Day_Rolling_Average,date_type,Administered_daily_change_report,Administered_daily_change_report_7dayroll
2020-12-13,US,USA,United States,14708,14708,14708,13206,13206,13206,1874,1874,1874,Admin,,
2020-12-14,US,USA,United States,4142,18850,9425,4045,17251,8626,59,1933,966,Admin,,
2020-12-15,US,USA,United States,49865,68715,22905,47318,64569,21523,144,2077,692,Admin,,
2020-12-16,US,USA,United States,161646,230361,57590,154888,219457,54864,316,2393,598,Admin,,
2020-12-17,US,USA,United States,274660,505021,101004,264993,484450,96890,499,2892,578,Admin,,
2020-12-18,US,USA,United States,418335,923356,153892,406662,891112,148519,821,3713,618,Admin,,
2020-12-19,US,USA,United States,183055,1106411,158058,178301,1069413,152773,881,4594,656,Admin,,
2020-12-20,US,USA,United States,105754,1212165,171065,102992,1172405,165600,585,5179,472,Admin,,
2020-12-21,US,USA,United States,382575,1594740,225127,374593,1546998,218535,1013,6192,608,Admin,,
2020-12-22,US,USA,United States,449041,2043781,282152,439793,1986791,274603,2276,8468,913,Admin,,
2020-12-23,US,USA,United States,572373,2616154,340827,560557,2547348,332556,1836,10304,1130,Admin,,
2020-12-24,US,USA,United States,195907,2812061,329577,190766,2738114,321952,815,11119,1175,Admin,,
2020-12-25,US,USA,United States,12477,2824538,271597,12359,2750473,265623,74,11193,1068,Admin,,
2020-12-26,US,USA,United States,140316,2964854,265491,137490,2887963,259793,474,11667,1010,Admin,,
2020-12-27,US,USA,United States,95564,3060418,264036,92836,2980799,258342,476,12143,994,Admin,,
2020-12-28,US,USA,United States,585580,3645998,293036,573406,3554205,286744,2611,14754,1223,Admin,,
2020-12-29,US,USA,United States,713895,4359893,330873,696386,4250591,323400,3770,18524,1436,Admin,,
2020-12-30,US,USA,United States,834515,5194408,368322,815968,5066559,359887,6449,24973,2095,Admin,,
2020-12-31,US,USA,United States,417767,5612175,400016,409300,5475859,391106,2537,27510,2341,Admin,,
2021-01-01,US,USA,United States,72534,5684709,408595,67693,5543552,399011,4406,31916,2960,Admin,,
2021-01-02,US,USA,United States,258515,5943224,425481,250567,5794119,415165,2704,34620,3279,Admin,,
2021-01-03,US,USA,United States,135466,6078690,431181,128281,5922400,420229,2362,36982,3548,Admin,,
2021-01-04,US,USA,United States,646338,6725028,439861,589114,6511514,422473,44851,81833,9582,Admin,,
2021-01-05,US,USA,United States,817353,7542381,454641,719733,7231247,425808,86916,168749,21460,Admin,,
2021-01-06,US,USA,United States,1010227,8552608,479742,823816,8055063,426929,170785,339534,44937,Admin,,
2021-01-07,US,USA,United States,1151605,9704213,584576,855618,8910681,490689,275893,615427,83988,Admin,,
2021-01-08,US,USA,United States,1216812,10921025,748045,836370,9747051,600500,357961,973388,134496,Admin,,
2021-01-09,US,USA,United States,502035,11423060,782833,366810,10113861,617106,126785,1100173,152221,Admin,,
2021-01-10,US,USA,United States,246944,11670004,798759,173798,10287659,623608,68342,1168515,161647,Admin,,
2021-01-11,US,USA,United States,1056130,12726134,857300,716584,11004243,641818,319496,1488011,200882,Admin,,
2021-01-12,US,USA,United States,1239042,13965176,917542,905180,11909423,668311,311416,1799427,232954,Admin,,
2021-01-13,US,USA,United States,1308961,15274137,960218,1021143,12930566,696500,268747,2068174,246948,Admin,,
2021-01-14,US,USA,United States,1299303,16573440,981318,1147228,14077794,738159,133050,2201224,226542,Admin,,
2021-01-15,US,USA,United States,1249738,17823178,986021,1115319,15193113,778009,118320,2319544,192308,Admin,,
2021-01-16,US,USA,United States,649548,18472726,1007095,568570,15761683,806832,70733,2390277,184300,Admin,,
2021-01-17,US,USA,United States,304990,18777716,1015387,256365,16018048,818627,41450,2431727,180458,Admin,,
2021-01-18,US,USA,United States,875141,19652857,989531,634976,16653024,806969,225376,2657103,167013,Admin,,
2021-01-19,US,USA,United States,1334776,20987633,1003208,966860,17619884,815780,348728,3005831,172343,Admin,,
2021-01-20,US,USA,United States,1608817,22596450,1046044,1171345,18791229,837238,416347,3422178,193429,Admin,,
2021-01-21,US,USA,United States,1626211,24222661,1092745,1335569,20126798,864143,268242,3690420,212742,Admin,,
2021-01-22,US,USA,United States,1610296,25832957,1144254,1384853,21511651,902648,204423,3894843,225042,Admin,,
2021-01-23,US,USA,United States,903076,26736033,1180472,742045,22253696,927430,147341,4042184,235986,Admin,,
2021-01-24,US,USA,United States,393713,27129746,1193147,301115,22554811,933823,86590,4128774,242435,Admin,,
2021-01-25,US,USA,United States,1349822,28479568,1260958,852858,23407669,964949,477378,4606152,278435,Admin,,
2021-01-26,US,USA,United States,1644997,30124565,1305276,1051284,24458953,977010,570747,5176899,310152,Admin,,
2021-01-27,US,USA,United States,1911266,32035831,1348483,1246810,25705763,987791,637238,5814137,341708,Admin,,
2021-01-28,US,USA,United States,1939622,33975453,1393256,1365847,27071610,992116,546292,6360429,381429,Admin,,
