Date,Location,ShortName,LongName,Administered_Daily,Administered_Cumulative,Administered_7_Day_Rolling_Average,Admin_Dose_1_Daily,Admin_Dose_1_Cumulative,Admin_Dose_1_Day_Rolling_Average,Admin_Dose_2_Daily,Admin_Dose_2_Cumulative,Admin_Dose_2_Day_Rolling_Average,date_type,Administered_daily_change_report,Administered_daily_change_report_7dayroll
2020-12-13,US,USA,United States,8852,8852,8852,7840,7840,7840,935,935,935,Admin,,
2020-12-14,US,USA,United States,3506,12358,6179,3388,11228,5614,4,939,469,Admin,,
2020-12-15,US,USA,United States,48361,60719,20239,44951,56179,18726,18,957,319,Admin,,
2020-12-16,US,USA,United States,156659,217378,54344,149848,206027,51506,178,1135,283,Admin,,
2020-12-17,US,USA,United States,267480,484858,96971,256815,462842,92568,457,1592,318,Admin,,
2020-12-18,US,USA,United States,403467,888325,148054,392528,855370,142561,459,2051,341,Admin,,
2020-12-19,US,USA,United States,169719,1058044,151149,165262,1020632,145804,644,2695,385,Admin,,
2020-12-20,US,USA,United States,99936,1157980,164161,97948,1118580,158677,332,3027,298,Admin,,
2020-12-21,US,USA,United States,370785,1528765,216629,362777,1481357,210018,627,3654,387,Admin,,
2020-12-22,US,USA,United States,436636,1965401,272097,427784,1909141,264708,1761,5415,636,Admin,,
2020-12-23,US,USA,United States,552310,2517711,328619,540756,2449897,320552,1460,6875,820,Admin,,
2020-12-24,US,USA,United States,189132,2706843,317426,183778,2633675,310119,838,7713,874,Admin,,
2020-12-25,US,USA,United States,11777,2718620,261470,11705,2645380,255715,26,7739,812,Admin,,
2020-12-26,US,USA,United States,134177,2852797,256393,131873,2777253,250945,258,7997,757,Admin,,
2020-12-27,US,USA,United States,89939,2942736,254965,88165,2865418,249548,247,8244,745,Admin,,
2020-12-28,US,USA,United States,558784,3501520,281822,545476,3410894,275648,1941,10185,933,Admin,,
2020-12-29,US,USA,United States,685553,4187073,317381,665659,4076553,309630,2363,12548,1019,Admin,,
2020-12-30,US,USA,United States,801902,4988975,353037,780189,4856742,343835,4582,17130,1465,Admin,,
2020-12-31,US,USA,United States,403029,5392004,383594,392370,5249112,373633,1397,18527,1544,Admin,,
2021-01-01,US,USA,United States,36631,5428635,387145,35444,5284556,377025,568,19095,1622,Admin,,
2021-01-02,US,USA,United States,238540,5667175,402054,232301,5516857,391372,1695,20790,1827,Admin,,
2021-01-03,US,USA,United States,121488,5788663,406561,115927,5632784,395338,1822,22612,2052,Admin,,
2021-01-04,US,USA,United States,606188,6394851,413333,553900,6186684,396541,40362,62974,7541,Admin,,
