Date,Location,ShortName,LongName,Administered_Daily,Administered_Cumulative,Administered_7_Day_Rolling_Average,Admin_Dose_1_Daily,Admin_Dose_1_Cumulative,Admin_Dose_1_Day_Rolling_Average,Admin_Dose_2_Daily,Admin_Dose_2_Cumulative,Admin_Dose_2_Day_Rolling_Average,Series_Complete_Daily,Series_Complete_Cumulative,Series_Complete_Day_Rolling_Average,date_type,Administered_daily_change_report,Administered_daily_change_report_7dayroll
2020-12-13,US,USA,United States,13251,13251,13251,11725,11725,11725,1355,1355,1355,1512,1512,1512,Admin,,
2020-12-14,US,USA,United States,3920,17171,8585,3789,15514,7757,5,1360,680,35,1547,773,Admin,,
2020-12-15,US,USA,United States,49782,66953,22317,46309,61823,20608,27,1387,462,72,1619,539,Admin,,
2020-12-16,US,USA,United States,159639,226592,56648,152634,214457,53614,211,1598,400,256,1875,468,Admin,,
2020-12-17,US,USA,United States,274495,501087,100217,263058,477515,95503,551,2149,430,588,2463,492,Admin,,
2020-12-18,US,USA,United States,418322,919409,153234,405584,883099,147183,695,2844,474,705,3168,528,Admin,,
2020-12-19,US,USA,United States,182148,1101557,157365,176662,1059761,151394,795,3639,520,797,3965,566,Admin,,
2020-12-20,US,USA,United States,104559,1206116,170409,101838,1161599,164268,533,4172,402,572,4537,432,Admin,,
2020-12-21,US,USA,United States,381371,1587487,224330,371799,1533398,216841,915,5087,532,930,5467,560,Admin,,
2020-12-22,US,USA,United States,447041,2034528,281082,437254,1970652,272690,2183,7270,840,2195,7662,863,Admin,,
2020-12-23,US,USA,United States,568164,2602692,339442,555454,2526106,330236,1803,9073,1068,1809,9471,1085,Admin,,
2020-12-24,US,USA,United States,194366,2797058,327995,188613,2714719,319601,916,9989,1120,922,10393,1132,Admin,,
2020-12-25,US,USA,United States,12250,2809308,269985,12128,2726847,263393,58,10047,1029,58,10451,1040,Admin,,
2020-12-26,US,USA,United States,138379,2947687,263732,135723,2862570,257544,418,10465,975,422,10873,986,Admin,,
2020-12-27,US,USA,United States,93239,3040926,262115,91178,2953748,256021,377,10842,953,424,11297,965,Admin,,
2020-12-28,US,USA,United States,578769,3619695,290315,563966,3517714,283474,2573,13415,1190,2581,13878,1201,Admin,,
2020-12-29,US,USA,United States,708335,4328030,327643,685698,4203412,318966,3899,17314,1435,3908,17786,1446,Admin,,
2020-12-30,US,USA,United States,828106,5156136,364777,803625,5007037,354419,6108,23422,2050,6115,23901,2061,Admin,,
2020-12-31,US,USA,United States,415602,5571738,396382,403385,5410422,385100,2408,25830,2263,2413,26314,2274,Admin,,
2021-01-01,US,USA,United States,53446,5625184,402268,50262,5460684,390548,2309,28139,2585,2496,28810,2622,Admin,,
2021-01-02,US,USA,United States,252278,5877462,418539,244599,5705283,406102,2459,30598,2876,2470,31280,2915,Admin,,
2021-01-03,US,USA,United States,131006,6008468,423934,124212,5829495,410821,2228,32826,3141,2231,33511,3173,Admin,,
2021-01-04,US,USA,United States,634634,6643102,431915,578161,6407656,412849,43079,75905,8927,43107,76618,8962,Admin,,
2021-01-05,US,USA,United States,801246,7444348,445188,703455,7111111,415386,83494,159399,20298,83520,160138,20336,Admin,,
2021-01-06,US,USA,United States,996268,8440616,469211,810206,7921317,416326,167893,327292,43410,167942,328080,43454,Admin,,
2021-01-07,US,USA,United States,1133196,9573812,571724,838991,8760308,478555,271871,599163,81905,271888,599968,81950,Admin,,
2021-01-08,US,USA,United States,1198087,10771899,735245,820413,9580721,588577,354046,953209,132153,354076,954044,132176,Admin,,
2021-01-09,US,USA,United States,493652,11265551,769727,360328,9941049,605109,125396,1078605,149715,125402,1079446,149738,Admin,,
2021-01-10,US,USA,United States,240670,11506221,785393,168884,10109933,611491,67708,1146313,159070,67723,1147169,159094,Admin,,
2021-01-11,US,USA,United States,1037550,12543771,842952,701679,10811612,629137,315908,1462221,198045,315936,1463105,198069,Admin,,
2021-01-12,US,USA,United States,1216427,13760198,902264,886511,11698123,655287,307705,1769926,230075,307740,1770845,230101,Admin,,
2021-01-13,US,USA,United States,1289749,15049947,944190,1003654,12701777,682923,265464,2035390,244014,265488,2036333,244036,Admin,,
2021-01-14,US,USA,United States,1279647,16329594,965111,1130255,13832032,724532,130840,2166230,223867,130862,2167195,223889,Admin,,
2021-01-15,US,USA,United States,1225237,17554831,968990,1094677,14926709,763713,115603,2281833,189803,115647,2282842,189828,Admin,,
2021-01-16,US,USA,United States,635828,18190659,989301,559175,15485884,792119,69029,2350862,181751,69046,2351888,181777,Admin,,
2021-01-17,US,USA,United States,294955,18485614,997056,252043,15737927,803999,40165,2391027,177816,40170,2392058,177841,Admin,,
2021-01-18,US,USA,United States,850537,19336151,970340,621360,16359287,792525,219365,2610392,164024,219404,2611462,164051,Admin,,
2021-01-19,US,USA,United States,1308840,20644991,983541,950125,17309412,801613,339820,2950212,168612,339839,2951301,168636,Admin,,
2021-01-20,US,USA,United States,1577312,22222303,1024622,1149104,18458516,822391,407137,3357349,188851,407170,3358471,188876,Admin,,
2021-01-21,US,USA,United States,1592596,23814899,1069329,1309267,19767783,847964,260805,3618154,207418,260843,3619314,207445,Admin,,
2021-01-22,US,USA,United States,1587647,25402546,1121102,1367248,21135031,886903,200381,3818535,219529,200401,3819715,219553,Admin,,
2021-01-23,US,USA,United States,889957,26292503,1157406,732783,21867814,911704,144051,3962586,230246,144060,3963775,230269,Admin,,
2021-01-24,US,USA,United States,385784,26678287,1170381,296484,22164298,918053,83656,4046242,236459,83664,4047439,236483,Admin,,
2021-01-25,US,USA,United States,1321781,28000068,1237702,838387,23002685,949057,463980,4510222,271404,464001,4511440,271425,Admin,,
2021-01-26,US,USA,United States,1622353,29622421,1282490,1040296,24042981,961938,557776,5067998,302541,557802,5069242,302563,Admin,,
2021-01-27,US,USA,United States,1887516,31509937,1326804,1233557,25276538,974003,622700,5690698,333336,622722,5691964,333356,Admin,,
2021-01-28,US,USA,United States,1910398,33420335,1372205,1352987,26629525,980249,532611,6223309,372165,532649,6224613,372185,Admin,,
2021-01-29,US,USA,United States,1858396,35278731,1410883,1345371,27974896,977124,473719,6697028,411213,473745,6698358,411234,Admin,,
2021-01-30,US,USA,United States,999458,36278189,1426526,753125,28728021,980030,231182,6928210,423661,231184,6929542,423681,Admin,,
2021-01-31,US,USA,United States,448044,36726233,1435420,321042,29049063,983538,118986,7047196,428708,119002,7048544,428729,Admin,,
2021-02-01,US,USA,United States,1287327,38013560,1430498,728670,29777733,967864,533600,7580796,438653,533836,7582380,438705,Admin,,
2021-02-02,US,USA,United States,1632689,39646249,1431975,945582,30723315,954333,663870,8244666,453810,663944,8246324,453868,Admin,,
2021-02-03,US,USA,United States,2083910,41730159,1460031,1246320,31969635,956157,803963,9048629,479704,804019,9050343,479768,Admin,,
2021-02-04,US,USA,United States,2277582,44007741,1512486,1372839,33342474,958993,874386,9923015,528529,874466,9924809,528599,Admin,,
2021-02-05,US,USA,United States,2282859,46290600,1573124,1337662,34680136,957891,917907,10840922,591985,917971,10842780,592060,Admin,,
2021-02-06,US,USA,United States,1267716,47558316,1611446,843117,35523253,970747,405819,11246741,616933,405860,11248640,617014,Admin,,
2021-02-07,US,USA,United States,436917,47995233,1609857,277419,35800672,964516,150301,11397042,621407,150323,11398963,621488,Admin,,
2021-02-08,US,USA,United States,1514352,49509585,1642289,821703,36622375,977806,670163,12067205,640916,670239,12069202,640974,Admin,,
2021-02-09,US,USA,United States,1899727,51409312,1680437,1022890,37645265,988850,854048,12921253,668084,854128,12923330,668143,Admin,,
2021-02-10,US,USA,United States,2218430,53627742,1699654,1204684,38849949,982902,990505,13911758,694733,990586,13913916,694796,Admin,,
2021-02-11,US,USA,United States,2324061,55951803,1706294,1253991,40103940,965924,1044325,14956083,719010,1044411,14958327,719074,Admin,,
2021-02-12,US,USA,United States,2505061,58456864,1738037,1354430,41458370,968319,1116390,16072473,747364,1116484,16074811,747433,Admin,,
2021-02-13,US,USA,United States,1433444,59890308,1761713,852001,42310371,969588,559801,16632274,769362,559858,16634669,769432,Admin,,
2021-02-14,US,USA,United States,568614,60458922,1780527,335158,42645529,977837,222145,16854419,779625,222162,16856831,779695,Admin,,
2021-02-15,US,USA,United States,1130551,61589473,1725698,601937,43247466,946442,506219,17360638,756205,506312,17363143,756277,Admin,,
2021-02-16,US,USA,United States,1577748,63167221,1679701,789928,44037394,913161,761171,18121809,742937,761229,18124372,743006,Admin,,
2021-02-17,US,USA,United States,1914684,65081905,1636309,924312,44961706,873108,963562,19085371,739088,963646,19088018,739157,Admin,,
2021-02-18,US,USA,United States,1793350,66875255,1560493,821774,45783480,811363,940812,20026183,724300,940904,20028922,724370,Admin,,
2021-02-19,US,USA,United States,1902715,68777970,1474443,820149,46603629,735037,1051489,21077672,715028,1051655,21080577,715109,Admin,,
2021-02-20,US,USA,United States,1273604,70051574,1451609,595290,47198919,698364,656600,21734272,728857,656655,21737232,728937,Admin,,
2021-02-21,US,USA,United States,572324,70623898,1452139,249719,47448638,686158,309871,22044143,741389,309917,22047149,741474,Admin,,
2021-02-22,US,USA,United States,1407784,72031682,1491744,613077,48061715,687750,764380,22808523,778269,764482,22811631,778355,Admin,,
2021-02-23,US,USA,United States,1877485,73909167,1534563,862844,48924559,698166,978565,23787088,809326,978659,23790290,809416,Admin,,
2021-02-24,US,USA,United States,2432149,76341316,1608487,1229472,50154031,741761,1166503,24953591,838317,1166637,24956927,838415,Admin,,
2021-02-25,US,USA,United States,2831446,79172762,1756786,1509721,51663752,840039,1277687,26231278,886442,1277899,26234826,886557,Admin,,
2021-02-26,US,USA,United States,3006404,82179166,1914456,1650816,53314568,958706,1314939,27546217,924078,1315060,27549886,924187,Admin,,
2021-02-27,US,USA,United States,1935938,84115104,2009075,1126821,54441389,1034639,780459,28326676,941772,780754,28330640,941915,Admin,,
2021-02-28,US,USA,United States,819874,84934978,2044440,527249,54968638,1074286,275522,28602198,936865,275600,28606240,937013,Admin,,
