Date,Location,ShortName,LongName,Administered_Daily,Administered_Cumulative,Administered_7_Day_Rolling_Average,Admin_Dose_1_Daily,Admin_Dose_1_Cumulative,Admin_Dose_1_Day_Rolling_Average,Admin_Dose_2_Daily,Admin_Dose_2_Cumulative,Admin_Dose_2_Day_Rolling_Average,Series_Complete_Daily,Series_Complete_Cumulative,Series_Complete_Day_Rolling_Average,date_type,Administered_daily_change_report,Administered_daily_change_report_7dayroll
2020-12-13,US,USA,United States,13611,13611,13611,12116,12116,12116,1348,1348,1348,1543,1543,1543,Admin,,
2020-12-14,US,USA,United States,4048,17659,8829,3914,16030,8015,7,1355,678,43,1586,793,Admin,,
2020-12-15,US,USA,United States,50399,68058,22686,46976,63006,21002,33,1388,463,106,1692,564,Admin,,
2020-12-16,US,USA,United States,160902,228960,57240,154254,217260,54315,224,1612,403,289,1981,495,Admin,,
2020-12-17,US,USA,United States,274541,503501,100700,264695,481955,96391,586,2198,440,638,2619,523,Admin,,
2020-12-18,US,USA,United States,419401,922902,153817,407854,889809,148302,770,2968,495,786,3405,567,Admin,,
2020-12-19,US,USA,United States,182750,1105652,157950,177913,1067722,152532,961,3929,561,967,4372,624,Admin,,
2020-12-20,US,USA,United States,105381,1211033,171060,102605,1170327,165459,559,4488,449,632,5004,494,Admin,,
2020-12-21,US,USA,United States,381283,1592316,224951,373489,1543816,218255,964,5452,585,983,5987,628,Admin,,
2020-12-22,US,USA,United States,448230,2040546,281784,439145,1982961,274279,2272,7724,905,2289,8276,940,Admin,,
2020-12-23,US,USA,United States,569284,2609830,340124,558325,2541286,332004,1836,9560,1135,1846,10122,1163,Admin,,
2020-12-24,US,USA,United States,194734,2804564,328723,189627,2730913,321280,857,10417,1174,865,10987,1195,Admin,,
2020-12-25,US,USA,United States,12349,2816913,270573,12236,2743149,264763,68,10485,1074,68,11055,1092,Admin,,
2020-12-26,US,USA,United States,139031,2955944,264327,136764,2879913,258884,444,10929,1000,449,11504,1018,Admin,,
2020-12-27,US,USA,United States,94170,3050114,262725,92073,2971986,257380,414,11343,979,462,11966,994,Admin,,
2020-12-28,US,USA,United States,582415,3632529,291459,570654,3542640,285546,2675,14018,1224,2688,14654,1238,Admin,,
2020-12-29,US,USA,United States,710373,4342902,328908,692756,4235396,321776,4088,18106,1483,4099,18753,1496,Admin,,
2020-12-30,US,USA,United States,828736,5171638,365972,811412,5046808,357932,6355,24461,2129,6367,25120,2142,Admin,,
2020-12-31,US,USA,United States,414439,5586077,397359,406722,5453530,388945,2416,26877,2351,2427,27547,2365,Admin,,
