Date,Location,ShortName,LongName,Administered_Daily,Administered_Cumulative,Administered_7_Day_Rolling_Average,Admin_Dose_1_Daily,Admin_Dose_1_Cumulative,Admin_Dose_1_Day_Rolling_Average,Series_Complete_Daily,Series_Complete_Cumulative,Series_Complete_Day_Rolling_Average,date_type,Administered_daily_change_report,Administered_daily_change_report_7dayroll
2020-12-13,US,USA,United States,27593,27593,27593,23062,23062,23062,5208,5208,5208,Admin,,
2020-12-14,US,USA,United States,4512,32105,16052,4360,27422,13711,113,5321,2660,Admin,,
2020-12-15,US,USA,United States,49367,81472,27157,47121,74543,24848,257,5578,1859,Admin,,
2020-12-16,US,USA,United States,159366,240838,60209,154045,228588,57147,461,6039,1509,Admin,,
2020-12-17,US,USA,United States,271792,512630,102526,264767,493355,98671,727,6766,1353,Admin,,
2020-12-18,US,USA,United States,414729,927359,154559,406233,899588,149931,1181,7947,1324,Admin,,
2020-12-19,US,USA,United States,181632,1108991,158427,177741,1077329,153904,1034,8981,1283,Admin,,
2020-12-20,US,USA,United States,104875,1213866,169467,102986,1180315,165322,680,9661,636,Admin,,
2020-12-21,US,USA,United States,380894,1594760,223236,374437,1554752,218190,1458,11119,828,Admin,,
2020-12-22,US,USA,United States,447013,2041773,280043,438602,1993354,274116,2829,13948,1195,Admin,,
2020-12-23,US,USA,United States,573640,2615413,339225,561274,2554628,332291,2862,16810,1538,Admin,,
2020-12-24,US,USA,United States,195675,2811088,328351,190682,2745310,321708,1082,17892,1589,Admin,,
2020-12-25,US,USA,United States,12619,2823707,270906,12469,2757779,265456,102,17994,1435,Admin,,
2020-12-26,US,USA,United States,141741,2965448,265208,137820,2895599,259753,949,18943,1423,Admin,,
2020-12-27,US,USA,United States,96545,3061993,264018,93296,2988895,258369,705,19648,1426,Admin,,
2020-12-28,US,USA,United States,589374,3651367,293801,575297,3564192,287063,4044,23692,1796,Admin,,
2020-12-29,US,USA,United States,719899,4371266,332784,701348,4265540,324598,5143,28835,2126,Admin,,
2020-12-30,US,USA,United States,840929,5212195,370968,821663,5087203,361796,7619,36454,2806,Admin,,
2020-12-31,US,USA,United States,418890,5631085,402856,409394,5496597,393041,3074,39528,3090,Admin,,
2021-01-01,US,USA,United States,97097,5728182,414925,88496,5585093,403902,6401,45929,3990,Admin,,
2021-01-02,US,USA,United States,263559,5991741,432327,254799,5839892,420613,2799,48728,4255,Admin,,
2021-01-03,US,USA,United States,138342,6130083,438298,131396,5971288,426056,2423,51151,4500,Admin,,
2021-01-04,US,USA,United States,655499,6785582,447745,596652,6567940,429107,45570,96721,10432,Admin,,
2021-01-05,US,USA,United States,828820,7614402,463305,727610,7295550,432859,88011,184732,22271,Admin,,
2021-01-06,US,USA,United States,1019042,8633444,488749,829381,8124931,433961,171671,356403,45707,Admin,,
2021-01-07,US,USA,United States,1167954,9801398,595759,865008,8989939,499049,279735,636138,85230,Admin,,
2021-01-08,US,USA,United States,1234387,11035785,758229,846370,9836309,607317,361927,998065,136019,Admin,,
2021-01-09,US,USA,United States,508391,11544176,793205,370213,10206522,623804,128054,1126119,153913,Admin,,
2021-01-10,US,USA,United States,250581,11794757,809239,176116,10382638,630193,69155,1195274,163446,Admin,,
2021-01-11,US,USA,United States,1068196,12862953,868195,722234,11104872,648133,321571,1516845,202874,Admin,,
2021-01-12,US,USA,United States,1256474,14119427,929289,915741,12020613,675009,313487,1830332,235085,Admin,,
2021-01-13,US,USA,United States,1320030,15439457,972287,1027125,13047738,703258,269304,2099636,249033,Admin,,
2021-01-14,US,USA,United States,1312388,16751845,992921,1153689,14201427,744498,135100,2234736,228371,Admin,,
2021-01-15,US,USA,United States,1254628,18006473,995812,1115165,15316592,782898,120052,2354788,193817,Admin,,
2021-01-16,US,USA,United States,648222,18654695,1015788,565317,15881909,810770,71690,2426478,185765,Admin,,
2021-01-17,US,USA,United States,304540,18959235,1023496,255243,16137152,822073,41938,2468416,181877,Admin,,
2021-01-18,US,USA,United States,883049,19842284,997047,637433,16774585,809959,225981,2694397,168221,Admin,,
2021-01-19,US,USA,United States,1343505,21185789,1009480,963706,17738291,816811,353077,3047474,173877,Admin,,
2021-01-20,US,USA,United States,1598379,22784168,1049244,1150810,18889101,834480,417602,3465076,195062,Admin,,
2021-01-21,US,USA,United States,1627773,24411941,1094299,1327460,20216561,859305,272725,3737801,214723,Admin,,
2021-01-22,US,USA,United States,1624771,26036712,1147177,1390410,21606971,898626,208179,3945980,227313,Admin,,
2021-01-23,US,USA,United States,905425,26942137,1183920,741530,22348501,923799,149366,4095346,238409,Admin,,
2021-01-24,US,USA,United States,394252,27336389,1196736,299096,22647597,930064,87341,4182687,244895,Admin,,
2021-01-25,US,USA,United States,1370527,28706916,1266376,858260,23505857,961610,485047,4667734,281905,Admin,,
2021-01-26,US,USA,United States,1659640,30366556,1311538,1052165,24558022,974247,576287,5244021,313792,Admin,,
2021-01-27,US,USA,United States,1927742,32294298,1358590,1248374,25806396,988185,642128,5886149,345867,Admin,,
2021-01-28,US,USA,United States,1958279,34252577,1405805,1368092,27174488,993990,551599,6437748,385706,Admin,,
2021-01-29,US,USA,United States,1911014,36163591,1446697,1370648,28545136,991166,490760,6928508,426075,Admin,,
2021-01-30,US,USA,United States,1016683,37180274,1462591,757244,29302380,993411,240954,7169462,439159,Admin,,
2021-01-31,US,USA,United States,458161,37638435,1471720,320999,29623379,996540,125772,7295234,444649,Admin,,
2021-02-01,US,USA,United States,1375971,39014406,1472498,765406,30388785,983275,566565,7861799,456295,Admin,,
2021-02-02,US,USA,United States,1691264,40705670,1477016,959835,31348620,970085,692969,8554768,472963,Admin,,
2021-02-03,US,USA,United States,2132519,42838189,1506270,1256685,32605305,971273,827363,9382131,499426,Admin,,
2021-02-04,US,USA,United States,2339317,45177506,1560704,1384320,33989625,973591,906371,10288502,550107,Admin,,
2021-02-05,US,USA,United States,2351458,47528964,1623624,1352974,35342599,971066,953007,11241509,616143,Admin,,
2021-02-06,US,USA,United States,1298477,48827441,1663881,850617,36193216,984405,419331,11660840,641625,Admin,,
