Date,Location,ShortName,LongName,Administered_Daily,Administered_Cumulative,Administered_7_Day_Rolling_Average,Admin_Dose_1_Daily,Admin_Dose_1_Cumulative,Admin_Dose_1_Day_Rolling_Average,Admin_Dose_2_Daily,Admin_Dose_2_Cumulative,Admin_Dose_2_Day_Rolling_Average,Series_Complete_Daily,Series_Complete_Cumulative,Series_Complete_Day_Rolling_Average,date_type,Administered_daily_change_report,Administered_daily_change_report_7dayroll
2020-12-13,US,USA,United States,13571,13571,13571,12045,12045,12045,1355,1355,1355,1543,1543,1543,Admin,,
2020-12-14,US,USA,United States,4010,17581,8790,3876,15921,7961,7,1362,681,40,1583,791,Admin,,
2020-12-15,US,USA,United States,50368,67949,22649,46878,62799,20933,32,1394,465,93,1676,558,Admin,,
2020-12-16,US,USA,United States,160999,228948,57237,153963,216762,54191,220,1614,404,280,1956,489,Admin,,
2020-12-17,US,USA,United States,275961,504909,100981,264486,481248,96250,570,2184,437,615,2571,514,Admin,,
2020-12-18,US,USA,United States,420483,925392,154232,407633,888881,148147,737,2921,487,752,3323,553,Admin,,
2020-12-19,US,USA,United States,183554,1108946,158420,177772,1066653,152379,966,3887,555,972,4295,613,Admin,,
2020-12-20,US,USA,United States,105215,1214161,171512,102447,1169100,165294,553,4440,441,626,4921,482,Admin,,
2020-12-21,US,USA,United States,382891,1597052,225638,373231,1542331,218059,951,5391,576,969,5890,615,Admin,,
2020-12-22,US,USA,United States,448989,2046041,282584,439102,1981433,274091,2253,7644,893,2268,8158,926,Admin,,
2020-12-23,US,USA,United States,570801,2616842,341127,557963,2539396,331805,1856,9500,1127,1866,10024,1152,Admin,,
2020-12-24,US,USA,United States,195345,2812187,329611,189517,2728913,321095,939,10439,1179,946,10970,1199,Admin,,
2020-12-25,US,USA,United States,12341,2824528,271305,12212,2741125,264606,63,10502,1083,63,11033,1101,Admin,,
2020-12-26,US,USA,United States,139233,2963761,264973,136525,2877650,258714,442,10944,1008,447,11480,1026,Admin,,
2020-12-27,US,USA,United States,94068,3057829,263381,91976,2969626,257218,404,11348,987,451,11931,1001,Admin,,
2020-12-28,US,USA,United States,585140,3642969,292273,570073,3539699,285338,2701,14049,1237,2712,14643,1250,Admin,,
2020-12-29,US,USA,United States,715646,4358615,330367,692594,4232293,321551,4117,18166,1503,4128,18771,1516,Admin,,
2020-12-30,US,USA,United States,836649,5195264,368346,811525,5043818,357775,6416,24582,2155,6425,25196,2167,Admin,,
2020-12-31,US,USA,United States,419090,5614354,400309,406576,5450394,388783,2480,27062,2375,2490,27686,2388,Admin,,
2021-01-01,US,USA,United States,57961,5672315,406826,54378,5504772,394807,2653,29715,2745,2932,30618,2797,Admin,,
2021-01-02,US,USA,United States,255672,5927987,423460,247794,5752566,410702,2552,32267,3046,2566,33184,3100,Admin,,
2021-01-03,US,USA,United States,134051,6062038,429172,127121,5879687,415723,2266,34533,3312,2274,35458,3361,Admin,,
2021-01-04,US,USA,United States,641801,6703839,437267,584111,6463798,417728,44096,78629,9226,44135,79593,9278,Admin,,
2021-01-05,US,USA,United States,814994,7518833,451459,714399,7178197,420843,86050,164679,20930,86087,165680,20987,Admin,,
2021-01-06,US,USA,United States,1006243,8525076,475687,818498,7996695,421840,169146,333825,44178,169200,334880,44240,Admin,,
2021-01-07,US,USA,United States,1146252,9671328,579567,849116,8845811,485060,274221,608046,82998,274247,609127,83063,Admin,,
2021-01-08,US,USA,United States,1210411,10881739,744203,829829,9675640,595838,356414,964460,133535,356452,965579,133565,Admin,,
2021-01-09,US,USA,United States,499083,11380822,778976,364873,10040513,612564,126000,1090460,151170,126009,1091588,151200,Admin,,
2021-01-10,US,USA,United States,244712,11625534,794785,172428,10212941,619036,68048,1158508,160568,68066,1159654,160599,Admin,,
2021-01-11,US,USA,United States,1049368,12674902,853009,711295,10924236,637205,317459,1475967,199620,317491,1477145,199650,Admin,,
2021-01-12,US,USA,United States,1232231,13907133,912614,899751,11823987,663684,309761,1785728,231578,309806,1786951,231610,Admin,,
2021-01-13,US,USA,United States,1302388,15209521,954920,1014367,12838354,691666,266972,2052700,245554,267011,2053962,245583,Admin,,
2021-01-14,US,USA,United States,1291470,16500991,975666,1140696,13979050,733320,131791,2184491,225206,131819,2185781,225236,Admin,,
2021-01-15,US,USA,United States,1239093,17740084,979763,1106894,15085944,772901,116788,2301279,190974,116846,2302627,191006,Admin,,
2021-01-16,US,USA,United States,642692,18382776,1000279,565119,15651063,801507,69792,2371071,182944,69811,2372438,182978,Admin,,
2021-01-17,US,USA,United States,298309,18681085,1007935,254789,15905852,813273,40681,2411752,179035,40689,2413127,179067,Admin,,
2021-01-18,US,USA,United States,862786,19543871,981281,630369,16536221,801712,222190,2633942,165425,222236,2635363,165459,Admin,,
2021-01-19,US,USA,United States,1325523,20869394,994608,961254,17497475,810498,344839,2978781,170436,344869,2980232,170468,Admin,,
2021-01-20,US,USA,United States,1597127,22466521,1036714,1162618,18660093,831677,412758,3391539,191263,412804,3393036,191296,Admin,,
2021-01-21,US,USA,United States,1611947,24078468,1082496,1324047,19984140,857870,264530,3656069,210225,264577,3657613,210261,Admin,,
2021-01-22,US,USA,United States,1602303,25680771,1134383,1378854,21362994,896721,202508,3858577,222471,202530,3860143,222502,Admin,,
2021-01-23,US,USA,United States,897598,26578369,1170799,738457,22101451,921484,145700,4004277,233315,145711,4005854,233345,Admin,,
2021-01-24,US,USA,United States,390710,26969079,1183999,299400,22400851,927857,85481,4089758,239715,85493,4091347,239745,Admin,,
2021-01-25,US,USA,United States,1340028,28309107,1252176,847334,23248185,958852,472347,4562105,275452,472370,4563717,275479,Admin,,
2021-01-26,US,USA,United States,1638475,29947582,1296884,1046600,24294785,971044,566050,5128155,307053,566081,5129798,307080,Admin,,
2021-01-27,US,USA,United States,1906542,31854124,1341086,1241081,25535866,982253,631030,5759185,338235,631055,5760853,338259,Admin,,
2021-01-28,US,USA,United States,1930084,33784208,1386534,1361131,26896997,987551,540059,6299244,377596,540103,6300956,377620,Admin,,
2021-01-29,US,USA,United States,1875409,35659617,1425549,1354858,28251855,984123,479838,6779082,417215,479870,6780826,417240,Admin,,
2021-01-30,US,USA,United States,1009856,36669473,1441586,757953,29009808,986908,235253,7014335,430008,235256,7016082,430032,Admin,,
2021-01-31,US,USA,United States,455355,37124828,1450821,323591,29333399,990364,122780,7137115,435337,122802,7138884,435362,Admin,,
2021-02-01,US,USA,United States,1309374,38434202,1446442,739106,30072505,974903,542897,7680012,445415,543247,7682131,445487,Admin,,
2021-02-02,US,USA,United States,1654723,40088925,1448763,953333,31025838,961579,675794,8355806,461093,675883,8358014,461173,Admin,,
2021-02-03,US,USA,United States,2106011,42194936,1477258,1256668,32282506,963806,813065,9168871,487098,813136,9171150,487185,Admin,,
2021-02-04,US,USA,United States,2303998,44498934,1530675,1384110,33666616,967088,886920,10055791,536650,887006,10058156,536742,Admin,,
2021-02-05,US,USA,United States,2305576,46804510,1592127,1346799,35013415,965937,929610,10985401,600903,929695,10987851,601003,Admin,,
2021-02-06,US,USA,United States,1282029,48086539,1631009,850700,35864115,979187,411460,11396861,626075,411515,11399366,626183,Admin,,
2021-02-07,US,USA,United States,441602,48528141,1629044,279299,36143414,972859,152695,11549556,630349,152725,11552091,630458,Admin,,
2021-02-08,US,USA,United States,1533298,50061439,1661033,827655,36971069,985509,681149,12230705,650099,681234,12233325,650170,Admin,,
2021-02-09,US,USA,United States,1920486,51981925,1699000,1029172,38000241,996343,866270,13096975,677310,866370,13099695,677383,Admin,,
2021-02-10,US,USA,United States,2239976,54221901,1718137,1210802,39211043,989791,1004041,14101016,704592,1004149,14103844,704670,Admin,,
2021-02-11,US,USA,United States,2345162,56567063,1724018,1259746,40470789,972025,1057361,15158377,728941,1057462,15161306,729021,Admin,,
2021-02-12,US,USA,United States,2529109,59096172,1755951,1366070,41836859,974778,1127088,16285465,757152,1127205,16288511,757237,Admin,,
2021-02-13,US,USA,United States,1449891,60546063,1779932,860764,42697623,976215,564549,16850014,779022,564619,16853130,779109,Admin,,
2021-02-14,US,USA,United States,576890,61122953,1799258,340425,43038048,984948,224281,17074295,789248,224306,17077436,789335,Admin,,
2021-02-15,US,USA,United States,1145461,62268414,1743853,607298,43645346,953468,514217,17588512,765401,514340,17591776,765493,Admin,,
2021-02-16,US,USA,United States,1592585,63860999,1697010,793444,44438790,919793,770581,18359093,751731,770661,18362437,751820,Admin,,
2021-02-17,US,USA,United States,1929741,65790740,1652691,928316,45367106,879438,972237,19331330,747188,972342,19334779,747276,Admin,,
2021-02-18,US,USA,United States,1810718,67601458,1576342,827740,46194846,817722,949864,20281194,731831,949964,20284743,731919,Admin,,
2021-02-19,US,USA,United States,1922795,69524253,1489725,827085,47021931,740725,1062608,21343802,722620,1062784,21347527,722716,Admin,,
2021-02-20,US,USA,United States,1286548,70810801,1466391,601363,47623294,703667,662237,22006039,736575,662303,22009830,736671,Admin,,
2021-02-21,US,USA,United States,583060,71393861,1467272,256709,47880003,691708,312914,22318953,749237,312974,22322804,749338,Admin,,
2021-02-22,US,USA,United States,1429414,72823275,1507837,623329,48503332,693998,774149,23093102,786370,774260,23097064,786469,Admin,,
