Date,MMWR_week,Location,ShortName,LongName,Doses_Distributed,Doses_Administered,Dist_Per_100K,Admin_Per_100K,Census2019
2021-01-02,53,AK,AKA,Alaska,68925,18401,9422,2515,731545
2021-01-02,53,AL,ALA,Alabama,124275,39446,2535,804,4903185
2021-01-02,53,AR,ARA,Arkansas,124325,39235,4120,1300,3017804
2021-01-02,53,AS,ASA,American Samoa,8250,1022,14814,1835,55689
2021-01-02,53,AZ,AZA,Arizona,270250,59099,3713,812,7278717
2021-01-02,53,BP2,BP2,Bureau of Prisons,10525,7307,0,0,0
2021-01-02,53,CA,CAA,California,1476425,412076,3737,1043,39512223
2021-01-02,53,CO,COA,Colorado,246275,104622,4277,1817,5758736
2021-01-02,53,CT,CTA,Connecticut,112500,72729,3155,2040,3565287
2021-01-02,53,DC,DCA,District of Columbia,22700,15072,3216,2136,705749
2021-01-02,53,DD2,DD2,Dept of Defense,231625,66719,0,0,0
2021-01-02,53,DE,DEA,Delaware,44925,11066,4614,1136,973764
2021-01-02,53,FL,FLA,Florida,801150,246587,3730,1148,21477737
2021-01-02,53,FM,FMA,Federated States of Micronesia,1600,10,1544,10,103643
2021-01-02,53,GA,GAA,Georgia,445550,75157,4196,708,10617423
2021-01-02,53,GU,GUA,Guam,19300,3791,11643,2287,165768
2021-01-02,53,HI,HIA,Hawaii,56050,18422,3959,1301,1415872
2021-01-02,53,IA,IAA,Iowa,105550,53191,3345,1686,3155070
2021-01-02,53,ID,IDA,Idaho,71825,18535,4019,1037,1787065
2021-01-02,53,IH2,IH2,Indian Health Svc,143800,35466,0,0,0
2021-01-02,53,IL,ILA,Illinois,403750,170060,3186,1342,12671821
2021-01-02,53,IN,INA,Indiana,316825,85752,4706,1274,6732219
2021-01-02,53,KS,KSA,Kansas,114850,19636,3942,674,2913314
2021-01-02,53,KY,KYA,Kentucky,126900,59780,2840,1338,4467673
2021-01-02,53,LA,LAA,Louisiana,193150,49073,4155,1056,4648794
2021-01-02,53,LTC,LTC,Long Term Care,2217025,282740,0,0,0
2021-01-02,53,MA,MAA,Massachusetts,287000,88076,4164,1278,6892503
2021-01-02,53,MD,MDA,Maryland,208725,59890,3452,991,6045680
2021-01-02,53,ME,MEA,Maine,53075,30849,3948,2295,1344212
2021-01-02,53,MH,MHA,Marshall Islands,1200,0,2054,0,58413
2021-01-02,53,MI,MIA,Michigan,337475,90453,3379,906,9986857
2021-01-02,53,MN,MNA,Minnesota,211150,82476,3744,1462,5639632
2021-01-02,53,MO,MOA,Missouri,218800,89565,3565,1459,6137428
2021-01-02,53,MP,MPA,Northern Mariana Islands,6250,3027,10988,5322,56882
2021-01-02,53,MS,MSA,Mississippi,83450,21150,2804,711,2976149
2021-01-02,53,MT,MTA,Montana,46150,22928,4318,2145,1068778
2021-01-02,53,NC,NCA,North Carolina,330125,94865,3148,905,10488084
2021-01-02,53,ND,NDA,North Dakota,33300,21171,4370,2778,762062
2021-01-02,53,NE,NEA,Nebraska,79675,34066,4119,1761,1934408
2021-01-02,53,NH,NHA,New Hampshire,45275,19461,3330,1431,1359711
2021-01-02,53,NJ,NJA,New Jersey,332825,92934,3747,1046,8882190
2021-01-02,53,NM,NMA,New Mexico,89250,40186,4256,1917,2096829
2021-01-02,53,NV,NVA,Nevada,96950,32942,3148,1069,3080156
2021-01-02,53,NY,NYA,New York State,774075,236941,3979,1218,19453561
2021-01-02,53,OH,OHA,Ohio,291100,152178,2490,1302,11689100
2021-01-02,53,OK,OKA,Oklahoma,180750,58823,4568,1487,3956971
2021-01-02,53,OR,ORA,Oregon,167100,44420,3962,1053,4217737
2021-01-02,53,PA,PAA,Pennsylvania,489850,155983,3826,1218,12801989
2021-01-02,53,PR,PRA,Puerto Rico,154525,42795,4838,1340,3193694
2021-01-02,53,RI,RIA,Rhode Island,49000,18829,4625,1777,1059361
2021-01-02,53,RP,RPA,Republic of Palau,2800,0,0,0,0
2021-01-02,53,SC,SCA,South Carolina,141375,49192,2746,955,5148714
2021-01-02,53,SD,SDA,South Dakota,38225,26409,4321,2985,884659
2021-01-02,53,TN,TNA,Tennessee,250175,125370,3663,1836,6829174
2021-01-02,53,TX,TXA,Texas,942825,337392,3252,1164,28995881
2021-01-02,53,US,USA,United States,13071925,4225756,3937,1273,331996199
2021-01-02,53,UT,UTA,Utah,127375,44565,3973,1390,3205958
2021-01-02,53,VA,VAA,Virginia,388100,90011,4547,1055,8535519
2021-01-02,53,VA2,VA2,Veterans Health,465425,116374,0,0,0
2021-01-02,53,VI,VIA,Virgin Islands,4925,199,4705,190,104680
2021-01-02,53,VT,VTA,Vermont,30025,15478,4812,2480,623989
2021-01-02,53,WA,WAA,Washington,282950,82464,3716,1083,7614893
2021-01-02,53,WI,WIA,Wisconsin,159800,64657,2745,1110,5822434
2021-01-02,53,WV,WVA,West Virginia,103375,49827,5768,2780,1792147
2021-01-02,53,WY,WYA,Wyoming,26175,7556,4523,1306,578759
