Date,Location,ShortName,LongName,Administered_Daily,Administered_Cumulative,Administered_7_Day_Rolling_Average,Admin_Dose_1_Daily,Admin_Dose_1_Cumulative,Admin_Dose_1_Day_Rolling_Average,Admin_Dose_2_Daily,Admin_Dose_2_Cumulative,Admin_Dose_2_Day_Rolling_Average,Series_Complete_Daily,Series_Complete_Cumulative,Series_Complete_Day_Rolling_Average,date_type,Administered_daily_change_report,Administered_daily_change_report_7dayroll
2020-12-13,US,USA,United States,12436,12436,12436,10916,10916,10916,1355,1355,1355,1418,1418,1418,Admin,,
2020-12-14,US,USA,United States,3723,16159,8079,3595,14511,7256,5,1360,680,13,1431,715,Admin,,
2020-12-15,US,USA,United States,49310,65469,21823,45844,60355,20118,25,1385,462,31,1462,487,Admin,,
2020-12-16,US,USA,United States,159083,224552,56138,152184,212539,53135,200,1585,396,207,1669,417,Admin,,
2020-12-17,US,USA,United States,271472,496024,99204,260457,472996,94599,500,2085,417,507,2176,435,Admin,,
2020-12-18,US,USA,United States,413923,909947,151657,402366,875362,145894,601,2686,448,601,2777,462,Admin,,
2020-12-19,US,USA,United States,180372,1090319,155759,175608,1050970,150139,714,3400,486,715,3492,498,Admin,,
2020-12-20,US,USA,United States,103158,1193477,168720,100870,1151840,162989,502,3902,364,537,4029,373,Admin,,
2020-12-21,US,USA,United States,377593,1571070,222130,369112,1520952,215206,821,4723,480,825,4854,489,Admin,,
2020-12-22,US,USA,United States,445261,2016331,278694,435906,1956858,270929,2071,6794,773,2072,6926,780,Admin,,
2020-12-23,US,USA,United States,563960,2580291,336534,551789,2508647,328015,1639,8433,978,1641,8567,985,Admin,,
2020-12-24,US,USA,United States,192899,2773190,325309,187325,2695972,317568,854,9287,1029,855,9422,1035,Admin,,
2020-12-25,US,USA,United States,12026,2785216,267895,11923,2707895,261790,47,9334,950,47,9469,956,Admin,,
2020-12-26,US,USA,United States,137481,2922697,261768,134940,2842835,255981,342,9676,897,344,9813,903,Admin,,
2020-12-27,US,USA,United States,92514,3015211,260247,90616,2933451,254516,320,9996,871,321,10134,872,Admin,,
2020-12-28,US,USA,United States,571731,3586942,287981,557490,3490941,281427,2285,12281,1080,2288,12422,1081,Admin,,
