Date,Location,ShortName,LongName,Administered_Daily,Administered_Cumulative,Administered_7_Day_Rolling_Average,Admin_Dose_1_Daily,Admin_Dose_1_Cumulative,Admin_Dose_1_Day_Rolling_Average,Admin_Dose_2_Daily,Admin_Dose_2_Cumulative,Admin_Dose_2_Day_Rolling_Average,date_type,Administered_daily_change_report,Administered_daily_change_report_7dayroll
2020-12-13,US,USA,United States,10731,10731,10731,9470,9470,9470,1146,1146,1146,Admin,,
2020-12-14,US,USA,United States,3550,14281,7141,3431,12901,6451,4,1150,575,Admin,,
2020-12-15,US,USA,United States,48642,62923,20974,45229,58130,19377,19,1169,390,Admin,,
2020-12-16,US,USA,United States,156948,219871,54968,150128,208258,52065,182,1351,338,Admin,,
2020-12-17,US,USA,United States,268410,488281,97656,257710,465968,93194,466,1817,363,Admin,,
2020-12-18,US,USA,United States,405653,893934,148989,394643,860611,143435,494,2311,385,Admin,,
2020-12-19,US,USA,United States,172915,1066849,152407,168433,1029044,147006,657,2968,424,Admin,,
2020-12-20,US,USA,United States,100929,1167778,165292,98840,1127884,159773,427,3395,321,Admin,,
2020-12-21,US,USA,United States,371838,1539616,217905,363768,1491652,211250,668,4063,416,Admin,,
2020-12-22,US,USA,United States,437949,1977565,273520,429037,1920689,266080,1789,5852,669,Admin,,
2020-12-23,US,USA,United States,553892,2531457,330227,542097,2462786,322075,1507,7359,858,Admin,,
2020-12-24,US,USA,United States,189812,2721269,318998,184318,2647104,311591,849,8208,913,Admin,,
2020-12-25,US,USA,United States,11823,2733092,262737,11749,2658853,256892,28,8236,846,Admin,,
2020-12-26,US,USA,United States,135165,2868257,257344,132770,2791623,251797,278,8514,792,Admin,,
2020-12-27,US,USA,United States,90561,2958818,255863,88756,2880379,250356,257,8771,768,Admin,,
2020-12-28,US,USA,United States,561954,3520772,283022,548368,3428747,276728,2013,10784,960,Admin,,
2020-12-29,US,USA,United States,688483,4209255,318813,668209,4096956,310895,2496,13280,1061,Admin,,
2020-12-30,US,USA,United States,806077,5015332,354839,784020,4880976,345456,4701,17981,1517,Admin,,
2020-12-31,US,USA,United States,404969,5420301,385576,394131,5275107,375429,1447,19428,1603,Admin,,
2021-01-01,US,USA,United States,37725,5458026,389276,36425,5311532,378954,665,20093,1694,Admin,,
2021-01-02,US,USA,United States,240672,5698698,404349,234384,5545916,393470,1737,21830,1902,Admin,,
2021-01-03,US,USA,United States,122966,5821664,408978,117366,5663282,397558,1841,23671,2129,Admin,,
2021-01-04,US,USA,United States,610653,6432317,415935,557882,6221164,398917,40612,64283,7643,Admin,,
2021-01-05,US,USA,United States,768585,7200902,427378,676753,6897917,400137,79403,143686,18629,Admin,,
2021-01-06,US,USA,United States,947301,8148203,447553,771395,7669312,398334,159761,303447,40781,Admin,,
2021-01-07,US,USA,United States,1085618,9233821,544789,808424,8477736,457518,259603,563050,77660,Admin,,
2021-01-08,US,USA,United States,1148270,10382091,703438,790897,9268633,565300,338431,901481,125913,Admin,,
2021-01-09,US,USA,United States,470679,10852770,736296,348206,9616839,581560,117422,1018903,142439,Admin,,
2021-01-10,US,USA,United States,228176,11080946,751326,161537,9778376,587871,64553,1083456,151398,Admin,,
2021-01-11,US,USA,United States,991041,12071987,805667,672783,10451159,604285,302337,1385793,188787,Admin,,
2021-01-12,US,USA,United States,1161489,13233476,861796,849738,11300897,628997,294443,1680236,219507,Admin,,
2021-01-13,US,USA,United States,1234132,14467608,902772,966848,12267745,656919,252090,1932326,232697,Admin,,
2021-01-14,US,USA,United States,1226445,15694053,922890,1091444,13359189,697350,122068,2054394,213049,Admin,,
2021-01-15,US,USA,United States,1164528,16858581,925213,1049076,14408265,734233,105207,2159601,179731,Admin,,
2021-01-16,US,USA,United States,601725,17460306,943934,536475,14944740,761129,61327,2220928,171718,Admin,,
2021-01-17,US,USA,United States,276893,17737199,950893,240320,15185060,772383,35179,2256107,167522,Admin,,
2021-01-18,US,USA,United States,795816,18533015,923004,589915,15774975,760545,201340,2457447,153093,Admin,,
2021-01-19,US,USA,United States,1245550,19778565,935013,913900,16688875,769711,318349,2775796,156509,Admin,,
2021-01-20,US,USA,United States,1498727,21277292,972812,1103462,17792337,789227,381503,3157299,174996,Admin,,
2021-01-21,US,USA,United States,1510148,22787440,1013341,1256858,19049195,812858,238026,3395325,191562,Admin,,
2021-01-22,US,USA,United States,1502155,24289595,1061573,1308663,20357858,849942,179972,3575297,202242,Admin,,
