Date,Location,ShortName,LongName,Administered_Daily,Administered_Cumulative,Administered_7_Day_Rolling_Average,Admin_Dose_1_Daily,Admin_Dose_1_Cumulative,Admin_Dose_1_Day_Rolling_Average,Admin_Dose_2_Daily,Admin_Dose_2_Cumulative,Admin_Dose_2_Day_Rolling_Average,Series_Complete_Daily,Series_Complete_Cumulative,Series_Complete_Day_Rolling_Average,date_type,Administered_daily_change_report,Administered_daily_change_report_7dayroll
2020-12-13,US,USA,United States,12268,12268,12268,10754,10754,10754,1355,1355,1355,1383,1383,1383,Admin,,
2020-12-14,US,USA,United States,3646,15914,7957,3527,14281,7141,4,1359,680,5,1388,694,Admin,,
2020-12-15,US,USA,United States,48927,64841,21613,45501,59782,19927,25,1384,461,26,1414,471,Admin,,
2020-12-16,US,USA,United States,158311,223152,55788,151454,211236,52809,199,1583,396,200,1614,403,Admin,,
2020-12-17,US,USA,United States,271093,494245,98849,260279,471515,94303,484,2067,413,484,2098,419,Admin,,
2020-12-18,US,USA,United States,412138,906383,151063,400795,872310,145385,577,2644,441,577,2675,445,Admin,,
2020-12-19,US,USA,United States,179951,1086334,155190,175306,1047616,149659,702,3346,478,702,3377,482,Admin,,
2020-12-20,US,USA,United States,102668,1189002,168104,100516,1148132,162483,470,3816,352,471,3848,352,Admin,,
2020-12-21,US,USA,United States,376581,1565583,221381,368217,1516349,214581,787,4603,463,790,4638,464,Admin,,
2020-12-22,US,USA,United States,442993,2008576,277676,433871,1950220,270063,1904,6507,732,1905,6543,732,Admin,,
2020-12-23,US,USA,United States,560351,2568927,335110,548361,2498581,326764,1589,8096,930,1589,8132,931,Admin,,
2020-12-24,US,USA,United States,191394,2760321,323725,185887,2684468,316136,835,8931,981,835,8967,981,Admin,,
2020-12-25,US,USA,United States,11944,2772265,266554,11852,2696320,260573,38,8969,904,38,9005,904,Admin,,
2020-12-26,US,USA,United States,136705,2908970,260376,134254,2830574,254708,320,9289,849,322,9327,850,Admin,,
2020-12-27,US,USA,United States,91822,3000792,258827,89966,2920540,253201,298,9587,824,299,9626,825,Admin,,
2020-12-28,US,USA,United States,568212,3569004,286203,554261,3474801,279779,2173,11760,1022,2174,11800,1023,Admin,,
2020-12-29,US,USA,United States,697329,4266333,322536,676628,4151429,314458,2689,14449,1135,2691,14491,1135,Admin,,
2020-12-30,US,USA,United States,815339,5081672,358963,792884,4944313,349390,4802,19251,1594,4805,19296,1594,Admin,,
2020-12-31,US,USA,United States,408862,5490534,390030,397588,5341901,379633,1784,21035,1729,1784,21080,1730,Admin,,
2021-01-01,US,USA,United States,41772,5532306,394291,39931,5381832,383645,1090,22125,1879,1114,22194,1884,Admin,,
2021-01-02,US,USA,United States,246193,5778499,409932,239559,5621391,398688,2027,24152,2123,2029,24223,2128,Admin,,
2021-01-03,US,USA,United States,127815,5906314,415074,121660,5743051,403216,2034,26186,2371,2035,26258,2376,Admin,,
2021-01-04,US,USA,United States,620166,6526480,422496,566158,6309209,404915,41357,67543,7969,41361,67619,7974,Admin,,
2021-01-05,US,USA,United States,778848,7305328,434142,684534,6993743,406045,81125,148668,19174,81130,148749,19179,Admin,,
2021-01-06,US,USA,United States,967806,8273134,455923,786721,7780464,405164,164412,313080,41976,164421,313170,41982,Admin,,
2021-01-07,US,USA,United States,1108352,9381486,555850,821219,8601683,465683,266282,579362,79761,266284,579454,79767,Admin,,
2021-01-08,US,USA,United States,1173526,10555012,717529,803851,9405534,574815,347512,926874,129250,347517,926971,129253,Admin,,
2021-01-09,US,USA,United States,482915,11037927,751346,352525,9758059,590953,123088,1049962,146544,123089,1050060,146548,Admin,,
2021-01-10,US,USA,United States,233861,11271788,766496,163874,9921933,596983,66514,1116476,155756,66515,1116575,155759,Admin,,
2021-01-11,US,USA,United States,1011061,12282849,822338,682846,10604779,613653,310258,1426734,194170,310263,1426838,194174,Admin,,
