Date,Location,ShortName,LongName,Administered_Daily,Administered_Cumulative,Administered_7_Day_Rolling_Average,Admin_Dose_1_Daily,Admin_Dose_1_Cumulative,Admin_Dose_1_Day_Rolling_Average,Series_Complete_Daily,Series_Complete_Cumulative,Series_Complete_Day_Rolling_Average,date_type,Administered_daily_change_report,Administered_daily_change_report_7dayroll
2020-12-13,US,USA,United States,14097,14097,14097,12597,12597,12597,1557,1557,1557,Admin,,
2020-12-14,US,USA,United States,4047,18144,9072,3954,16551,8276,45,1602,801,Admin,,
2020-12-15,US,USA,United States,49543,67687,22562,47107,63658,21219,114,1716,572,Admin,,
2020-12-16,US,USA,United States,161088,228775,57193,154465,218123,54531,302,2018,504,Admin,,
2020-12-17,US,USA,United States,274107,502882,100576,264425,482548,96510,578,2596,519,Admin,,
2020-12-18,US,USA,United States,417436,920318,153386,405861,888409,148068,801,3397,566,Admin,,
2020-12-19,US,USA,United States,182972,1103290,157612,178209,1066618,152374,901,4298,614,Admin,,
2020-12-20,US,USA,United States,105810,1209100,170714,103055,1169673,165297,609,4907,478,Admin,,
2020-12-21,US,USA,United States,382001,1591101,224708,374189,1543862,218187,991,5898,613,Admin,,
2020-12-22,US,USA,United States,448280,2039381,281670,439109,1982971,274188,2256,8154,919,Admin,,
2020-12-23,US,USA,United States,570463,2609844,340152,559253,2542224,332014,1820,9974,1136,Admin,,
2020-12-24,US,USA,United States,195232,2805076,328884,190186,2732410,321409,796,10770,1167,Admin,,
2020-12-25,US,USA,United States,12405,2817481,271023,12284,2744694,265184,74,10844,1063,Admin,,
2020-12-26,US,USA,United States,139375,2956856,264795,137097,2881791,259310,458,11302,1000,Admin,,
2020-12-27,US,USA,United States,94651,3051507,263201,92530,2974321,257807,487,11789,983,Admin,,
2020-12-28,US,USA,United States,583618,3635125,292003,571808,3546129,286038,2668,14457,1222,Admin,,
2020-12-29,US,USA,United States,712045,4347170,329684,694438,4240567,322514,4020,18477,1474,Admin,,
2020-12-30,US,USA,United States,831654,5178824,366997,814083,5054650,358918,6548,25025,2150,Admin,,
2020-12-31,US,USA,United States,415580,5594404,398475,407723,5462373,389995,2536,27561,2398,Admin,,
2021-01-01,US,USA,United States,66956,5661360,406268,62801,5525174,397211,3819,31380,2933,Admin,,
2021-01-02,US,USA,United States,257463,5918823,423138,249613,5774787,413285,2669,34049,3249,Admin,,
2021-01-03,US,USA,United States,135090,6053913,428915,128076,5902863,418363,2321,36370,3511,Admin,,
2021-01-04,US,USA,United States,642561,6696474,437335,586675,6489538,420487,44544,80914,9493,Admin,,
