Date,Location,ShortName,LongName,Administered_Daily,Administered_Cumulative,Administered_7_Day_Rolling_Average,Admin_Dose_1_Daily,Admin_Dose_1_Cumulative,Admin_Dose_1_Day_Rolling_Average,Series_Complete_Daily,Series_Complete_Cumulative,Series_Complete_Day_Rolling_Average,date_type,Administered_daily_change_report,Administered_daily_change_report_7dayroll
2020-12-13,US,USA,United States,32212,32212,32212,26677,26677,26677,6552,6552,6552,Admin,,
2020-12-14,US,USA,United States,4601,36813,18407,4440,31117,15559,128,6680,3340,Admin,,
2020-12-15,US,USA,United States,48003,84816,28272,45839,76956,25652,265,6945,2315,Admin,,
2020-12-16,US,USA,United States,159427,244243,61061,154208,231164,57791,453,7398,1850,Admin,,
2020-12-17,US,USA,United States,272723,516966,103393,265825,496989,99398,759,8157,1631,Admin,,
2020-12-18,US,USA,United States,416678,933644,155607,408225,905214,150869,1211,9368,1561,Admin,,
2020-12-19,US,USA,United States,182124,1115768,159395,178244,1083458,154780,1074,10442,1492,Admin,,
2020-12-20,US,USA,United States,105621,1221389,169882,103647,1187105,165775,729,11171,660,Admin,,
2020-12-21,US,USA,United States,382550,1603939,223875,375799,1562904,218827,1515,12686,858,Admin,,
2020-12-22,US,USA,United States,448484,2052423,281087,439805,2002709,275108,2966,15652,1244,Admin,,
2020-12-23,US,USA,United States,574872,2627295,340436,563309,2566018,333551,3083,18735,1620,Admin,,
2020-12-24,US,USA,United States,196131,2823426,329494,191291,2757309,322903,1113,19848,1670,Admin,,
2020-12-25,US,USA,United States,12730,2836156,271787,12567,2769876,266380,107,19955,1512,Admin,,
2020-12-26,US,USA,United States,141605,2977761,265999,138376,2908252,260685,962,20917,1496,Admin,,
2020-12-27,US,USA,United States,96366,3074127,264677,93675,3001927,259260,735,21652,1497,Admin,,
2020-12-28,US,USA,United States,591550,3665677,294534,577514,3579441,288077,4273,25925,1891,Admin,,
2020-12-29,US,USA,United States,722063,4387740,333617,703921,4283362,325808,5270,31195,2220,Admin,,
2020-12-30,US,USA,United States,843511,5231251,371994,824915,5108277,363180,7846,39041,2901,Admin,,
2020-12-31,US,USA,United States,420953,5652204,404111,411642,5519919,394659,3207,42248,3200,Admin,,
2021-01-01,US,USA,United States,108529,5760733,417797,98197,5618116,406891,7234,49482,4218,Admin,,
2021-01-02,US,USA,United States,264142,6024875,435302,256176,5874292,423720,2894,52376,4494,Admin,,
2021-01-03,US,USA,United States,139182,6164057,441419,132289,6006581,429236,2467,54843,4742,Admin,,
2021-01-04,US,USA,United States,657987,6822044,450910,600414,6606995,432508,44947,99790,10552,Admin,,
2021-01-05,US,USA,United States,831897,7653941,466600,732007,7339002,436520,87598,187388,22313,Admin,,
2021-01-06,US,USA,United States,1023445,8677386,492305,832424,8171426,437593,172722,360110,45867,Admin,,
2021-01-07,US,USA,United States,1170837,9848223,599431,867794,9039220,502757,281337,641447,85600,Admin,,
2021-01-08,US,USA,United States,1237154,11085377,760663,849170,9888390,610039,363902,1005349,136552,Admin,,
