Date,Location,ShortName,LongName,Administered_Daily,Administered_Cumulative,Administered_7_Day_Rolling_Average,Admin_Dose_1_Daily,Admin_Dose_1_Cumulative,Admin_Dose_1_Day_Rolling_Average,Series_Complete_Daily,Series_Complete_Cumulative,Series_Complete_Day_Rolling_Average,date_type,Administered_daily_change_report,Administered_daily_change_report_7dayroll
2020-12-13,US,USA,United States,25642,25642,25642,21619,21619,21619,4659,4659,4659,Admin,,
2020-12-14,US,USA,United States,4448,30090,15045,4308,25927,12964,100,4759,2379,Admin,,
2020-12-15,US,USA,United States,49183,79273,26424,46955,72882,24294,231,4990,1663,Admin,,
2020-12-16,US,USA,United States,159513,238786,59696,154030,226912,56728,440,5430,1357,Admin,,
2020-12-17,US,USA,United States,271982,510768,102153,264833,491745,98349,714,6144,1228,Admin,,
2020-12-18,US,USA,United States,414701,925469,154244,405750,897495,149583,1198,7342,1223,Admin,,
2020-12-19,US,USA,United States,181789,1107258,158179,177744,1075239,153606,1030,8372,1196,Admin,,
2020-12-20,US,USA,United States,105033,1212291,169521,103021,1178260,165234,750,9122,637,Admin,,
2020-12-21,US,USA,United States,382162,1594453,223480,375369,1553629,218243,1412,10534,825,Admin,,
2020-12-22,US,USA,United States,449258,2043711,280634,440402,1994031,274450,2728,13262,1181,Admin,,
2020-12-23,US,USA,United States,574925,2618636,339978,562196,2556227,332759,2819,16081,1521,Admin,,
2020-12-24,US,USA,United States,196382,2815018,329178,191149,2747376,322233,1146,17227,1583,Admin,,
2020-12-25,US,USA,United States,12657,2827675,271743,12511,2759887,266056,96,17323,1425,Admin,,
2020-12-26,US,USA,United States,141983,2969658,266057,138130,2898017,260397,919,18242,1410,Admin,,
2020-12-27,US,USA,United States,96648,3066306,264859,93364,2991381,259017,745,18987,1409,Admin,,
2020-12-28,US,USA,United States,588846,3655152,294385,574965,3566346,287531,3946,22933,1771,Admin,,
2020-12-29,US,USA,United States,719141,4374293,332940,700790,4267136,324729,5055,27988,2103,Admin,,
2020-12-30,US,USA,United States,840745,5215038,370914,822034,5089170,361849,6943,34931,2692,Admin,,
2020-12-31,US,USA,United States,418437,5633475,402636,408918,5498088,392959,3020,37951,2960,Admin,,
2021-01-01,US,USA,United States,92381,5725856,414025,84700,5582788,403272,5990,43941,3802,Admin,,
2021-01-02,US,USA,United States,263570,5989426,431395,254469,5837257,419891,2795,46736,4070,Admin,,
2021-01-03,US,USA,United States,138213,6127639,437333,130997,5968254,425268,2413,49149,4308,Admin,,
2021-01-04,US,USA,United States,654924,6782563,446773,595766,6564020,428239,45456,94605,10238,Admin,,
2021-01-05,US,USA,United States,827216,7609779,462212,726192,7290212,431868,87811,182416,22061,Admin,,
2021-01-06,US,USA,United States,1017871,8627650,487516,827933,8118145,432711,171742,354158,45603,Admin,,
2021-01-07,US,USA,United States,1167006,9794656,594454,864739,8982884,497828,278837,632995,85006,Admin,,
2021-01-08,US,USA,United States,1234607,11029263,757629,846339,9829223,606634,360978,993973,135718,Admin,,
2021-01-09,US,USA,United States,508888,11538151,792675,370487,10199710,623208,128054,1122027,153613,Admin,,
2021-01-10,US,USA,United States,250898,11789049,808772,176590,10376300,629721,68783,1190810,163094,Admin,,
2021-01-11,US,USA,United States,1068860,12857909,867906,722985,11099285,647895,321063,1511873,202466,Admin,,
2021-01-12,US,USA,United States,1256987,14114896,929302,915987,12015272,675009,313631,1825504,234726,Admin,,
2021-01-13,US,USA,United States,1319913,15434809,972451,1027506,13042778,703519,269199,2094703,248649,Admin,,
2021-01-14,US,USA,United States,1311443,16746252,993085,1153658,14196436,744793,134938,2229641,228092,Admin,,
2021-01-15,US,USA,United States,1256022,18002274,996144,1116764,15313200,783425,119650,2349291,193616,Admin,,
2021-01-16,US,USA,United States,648290,18650564,1016059,565632,15878832,811303,71563,2420854,185546,Admin,,
2021-01-17,US,USA,United States,305653,18956217,1023881,256167,16134999,822671,41966,2462820,181715,Admin,,
2021-01-18,US,USA,United States,883137,19839354,997349,637455,16772454,810453,226374,2689194,168188,Admin,,
2021-01-19,US,USA,United States,1342947,21182301,1009629,964117,17736571,817328,352472,3041666,173737,Admin,,
2021-01-20,US,USA,United States,1597600,22779901,1049298,1150693,18887264,834927,417000,3458666,194851,Admin,,
