Date,Location,ShortName,LongName,Administered_Daily,Administered_Cumulative,Administered_7_Day_Rolling_Average,Admin_Dose_1_Daily,Admin_Dose_1_Cumulative,Admin_Dose_1_Day_Rolling_Average,Series_Complete_Daily,Series_Complete_Cumulative,Series_Complete_Day_Rolling_Average,date_type,Administered_daily_change_report,Administered_daily_change_report_7dayroll
2020-12-13,US,USA,United States,24388,24388,24388,20623,20623,20623,4398,4398,4398,Admin,,
2020-12-14,US,USA,United States,4403,28791,14395,4264,24887,12444,99,4497,2248,Admin,,
2020-12-15,US,USA,United States,49087,77878,25959,46863,71750,23917,226,4723,1574,Admin,,
2020-12-16,US,USA,United States,159332,237210,59302,153860,225610,56403,429,5152,1288,Admin,,
2020-12-17,US,USA,United States,271513,508723,101744,264395,490005,98001,688,5840,1168,Admin,,
2020-12-18,US,USA,United States,414329,923052,153842,405388,895393,149232,1200,7040,1173,Admin,,
2020-12-19,US,USA,United States,181429,1104481,157783,177402,1072795,153256,1016,8056,1150,Admin,,
2020-12-20,US,USA,United States,104759,1209240,169264,102763,1175558,164991,737,8793,627,Admin,,
2020-12-21,US,USA,United States,381630,1590870,223154,374937,1550495,217944,1319,10112,802,Admin,,
2020-12-22,US,USA,United States,448867,2039737,280265,440221,1990716,274138,2531,12643,1131,Admin,,
2020-12-23,US,USA,United States,574230,2613967,339536,561707,2552423,332402,2630,15273,1445,Admin,,
2020-12-24,US,USA,United States,196202,2810169,328778,191013,2743436,321919,1109,16382,1506,Admin,,
2020-12-25,US,USA,United States,12635,2822804,271393,12492,2755928,265791,93,16475,1347,Admin,,
2020-12-26,US,USA,United States,141789,2964593,265730,138107,2894035,260177,751,17226,1310,Admin,,
2020-12-27,US,USA,United States,96540,3061133,264556,93303,2987338,258826,705,17931,1305,Admin,,
2020-12-28,US,USA,United States,588128,3649261,294055,574549,3561887,287342,3667,21598,1640,Admin,,
2020-12-29,US,USA,United States,718418,4367679,332563,700444,4262331,324516,4709,26307,1952,Admin,,
2020-12-30,US,USA,United States,839483,5207162,370456,821131,5083462,361577,6649,32956,2526,Admin,,
2020-12-31,US,USA,United States,417922,5625084,402130,408466,5491928,392642,2974,35930,2792,Admin,,
2021-01-01,US,USA,United States,89920,5715004,413171,82473,5574401,402639,5798,41728,3607,Admin,,
2021-01-02,US,USA,United States,262581,5977585,430427,253530,5827931,419128,2743,44471,3892,Admin,,
2021-01-03,US,USA,United States,136822,6114407,436182,129628,5957559,424317,2360,46831,4128,Admin,,
2021-01-04,US,USA,United States,653088,6767495,445462,594103,6551662,427111,45312,92143,10077,Admin,,
2021-01-05,US,USA,United States,825555,7593050,460767,724787,7276449,430588,87623,179766,21922,Admin,,
2021-01-06,US,USA,United States,1016353,8609403,486034,826698,8103147,431384,171473,351239,45469,Admin,,
2021-01-07,US,USA,United States,1165402,9774805,592817,863559,8966706,496397,278517,629756,84832,Admin,,
2021-01-08,US,USA,United States,1232894,11007699,756099,845438,9812144,605392,360446,990202,135496,Admin,,
2021-01-09,US,USA,United States,508150,11515849,791180,369878,10182022,622013,128211,1118413,153420,Admin,,
2021-01-10,US,USA,United States,249744,11765593,807312,175509,10357531,628567,68726,1187139,162901,Admin,,
2021-01-11,US,USA,United States,1067919,12833512,866573,722527,11080058,646914,320878,1508017,202267,Admin,,
2021-01-12,US,USA,United States,1256554,14090066,928145,915935,11995993,674221,313431,1821448,234526,Admin,,
2021-01-13,US,USA,United States,1319218,15409284,971411,1027233,13023226,702868,269091,2090539,248471,Admin,,
2021-01-14,US,USA,United States,1310807,16720091,992183,1153345,14176571,744266,134759,2225298,227934,Admin,,
2021-01-15,US,USA,United States,1255837,17975928,995461,1116944,15293515,783053,119430,2344728,193503,Admin,,
2021-01-16,US,USA,United States,647279,18623207,1015336,564792,15858307,810898,71509,2416237,185403,Admin,,
2021-01-17,US,USA,United States,305212,18928419,1023260,255847,16114154,822375,41873,2458110,181567,Admin,,
2021-01-18,US,USA,United States,883768,19812187,996953,638435,16752589,810362,226115,2684225,168029,Admin,,
2021-01-19,US,USA,United States,1342346,21154533,1009209,963998,17716587,817228,352111,3036336,173555,Admin,,
2021-01-20,US,USA,United States,1596810,22751343,1048865,1150438,18867025,834828,416653,3452989,194635,Admin,,
