Date,Location,ShortName,LongName,Administered_Daily,Administered_Cumulative,Administered_7_Day_Rolling_Average,Admin_Dose_1_Daily,Admin_Dose_1_Cumulative,Admin_Dose_1_Day_Rolling_Average,Admin_Dose_2_Daily,Admin_Dose_2_Cumulative,Admin_Dose_2_Day_Rolling_Average,date_type,Administered_daily_change_report,Administered_daily_change_report_7dayroll
2020-12-13,US,USA,United States,10824,10824,10824,9549,9549,9549,1160,1160,1160,Admin,,
2020-12-14,US,USA,United States,3570,14394,7197,3451,13000,6500,4,1164,582,Admin,,
2020-12-15,US,USA,United States,48699,63093,21031,45284,58284,19428,21,1185,395,Admin,,
2020-12-16,US,USA,United States,156983,220076,55019,150163,208447,52112,182,1367,342,Admin,,
2020-12-17,US,USA,United States,268522,488598,97720,257813,466260,93252,468,1835,367,Admin,,
2020-12-18,US,USA,United States,407434,896032,149339,396401,862661,143777,497,2332,389,Admin,,
2020-12-19,US,USA,United States,177842,1073874,153411,173352,1036013,148002,665,2997,428,Admin,,
2020-12-20,US,USA,United States,101390,1175264,166349,99299,1135312,160823,429,3426,324,Admin,,
2020-12-21,US,USA,United States,371980,1547244,218979,363896,1499208,212315,673,4099,419,Admin,,
2020-12-22,US,USA,United States,438306,1985550,274637,429387,1928595,267187,1796,5895,673,Admin,,
2020-12-23,US,USA,United States,554132,2539682,331372,542323,2470918,323210,1516,7411,863,Admin,,
2020-12-24,US,USA,United States,189916,2729598,320143,184420,2655338,312725,849,8260,918,Admin,,
2020-12-25,US,USA,United States,11844,2741442,263630,11763,2667101,257777,29,8289,851,Admin,,
2020-12-26,US,USA,United States,135871,2877313,257634,133469,2800570,252080,283,8572,796,Admin,,
2020-12-27,US,USA,United States,90927,2968240,256139,89116,2889686,250625,260,8832,772,Admin,,
2020-12-28,US,USA,United States,562944,3531184,283420,549315,3439001,277113,2022,10854,965,Admin,,
2020-12-29,US,USA,United States,689523,4220707,319308,669221,4108222,311375,2511,13365,1067,Admin,,
2020-12-30,US,USA,United States,807444,5028151,355496,785370,4893592,346096,4709,18074,1523,Admin,,
2020-12-31,US,USA,United States,405749,5433900,386329,394895,5288487,376164,1453,19527,1610,Admin,,
2021-01-01,US,USA,United States,37984,5471884,390063,36668,5325155,379722,679,20206,1702,Admin,,
2021-01-02,US,USA,United States,242112,5713996,405240,235805,5560960,394341,1751,21957,1912,Admin,,
2021-01-03,US,USA,United States,123606,5837602,409909,118000,5678960,398468,1846,23803,2139,Admin,,
2021-01-04,US,USA,United States,611868,6449470,416898,559002,6237962,399852,40665,64468,7659,Admin,,
2021-01-05,US,USA,United States,770348,7219818,428444,678283,6916245,401146,79611,144079,18673,Admin,,
2021-01-06,US,USA,United States,948493,8168311,448594,772371,7688616,399289,159956,304035,40852,Admin,,
2021-01-07,US,USA,United States,1088033,9256344,546063,810397,8499013,458647,260017,564052,77789,Admin,,
2021-01-08,US,USA,United States,1149685,10406029,704878,790765,9289778,566375,339958,904010,126258,Admin,,
2021-01-09,US,USA,United States,471967,10877996,737714,346260,9636038,582154,120624,1024634,143240,Admin,,
2021-01-10,US,USA,United States,228470,11106466,752695,161156,9797194,588319,65204,1089838,152291,Admin,,
2021-01-11,US,USA,United States,993685,12100151,807240,674455,10471649,604812,303279,1393117,189807,Admin,,
2021-01-12,US,USA,United States,1163832,13263983,863452,851359,11323008,629538,295091,1688208,220590,Admin,,
2021-01-13,US,USA,United States,1236188,14500171,904551,968471,12291479,657552,252500,1940708,233810,Admin,,
2021-01-14,US,USA,United States,1228710,15728881,924648,1093394,13384873,697980,122315,2063023,214139,Admin,,
2021-01-15,US,USA,United States,1166495,16895376,927050,1050744,14435617,735120,105450,2168473,180638,Admin,,
2021-01-16,US,USA,United States,602286,17497662,945667,536473,14972090,762293,61874,2230347,172245,Admin,,
2021-01-17,US,USA,United States,277556,17775218,952679,240691,15212781,773655,35466,2265813,167996,Admin,,
2021-01-18,US,USA,United States,796695,18571913,924537,590217,15802998,761621,201884,2467697,153511,Admin,,
2021-01-19,US,USA,United States,1247100,19819013,936433,914963,16717961,770708,318718,2786415,156887,Admin,,
2021-01-20,US,USA,United States,1501181,21320194,974289,1105270,17823231,790250,381970,3168385,175382,Admin,,
2021-01-21,US,USA,United States,1513416,22833610,1014961,1259062,19082293,813917,238583,3406968,191992,Admin,,
2021-01-22,US,USA,United States,1505135,24338745,1063338,1311119,20393412,851114,180339,3587307,202691,Admin,,
2021-01-23,US,USA,United States,841268,25180013,1097479,704005,21097417,875047,128606,3715913,212224,Admin,,
2021-01-24,US,USA,United States,357627,25537640,1108917,281662,21379079,880900,73008,3788921,217587,Admin,,
2021-01-25,US,USA,United States,1248234,26785874,1173423,805927,22185006,911715,430150,4219071,250196,Admin,,
2021-01-26,US,USA,United States,1538558,28324432,1215060,1010698,23195704,925392,511890,4730961,277792,Admin,,
2021-01-27,US,USA,United States,1782220,30106652,1255208,1185547,24381251,936860,577715,5308676,305756,Admin,,
2021-01-28,US,USA,United States,1795682,31902334,1295532,1291758,25673009,941531,490478,5799154,341741,Admin,,
2021-01-29,US,USA,United States,1747204,33649538,1330113,1288913,26961922,938359,434848,6234002,378099,Admin,,
2021-01-30,US,USA,United States,935549,34585087,1343582,717898,27679820,940343,209447,6443449,389648,Admin,,
2021-01-31,US,USA,United States,410642,34995729,1351156,304825,27984645,943652,103107,6546556,393948,Admin,,
2021-02-01,US,USA,United States,1179936,36175665,1341399,681885,28666530,925932,486825,7033381,402044,Admin,,
2021-02-02,US,USA,United States,1523044,37698709,1339182,894005,29560535,909262,615862,7649243,416897,Admin,,
2021-02-03,US,USA,United States,1937567,39636276,1361375,1182693,30743228,908854,739158,8388401,439961,Admin,,
2021-02-04,US,USA,United States,2108669,41744945,1406087,1296646,32039874,909552,799503,9187904,484107,Admin,,
2021-02-05,US,USA,United States,2141037,43885982,1462349,1272901,33312775,907265,855534,10043438,544205,Admin,,
2021-02-06,US,USA,United States,1175190,45061172,1496584,789450,34102225,917486,379457,10422895,568492,Admin,,
2021-02-07,US,USA,United States,399999,45461171,1495063,255817,34358042,910485,139254,10562149,573656,Admin,,
2021-02-08,US,USA,United States,1394722,46855893,1525747,771377,35129419,923270,614442,11176591,591887,Admin,,
2021-02-09,US,USA,United States,1746922,48602815,1557729,950671,36080090,931365,786998,11963589,616335,Admin,,
2021-02-10,US,USA,United States,2055312,50658127,1574550,1127858,37207948,923531,918553,12882142,641963,Admin,,
2021-02-11,US,USA,United States,2141997,52800124,1579311,1166606,38374554,904954,965705,13847847,665706,Admin,,
2021-02-12,US,USA,United States,2289653,55089777,1600542,1251312,39625866,901870,1026088,14873935,690071,Admin,,
2021-02-13,US,USA,United States,1317337,56407114,1620849,787706,40413572,901621,521596,15395531,710377,Admin,,
2021-02-14,US,USA,United States,524750,56931864,1638670,317099,40730671,910376,206271,15601802,719950,Admin,,
2021-02-15,US,USA,United States,1031140,57963004,1586730,557386,41288057,879805,465791,16067593,698715,Admin,,
2021-02-16,US,USA,United States,1389533,59352537,1535675,709651,41997708,845374,672848,16740441,682407,Admin,,
