Date,Location,ShortName,LongName,Administered_Daily,Administered_Cumulative,Administered_7_Day_Rolling_Average,Admin_Dose_1_Daily,Admin_Dose_1_Cumulative,Admin_Dose_1_Day_Rolling_Average,Series_Complete_Daily,Series_Complete_Cumulative,Series_Complete_Day_Rolling_Average,date_type,Administered_daily_change_report,Administered_daily_change_report_7dayroll
2020-12-13,US,USA,United States,31634,31634,31634,26222,26222,26222,6418,6418,6418,Admin,,
2020-12-14,US,USA,United States,4592,36226,18113,4431,30653,15327,125,6543,3272,Admin,,
2020-12-15,US,USA,United States,47968,84194,28065,45805,76458,25486,264,6807,2269,Admin,,
2020-12-16,US,USA,United States,159359,243553,60888,154147,230605,57651,449,7256,1814,Admin,,
2020-12-17,US,USA,United States,272588,516141,103228,265699,496304,99261,752,8008,1602,Admin,,
2020-12-18,US,USA,United States,416455,932596,155433,408017,904321,150720,1200,9208,1535,Admin,,
2020-12-19,US,USA,United States,182022,1114618,159231,178156,1082477,154640,1067,10275,1468,Admin,,
2020-12-20,US,USA,United States,105527,1220145,169787,103566,1186043,165689,721,10996,654,Admin,,
2020-12-21,US,USA,United States,382342,1602487,223752,375612,1561655,218715,1507,12503,851,Admin,,
2020-12-22,US,USA,United States,448184,2050671,280925,439573,2001228,274967,2902,15405,1228,Admin,,
2020-12-23,US,USA,United States,574553,2625224,340239,563099,2564327,333389,2983,18388,1590,Admin,,
2020-12-24,US,USA,United States,196061,2821285,329306,191229,2755556,322750,1107,19495,1641,Admin,,
2020-12-25,US,USA,United States,12714,2833999,271629,12554,2768110,266256,106,19601,1485,Admin,,
2020-12-26,US,USA,United States,141528,2975527,265844,138305,2906415,260563,958,20559,1469,Admin,,
2020-12-27,US,USA,United States,96292,3071819,264525,93604,3000019,259139,733,21292,1471,Admin,,
2020-12-28,US,USA,United States,591258,3663077,294370,577282,3577301,287949,4223,25515,1859,Admin,,
2020-12-29,US,USA,United States,721743,4384820,333450,703639,4280940,325673,5248,30763,2194,Admin,,
2020-12-30,US,USA,United States,842982,5227802,371797,824451,5105391,363009,7796,38559,2882,Admin,,
2020-12-31,US,USA,United States,420607,5648409,403875,411330,5516721,394452,3188,41747,3179,Admin,,
2021-01-01,US,USA,United States,106882,5755291,417327,96768,5613489,406483,7118,48865,4181,Admin,,
2021-01-02,US,USA,United States,263960,6019251,434818,256006,5869495,423297,2887,51752,4456,Admin,,
2021-01-03,US,USA,United States,139050,6158301,440926,132164,6001659,428806,2461,54213,4703,Admin,,
2021-01-04,US,USA,United States,657393,6815694,450374,599876,6601535,432033,44918,99131,10517,Admin,,
2021-01-05,US,USA,United States,831287,7646981,466023,731482,7333017,436011,87541,186672,22273,Admin,,
2021-01-06,US,USA,United States,1022838,8669819,491717,831959,8164976,437084,172617,359289,45819,Admin,,
2021-01-07,US,USA,United States,1170095,9839914,598786,867310,9032286,502224,281147,640436,85527,Admin,,
2021-01-08,US,USA,United States,1236144,11076058,760110,848443,9880729,609606,363691,1004127,136466,Admin,,
2021-01-09,US,USA,United States,508517,11584575,795046,370762,10251491,625999,128813,1132940,154455,Admin,,
2021-01-10,US,USA,United States,251551,11836126,811118,176644,10428135,632354,69696,1202636,164060,Admin,,
2021-01-11,US,USA,United States,1070347,12906473,870111,724563,11152698,650166,322882,1525518,203770,Admin,,
2021-01-12,US,USA,United States,1258763,14165236,931179,917904,12070602,676798,314766,1840284,236230,Admin,,
2021-01-13,US,USA,United States,1324042,15489278,974208,1030820,13101422,705207,270813,2111097,250258,Admin,,
2021-01-14,US,USA,United States,1316352,16805630,995102,1158053,14259475,746741,135976,2247073,229520,Admin,,
2021-01-15,US,USA,United States,1257489,18063119,998152,1117734,15377209,785211,121001,2368074,194850,Admin,,
2021-01-16,US,USA,United States,649457,18712576,1018286,567082,15944291,813257,72032,2440106,186738,Admin,,
2021-01-17,US,USA,United States,305992,19018568,1026063,256432,16200723,824655,42181,2482287,182807,Admin,,
2021-01-18,US,USA,United States,885814,19904382,999701,639202,16839925,812461,228195,2710482,169281,Admin,,
2021-01-19,US,USA,United States,1346698,21251080,1012263,966397,17806322,819389,357007,3067489,175315,Admin,,
2021-01-20,US,USA,United States,1603237,22854317,1052148,1155232,18961554,837162,421713,3489202,196872,Admin,,
2021-01-21,US,USA,United States,1632834,24487151,1097360,1331887,20293441,861995,275308,3764510,216777,Admin,,
2021-01-22,US,USA,United States,1628707,26115858,1150391,1394079,21687520,901473,210011,3974521,229492,Admin,,
2021-01-23,US,USA,United States,908994,27024852,1187468,744288,22431808,926788,151124,4125645,240791,Admin,,
2021-01-24,US,USA,United States,396119,27420971,1200343,300526,22732334,933087,88517,4214162,247411,Admin,,
2021-01-25,US,USA,United States,1374571,28795542,1270166,860754,23593088,964738,490238,4704400,284845,Admin,,
2021-01-26,US,USA,United States,1663510,30459052,1315425,1053678,24646766,977206,583039,5287439,317136,Admin,,
2021-01-27,US,USA,United States,1934914,32393966,1362807,1252346,25899112,991080,649503,5936942,349677,Admin,,
2021-01-28,US,USA,United States,1964188,34358154,1410143,1371456,27270568,996732,559231,6496173,390238,Admin,,
2021-01-29,US,USA,United States,1916523,36274677,1451260,1373867,28644435,993845,497011,6993184,431238,Admin,,
2021-01-30,US,USA,United States,1019592,37294269,1467060,759097,29403532,995961,243020,7236204,444366,Admin,,
2021-01-31,US,USA,United States,460265,37754534,1476223,322504,29726036,999100,127533,7363737,449939,Admin,,
2021-02-01,US,USA,United States,1388888,39143422,1478269,771997,30498033,986421,574985,7938722,462046,Admin,,
2021-02-02,US,USA,United States,1698422,40841844,1483256,963875,31461908,973592,700659,8639381,478849,Admin,,
2021-02-03,US,USA,United States,2141180,42983024,1512723,1261143,32723051,974848,835809,9475190,505464,Admin,,
2021-02-04,US,USA,United States,2348358,45331382,1567604,1389433,34112484,977417,914284,10389474,556186,Admin,,
2021-02-05,US,USA,United States,2357765,47689147,1630639,1355998,35468482,974864,962168,11351642,622637,Admin,,
2021-02-06,US,USA,United States,1303134,48992281,1671145,853580,36322062,988361,422664,11774306,648300,Admin,,
2021-02-07,US,USA,United States,445125,49437406,1668982,277378,36599440,981915,157151,11931457,652531,Admin,,
2021-02-08,US,USA,United States,1581425,51018831,1696487,837896,37437336,991329,706242,12637699,671282,Admin,,
2021-02-09,US,USA,United States,1976023,52994854,1736144,1037654,38474990,1001869,896900,13534599,699317,Admin,,
2021-02-10,US,USA,United States,2307429,55302283,1759894,1229701,39704691,997377,1037410,14572009,728117,Admin,,
2021-02-11,US,USA,United States,2408785,57711068,1768527,1277213,40981904,981346,1090864,15662873,753343,Admin,,
2021-02-12,US,USA,United States,2587454,60298522,1801339,1379332,42361236,984679,1158780,16821653,781430,Admin,,
2021-02-13,US,USA,United States,1476739,61775261,1826140,870307,43231543,987069,572544,17394197,802842,Admin,,
2021-02-14,US,USA,United States,593150,62368411,1847286,346727,43578270,996976,229455,17623652,813171,Admin,,
2021-02-15,US,USA,United States,1179598,63548009,1789883,610386,44188656,964474,535569,18159221,788789,Admin,,
2021-02-16,US,USA,United States,1622809,65170818,1739423,797120,44985776,930112,788535,18947756,773308,Admin,,
2021-02-17,US,USA,United States,1967248,67138066,1690826,933416,45919192,887786,991442,19939198,766741,Admin,,
2021-02-18,US,USA,United States,1859226,68997292,1612318,834054,46753246,824477,976048,20915246,750339,Admin,,
2021-02-19,US,USA,United States,1968880,70966172,1523950,824090,47577336,745157,1096693,22011939,741469,Admin,,
2021-02-20,US,USA,United States,1307154,72273326,1499724,596988,48174324,706112,680777,22692716,756931,Admin,,
2021-02-21,US,USA,United States,596452,72869778,1500195,254510,48428834,692938,323829,23016545,770413,Admin,,
2021-02-22,US,USA,United States,1463415,74333193,1540741,617664,49046498,693977,802808,23819353,808590,Admin,,
2021-02-23,US,USA,United States,1940560,76273753,1586134,867165,49913663,703984,1027240,24846593,842691,Admin,,
2021-02-24,US,USA,United States,2530774,78804527,1666637,1246068,51159731,748648,1235191,26081784,877512,Admin,,
2021-02-25,US,USA,United States,2941609,81746136,1821263,1537786,52697517,849182,1343135,27424919,929953,Admin,,
2021-02-26,US,USA,United States,3117763,84863899,1985390,1673873,54371390,970579,1384123,28809042,971015,Admin,,
2021-02-27,US,USA,United States,1997864,86861763,2084062,1141494,55512884,1048366,818176,29627218,990643,Admin,,
2021-02-28,US,USA,United States,856618,87718381,2121229,535161,56048045,1088459,295401,29922619,986582,Admin,,
2021-03-01,US,USA,United States,2057550,89775931,2206105,1202247,57250292,1171971,796234,30718853,985643,Admin,,
2021-03-02,US,USA,United States,2466709,92242640,2281270,1464768,58715060,1257342,961482,31680335,976249,Admin,,
2021-03-03,US,USA,United States,2906443,95149083,2334937,1743846,60458906,1328454,1123468,32803803,960288,Admin,,
2021-03-04,US,USA,United States,3206691,98355774,2372805,1957858,62416764,1388464,1244730,34048533,946231,Admin,,
2021-03-05,US,USA,United States,3232557,101588331,2389205,2005128,64421892,1435786,1307820,35356353,935330,Admin,,
2021-03-06,US,USA,United States,2061020,103649351,2398227,1351598,65773490,1465801,863295,36219648,941776,Admin,,
2021-03-07,US,USA,United States,925850,104575201,2408117,677893,66451383,1486191,343603,36563251,948662,Admin,,
2021-03-08,US,USA,United States,2167149,106742350,2423774,1483733,67935116,1526403,851954,37415205,956622,Admin,,
2021-03-09,US,USA,United States,2710560,109452910,2458610,1811059,69746175,1575874,1081553,38496758,973775,Admin,,
2021-03-10,US,USA,United States,3128004,112580914,2490262,2064526,71810701,1621685,1269575,39766333,994647,Admin,,
2021-03-11,US,USA,United States,3443361,116024275,2524072,2278940,74089641,1667554,1400682,41167015,1016926,Admin,,
2021-03-12,US,USA,United States,3430715,119454990,2552380,2119140,76208781,1683841,1529619,42696634,1048612,Admin,,
2021-03-13,US,USA,United States,2193097,121648087,2571248,1385719,77594500,1688716,1019077,43715711,1070866,Admin,,
2021-03-14,US,USA,United States,984657,122632744,2579649,648580,78243080,1684528,426876,44142587,1082762,Admin,,
2021-03-15,US,USA,United States,2285017,124917761,2596487,1499299,79742379,1686752,870060,45012647,1085349,Admin,,
2021-03-16,US,USA,United States,2891043,127808804,2622271,1931947,81674326,1704022,1049578,46062225,1080781,Admin,,
2021-03-17,US,USA,United States,3172211,130981015,2628586,2129528,83803854,1713308,1131470,47193695,1061052,Admin,,
2021-03-18,US,USA,United States,3406180,134387195,2623274,2297609,86101463,1715975,1205757,48399452,1033205,Admin,,
