Date,Location,ShortName,LongName,Administered_Daily,Administered_Cumulative,Administered_7_Day_Rolling_Average,Admin_Dose_1_Daily,Admin_Dose_1_Cumulative,Admin_Dose_1_Day_Rolling_Average,Admin_Dose_2_Daily,Admin_Dose_2_Cumulative,Admin_Dose_2_Day_Rolling_Average,date_type,Administered_daily_change_report,Administered_daily_change_report_7dayroll
2020-12-13,US,USA,United States,10141,10141,10141,8940,8940,8940,1107,1107,1107,Admin,,
2020-12-14,US,USA,United States,3539,13680,6840,3421,12361,6181,4,1111,556,Admin,,
2020-12-15,US,USA,United States,48535,62215,20738,45123,57484,19161,18,1129,376,Admin,,
2020-12-16,US,USA,United States,156891,219106,54777,150073,207557,51889,180,1309,327,Admin,,
2020-12-17,US,USA,United States,268068,487174,97435,257376,464933,92987,463,1772,354,Admin,,
2020-12-18,US,USA,United States,404597,891771,148629,393616,858549,143092,479,2251,375,Admin,,
2020-12-19,US,USA,United States,170385,1062156,151737,165908,1024457,146351,653,2904,415,Admin,,
2020-12-20,US,USA,United States,100663,1162819,164668,98620,1123077,159162,382,3286,311,Admin,,
2020-12-21,US,USA,United States,371540,1534359,217240,363499,1486576,210602,644,3930,403,Admin,,
2020-12-22,US,USA,United States,437491,1971850,272805,428594,1915170,265384,1778,5708,654,Admin,,
2020-12-23,US,USA,United States,553537,2525387,329469,541790,2456960,321343,1498,7206,842,Admin,,
2020-12-24,US,USA,United States,189748,2715135,318280,184295,2641255,310903,845,8051,897,Admin,,
2020-12-25,US,USA,United States,11800,2726935,262166,11728,2652983,256348,26,8077,832,Admin,,
2020-12-26,US,USA,United States,134630,2861565,257058,132254,2785237,251540,268,8345,777,Admin,,
2020-12-27,US,USA,United States,90375,2951940,255589,88574,2873811,250105,254,8599,759,Admin,,
2020-12-28,US,USA,United States,561269,3513209,282693,547824,3421635,276437,1986,10585,951,Admin,,
2020-12-29,US,USA,United States,687436,4200645,318399,667277,4088912,310535,2430,13015,1044,Admin,,
2020-12-30,US,USA,United States,804712,5005357,354281,782826,4871738,344968,4674,17689,1498,Admin,,
2020-12-31,US,USA,United States,404101,5409458,384903,393356,5265094,374834,1418,19107,1579,Admin,,
2021-01-01,US,USA,United States,37357,5446815,388554,36103,5301197,378316,628,19735,1665,Admin,,
2021-01-02,US,USA,United States,239704,5686519,403565,233440,5534637,392771,1716,21451,1872,Admin,,
2021-01-03,US,USA,United States,122302,5808821,408126,116715,5651352,396792,1831,23282,2098,Admin,,
2021-01-04,US,USA,United States,609393,6418214,415001,556742,6208094,398066,40532,63814,7604,Admin,,
2021-01-05,US,USA,United States,767091,7185305,426380,675460,6883554,399235,79257,143071,18579,Admin,,
