Date,Location,ShortName,LongName,Administered_Daily,Administered_Cumulative,Administered_7_Day_Rolling_Average,Admin_Dose_1_Daily,Admin_Dose_1_Cumulative,Admin_Dose_1_Day_Rolling_Average,Series_Complete_Daily,Series_Complete_Cumulative,Series_Complete_Day_Rolling_Average,date_type,Administered_daily_change_report,Administered_daily_change_report_7dayroll
2020-12-13,US,USA,United States,17077,17077,17077,14872,14872,14872,2710,2710,2710,Admin,,
2020-12-14,US,USA,United States,4190,21267,10633,4074,18946,9473,78,2788,1394,Admin,,
2020-12-15,US,USA,United States,48721,69988,23329,46146,65092,21697,163,2951,983,Admin,,
2020-12-16,US,USA,United States,159815,229803,57450,153042,218134,54534,323,3274,818,Admin,,
2020-12-17,US,USA,United States,272453,502256,100451,262750,480884,96177,515,3789,757,Admin,,
2020-12-18,US,USA,United States,414515,916771,152795,402968,883852,147309,858,4647,774,Admin,,
2020-12-19,US,USA,United States,181147,1097918,156845,176438,1060290,151470,897,5544,792,Admin,,
2020-12-20,US,USA,United States,104688,1202606,169361,101918,1162208,163905,591,6135,489,Admin,,
2020-12-21,US,USA,United States,380791,1583397,223161,372876,1535084,216591,1059,7194,629,Admin,,
2020-12-22,US,USA,United States,447055,2030452,280066,438343,1973427,272619,2290,9484,933,Admin,,
2020-12-23,US,USA,United States,570423,2600875,338724,558556,2531983,330550,1845,11329,1150,Admin,,
2020-12-24,US,USA,United States,194926,2795801,327649,189770,2721753,320124,825,12154,1195,Admin,,
2020-12-25,US,USA,United States,12466,2808267,270213,12344,2734097,264321,76,12230,1083,Admin,,
2020-12-26,US,USA,United States,140073,2948340,264346,137224,2871321,258719,481,12711,1023,Admin,,
2020-12-27,US,USA,United States,95358,3043698,263013,92643,2963964,257394,473,13184,1007,Admin,,
2020-12-28,US,USA,United States,584381,3628079,292097,572180,3536144,285866,2663,15847,1236,Admin,,
2020-12-29,US,USA,United States,712842,4340921,330067,695428,4231572,322592,3926,19773,1469,Admin,,
2020-12-30,US,USA,United States,833502,5174423,367649,815258,5046830,359264,6180,25953,2089,Admin,,
2020-12-31,US,USA,United States,417505,5591928,399446,408976,5455806,390579,2603,28556,2343,Admin,,
2021-01-01,US,USA,United States,75029,5666957,408384,69423,5525229,398733,4616,33172,2991,Admin,,
2021-01-02,US,USA,United States,258759,5925716,425339,250765,5775994,414953,2740,35912,3314,Admin,,
2021-01-03,US,USA,United States,135732,6061448,431107,128567,5904561,420085,2365,38277,3584,Admin,,
2021-01-04,US,USA,United States,644984,6706432,439764,588290,6492851,422387,44488,82765,9559,Admin,,
2021-01-05,US,USA,United States,817704,7524136,454745,720160,7213011,425920,86777,169542,21395,Admin,,
2021-01-06,US,USA,United States,1009512,8533648,479889,823742,8036753,427132,170141,339683,44818,Admin,,
2021-01-07,US,USA,United States,1152965,9686613,584955,856882,8893635,491118,276070,615753,83885,Admin,,
2021-01-08,US,USA,United States,1218335,10904948,748284,837720,9731355,600875,358033,973786,134373,Admin,,
2021-01-09,US,USA,United States,502588,11407536,783117,367242,10098597,617515,126852,1100638,152103,Admin,,
2021-01-10,US,USA,United States,246754,11654290,798977,173603,10272200,623948,68321,1168959,161526,Admin,,
2021-01-11,US,USA,United States,1058251,12712541,858015,718171,10990371,642503,319885,1488844,200868,Admin,,
