Date,Location,ShortName,LongName,Administered_Daily,Administered_Cumulative,Administered_7_Day_Rolling_Average,Admin_Dose_1_Daily,Admin_Dose_1_Cumulative,Admin_Dose_1_Day_Rolling_Average,Series_Complete_Daily,Series_Complete_Cumulative,Series_Complete_Day_Rolling_Average,date_type,Administered_daily_change_report,Administered_daily_change_report_7dayroll
2020-12-13,US,USA,United States,32404,32404,32404,26849,26849,26849,6569,6569,6569,Admin,,
2020-12-14,US,USA,United States,4608,37012,18506,4448,31297,15649,128,6697,3349,Admin,,
2020-12-15,US,USA,United States,48137,85149,28383,45967,77264,25755,267,6964,2321,Admin,,
2020-12-16,US,USA,United States,160100,245249,61312,154880,232144,58036,453,7417,1854,Admin,,
2020-12-17,US,USA,United States,273316,518565,103713,266418,498562,99712,765,8182,1636,Admin,,
2020-12-18,US,USA,United States,416847,935412,155902,408390,906952,151159,1214,9396,1566,Admin,,
2020-12-19,US,USA,United States,182239,1117651,159664,178367,1085319,155046,1074,10470,1496,Admin,,
2020-12-20,US,USA,United States,105780,1223431,170147,103809,1189128,166040,736,11206,662,Admin,,
2020-12-21,US,USA,United States,384593,1608024,224430,377835,1566963,219381,1527,12733,862,Admin,,
2020-12-22,US,USA,United States,448879,2056903,281679,440208,2007171,275701,2961,15694,1247,Admin,,
2020-12-23,US,USA,United States,575148,2632051,340972,563594,2570765,334089,3075,18769,1622,Admin,,
2020-12-24,US,USA,United States,196810,2828861,330042,191981,2762746,323455,1106,19875,1670,Admin,,
2020-12-25,US,USA,United States,12669,2841530,272303,12516,2775262,266901,100,19975,1511,Admin,,
2020-12-26,US,USA,United States,141860,2983390,266534,138643,2913905,261227,958,20933,1495,Admin,,
2020-12-27,US,USA,United States,96170,3079560,265161,93495,3007400,259753,736,21669,1495,Admin,,
2020-12-28,US,USA,United States,593518,3673078,295008,579486,3586886,288560,4274,25943,1887,Admin,,
2020-12-29,US,USA,United States,724211,4397289,334341,706097,4292983,326545,5257,31200,2215,Admin,,
2020-12-30,US,USA,United States,844246,5241535,372783,825650,5118633,363981,7865,39065,2899,Admin,,
2020-12-31,US,USA,United States,421613,5663148,404898,412277,5530910,395452,3212,42277,3200,Admin,,
2021-01-01,US,USA,United States,110893,5774041,418930,100271,5631181,407988,7403,49680,4244,Admin,,
2021-01-02,US,USA,United States,264487,6038528,436448,256448,5887629,424818,2968,52648,4531,Admin,,
2021-01-03,US,USA,United States,139326,6177854,442613,132390,6020019,430374,2506,55154,4784,Admin,,
2021-01-04,US,USA,United States,659866,6837720,452092,602131,6622150,433609,45099,100253,10616,Admin,,
2021-01-05,US,USA,United States,835121,7672841,467936,735183,7357333,437764,87655,187908,22387,Admin,,
2021-01-06,US,USA,United States,1025116,8697957,493775,833890,8191223,438941,172933,360841,45968,Admin,,
2021-01-07,US,USA,United States,1170799,9868756,600801,867646,9058869,503994,281426,642267,85713,Admin,,
2021-01-08,US,USA,United States,1236934,11105690,761664,848960,9907829,610950,363895,1006162,136640,Admin,,
2021-01-09,US,USA,United States,508827,11614517,796570,370930,10278759,627304,128928,1135090,154635,Admin,,
2021-01-10,US,USA,United States,251828,11866345,812642,176821,10455580,633652,69794,1204884,164247,Admin,,
2021-01-11,US,USA,United States,1070840,12937185,871352,723627,11179207,651008,324276,1529160,204130,Admin,,
2021-01-12,US,USA,United States,1259583,14196768,931990,918261,12097468,677162,315182,1844342,236633,Admin,,
2021-01-13,US,USA,United States,1324743,15521511,974793,1031342,13128810,705370,270977,2115319,250640,Admin,,
2021-01-14,US,USA,United States,1316702,16838213,995637,1158362,14287172,746900,136084,2251403,229877,Admin,,
