Date,Location,ShortName,LongName,Administered_Daily,Administered_Cumulative,Administered_7_Day_Rolling_Average,Admin_Dose_1_Daily,Admin_Dose_1_Cumulative,Admin_Dose_1_Day_Rolling_Average,Series_Complete_Daily,Series_Complete_Cumulative,Series_Complete_Day_Rolling_Average,date_type,Administered_daily_change_report,Administered_daily_change_report_7dayroll
2020-12-13,US,USA,United States,31695,31695,31695,26271,26271,26271,6431,6431,6431,Admin,,
2020-12-14,US,USA,United States,4592,36287,18144,4431,30702,15351,125,6556,3278,Admin,,
2020-12-15,US,USA,United States,47970,84257,28086,45807,76509,25503,264,6820,2273,Admin,,
2020-12-16,US,USA,United States,159365,243622,60906,154152,230661,57665,449,7269,1817,Admin,,
2020-12-17,US,USA,United States,272596,516218,103244,265705,496366,99273,754,8023,1605,Admin,,
2020-12-18,US,USA,United States,416469,932687,155448,408031,904397,150733,1200,9223,1537,Admin,,
2020-12-19,US,USA,United States,182026,1114713,159245,178158,1082555,154651,1068,10291,1470,Admin,,
2020-12-20,US,USA,United States,105536,1220249,169793,103572,1186127,165694,722,11013,655,Admin,,
2020-12-21,US,USA,United States,382348,1602597,223759,375616,1561743,218720,1509,12522,852,Admin,,
2020-12-22,US,USA,United States,448199,2050796,280934,439585,2001328,274974,2905,15427,1230,Admin,,
2020-12-23,US,USA,United States,574563,2625359,340248,563105,2564433,333396,2986,18413,1592,Admin,,
2020-12-24,US,USA,United States,196061,2821420,329315,191228,2755661,322756,1108,19521,1643,Admin,,
2020-12-25,US,USA,United States,12714,2834134,271635,12554,2768215,266260,106,19627,1486,Admin,,
2020-12-26,US,USA,United States,141529,2975663,265850,138305,2906520,260566,958,20585,1471,Admin,,
2020-12-27,US,USA,United States,96301,3071964,264531,93613,3000133,259144,733,21318,1472,Admin,,
2020-12-28,US,USA,United States,591264,3663228,294376,577286,3577419,287954,4223,25541,1860,Admin,,
2020-12-29,US,USA,United States,721754,4384982,333455,703646,4281065,325677,5250,30791,2195,Admin,,
2020-12-30,US,USA,United States,843003,5227985,371804,824463,5105528,363014,7800,38591,2883,Admin,,
2020-12-31,US,USA,United States,420619,5648604,403883,411337,5516865,394458,3188,41779,3180,Admin,,
2021-01-01,US,USA,United States,106982,5755586,417350,96858,5613723,406501,7126,48905,4183,Admin,,
2021-01-02,US,USA,United States,263964,6019550,434841,256012,5869735,423316,2882,51787,4457,Admin,,
2021-01-03,US,USA,United States,139063,6158613,440950,132177,6001912,428826,2461,54248,4704,Admin,,
2021-01-04,US,USA,United States,657414,6816027,450400,599891,6601803,432055,44920,99168,10518,Admin,,
2021-01-05,US,USA,United States,831313,7647340,466051,731497,7333300,436034,87545,186713,22275,Admin,,
2021-01-06,US,USA,United States,1022868,8670208,491746,831979,8165279,437107,172624,359337,45821,Admin,,
2021-01-07,US,USA,United States,1170127,9840335,598819,867330,9032609,502249,281153,640490,85530,Admin,,
2021-01-08,US,USA,United States,1236172,11076507,760132,848457,9881066,609620,363697,1004187,136469,Admin,,
2021-01-09,US,USA,United States,508538,11585045,795071,370783,10251849,626016,128812,1132999,154459,Admin,,
2021-01-10,US,USA,United States,251563,11836608,811142,176653,10428502,632370,69698,1202697,164064,Admin,,
2021-01-11,US,USA,United States,1070380,12906988,870137,724583,11153085,650183,322892,1525589,203774,Admin,,
2021-01-12,US,USA,United States,1258798,14165786,931207,917932,12071017,676817,314767,1840356,236235,Admin,,
2021-01-13,US,USA,United States,1324090,15489876,974238,1030849,13101866,705227,270828,2111184,250264,Admin,,
2021-01-14,US,USA,United States,1316382,16806258,995132,1158075,14259941,746762,135982,2247166,229525,Admin,,
2021-01-15,US,USA,United States,1257519,18063777,998181,1117752,15377693,785232,121007,2368173,194855,Admin,,
2021-01-16,US,USA,United States,649501,18713278,1018319,567092,15944785,813277,72034,2440207,186744,Admin,,
2021-01-17,US,USA,United States,306002,19019280,1026096,256439,16201224,824675,42181,2482388,182813,Admin,,
2021-01-18,US,USA,United States,885834,19905114,999732,639213,16840437,812479,228202,2710590,169286,Admin,,
2021-01-19,US,USA,United States,1346728,21251842,1012294,966413,17806850,819405,357015,3067605,175321,Admin,,
2021-01-20,US,USA,United States,1603278,22855120,1052178,1155256,18962106,837177,421720,3489325,196877,Admin,,
2021-01-21,US,USA,United States,1632858,24487978,1097389,1331895,20294001,862009,275319,3764644,216783,Admin,,
2021-01-22,US,USA,United States,1628746,26116724,1150421,1394104,21688105,901487,210015,3974659,229498,Admin,,
2021-01-23,US,USA,United States,909022,27025746,1187495,744306,22432411,926804,151127,4125786,240797,Admin,,
2021-01-24,US,USA,United States,396136,27421882,1200372,300534,22732945,933103,88520,4214306,247417,Admin,,
2021-01-25,US,USA,United States,1374583,28796465,1270193,860775,23593720,964755,490224,4704530,284849,Admin,,
2021-01-26,US,USA,United States,1663557,30460022,1315454,1053700,24647420,977224,583046,5287576,317139,Admin,,
2021-01-27,US,USA,United States,1934957,32394979,1362837,1252358,25899778,991096,649524,5937100,349682,Admin,,
2021-01-28,US,USA,United States,1964241,34359220,1410177,1371487,27271265,996752,559246,6496346,390243,Admin,,
2021-01-29,US,USA,United States,1916564,36275784,1451294,1373882,28645147,993863,497026,6993372,431245,Admin,,
2021-01-30,US,USA,United States,1019611,37295395,1467093,759106,29404253,995977,243026,7236398,444373,Admin,,
2021-01-31,US,USA,United States,460296,37755691,1476258,322510,29726763,999117,127540,7363938,449947,Admin,,
2021-02-01,US,USA,United States,1389041,39144732,1478324,772071,30498834,986445,575022,7938960,462061,Admin,,
2021-02-02,US,USA,United States,1698469,40843201,1483311,963890,31462724,973615,700685,8639645,478867,Admin,,
2021-02-03,US,USA,United States,2141236,42984437,1512780,1261160,32723884,974872,835829,9475474,505482,Admin,,
2021-02-04,US,USA,United States,2348418,45332855,1567662,1389453,34113337,977439,914313,10389787,556206,Admin,,
2021-02-05,US,USA,United States,2357819,47690674,1630699,1356017,35469354,974887,962196,11351983,622659,Admin,,
2021-02-06,US,USA,United States,1303160,48993834,1671206,853589,36322943,988384,422675,11774658,648323,Admin,,
2021-02-07,US,USA,United States,445143,49438977,1669041,277388,36600331,981938,157156,11931814,652554,Admin,,
2021-02-08,US,USA,United States,1581469,51020446,1696531,837913,37438244,991344,706257,12638071,671302,Admin,,
2021-02-09,US,USA,United States,1976071,52996517,1736188,1037676,38475920,1001885,896918,13534989,699335,Admin,,
2021-02-10,US,USA,United States,2307485,55304002,1759938,1229717,39705637,997393,1037439,14572428,728136,Admin,,
2021-02-11,US,USA,United States,2408882,57712884,1768576,1277241,40982878,981363,1090888,15663316,753361,Admin,,
2021-02-12,US,USA,United States,2587514,60300398,1801389,1379344,42362222,984695,1158813,16822129,781449,Admin,,
2021-02-13,US,USA,United States,1476783,61777181,1826192,870312,43232534,987084,572562,17394691,802862,Admin,,
2021-02-14,US,USA,United States,593171,62370352,1847339,346735,43579269,996991,229462,17624153,813191,Admin,,
2021-02-15,US,USA,United States,1179691,63550043,1789942,610397,44189666,964489,535588,18159741,788810,Admin,,
2021-02-16,US,USA,United States,1622850,65172893,1739482,797128,44986794,930125,788551,18948292,773329,Admin,,
2021-02-17,US,USA,United States,1967310,67140203,1690886,933432,45920226,887798,991459,19939751,766760,Admin,,
2021-02-18,US,USA,United States,1859275,68999478,1612371,834060,46754286,824487,976075,20915826,750359,Admin,,
2021-02-19,US,USA,United States,1968935,70968413,1524002,824104,47578390,745167,1096713,22012539,741487,Admin,,
2021-02-20,US,USA,United States,1307181,72275594,1499773,596994,48175384,706121,680787,22693326,756948,Admin,,
2021-02-21,US,USA,United States,596551,72872145,1500256,254518,48429902,692948,323844,23017170,770431,Admin,,
2021-02-22,US,USA,United States,1463458,74335603,1540794,617676,49047578,693987,802826,23819996,808608,Admin,,
2021-02-23,US,USA,United States,1940626,76276229,1586191,867176,49914754,703994,1027265,24847261,842710,Admin,,
2021-02-24,US,USA,United States,2530837,78807066,1666695,1246094,51160848,748660,1235219,26082480,877533,Admin,,
2021-02-25,US,USA,United States,2941674,81748740,1821323,1537805,52698653,849195,1343160,27425640,929973,Admin,,
2021-02-26,US,USA,United States,3117846,84866586,1985453,1673902,54372555,970595,1384157,28809797,971037,Admin,,
2021-02-27,US,USA,United States,1997935,86864521,2084132,1141505,55514060,1048382,818229,29628026,990671,Admin,,
2021-02-28,US,USA,United States,856644,87721165,2121289,535171,56049231,1088476,295414,29923440,986610,Admin,,
2021-03-01,US,USA,United States,2057762,89778927,2206189,1202337,57251568,1171999,796314,30719754,985680,Admin,,
2021-03-02,US,USA,United States,2466770,92245697,2281353,1464806,58716374,1257374,961497,31681251,976284,Admin,,
2021-03-03,US,USA,United States,2906488,95152185,2335017,1743870,60460244,1328485,1123480,32804731,960322,Admin,,
2021-03-04,US,USA,United States,3206743,98358928,2372884,1957882,62418126,1388496,1244747,34049478,946263,Admin,,
2021-03-05,US,USA,United States,3232622,101591550,2389281,2005150,64423276,1435817,1307854,35357332,935362,Admin,,
2021-03-06,US,USA,United States,2061059,103652609,2398298,1351616,65774892,1465833,863311,36220643,941802,Admin,,
2021-03-07,US,USA,United States,925865,104578474,2408187,677898,66452790,1486223,343613,36564256,948688,Admin,,
2021-03-08,US,USA,United States,2167195,106745669,2423820,1483753,67936543,1526425,851969,37416225,956639,Admin,,
2021-03-09,US,USA,United States,2710606,109456275,2458654,1811083,69747626,1575893,1081571,38497796,973792,Admin,,
2021-03-10,US,USA,United States,3128043,112584318,2490305,2064548,71812174,1621704,1269588,39767384,994665,Admin,,
2021-03-11,US,USA,United States,3443419,116027737,2524116,2278960,74091134,1667573,1400706,41168090,1016945,Admin,,
2021-03-12,US,USA,United States,3430779,119458516,2552424,2119173,76210307,1683862,1529643,42697733,1048629,Admin,,
