Date,Location,ShortName,LongName,Administered_Daily,Administered_Cumulative,Administered_7_Day_Rolling_Average,Admin_Dose_1_Daily,Admin_Dose_1_Cumulative,Admin_Dose_1_Day_Rolling_Average,Admin_Dose_2_Daily,Admin_Dose_2_Cumulative,Admin_Dose_2_Day_Rolling_Average,Series_Complete_Daily,Series_Complete_Cumulative,Series_Complete_Day_Rolling_Average,date_type,Administered_daily_change_report,Administered_daily_change_report_7dayroll
2020-12-13,US,USA,United States,12336,12336,12336,10819,10819,10819,1355,1355,1355,1401,1401,1401,Admin,,
2020-12-14,US,USA,United States,3676,16012,8006,3556,14375,7188,4,1359,680,7,1408,704,Admin,,
2020-12-15,US,USA,United States,49107,65119,21706,45681,60056,20019,25,1384,461,27,1435,478,Admin,,
2020-12-16,US,USA,United States,158594,223713,55928,151730,211786,52947,200,1584,396,206,1641,410,Admin,,
2020-12-17,US,USA,United States,271848,495561,99112,261003,472789,94558,489,2073,415,490,2131,426,Admin,,
2020-12-18,US,USA,United States,413182,908743,151457,401787,874576,145763,585,2658,443,585,2716,452,Admin,,
2020-12-19,US,USA,United States,180065,1088808,155544,175403,1049979,149997,705,3363,480,706,3422,488,Admin,,
2020-12-20,US,USA,United States,102864,1191672,168476,100684,1150663,162835,483,3846,356,516,3938,362,Admin,,
2020-12-21,US,USA,United States,377324,1568996,221854,368912,1519575,215029,803,4649,470,807,4745,476,Admin,,
2020-12-22,US,USA,United States,443554,2012550,278204,434406,1953981,270561,1910,6559,739,1911,6656,745,Admin,,
2020-12-23,US,USA,United States,561232,2573782,335724,549189,2503170,327341,1608,8167,940,1609,8265,946,Admin,,
2020-12-24,US,USA,United States,191721,2765503,324277,186200,2689370,316654,845,9012,991,846,9111,997,Admin,,
2020-12-25,US,USA,United States,11979,2777482,266962,11882,2701252,260954,42,9054,914,42,9153,919,Admin,,
2020-12-26,US,USA,United States,136845,2914327,260788,134388,2835640,255094,325,9379,859,327,9480,865,Admin,,
2020-12-27,US,USA,United States,91939,3006266,259227,90072,2925712,253578,306,9685,834,307,9787,835,Admin,,
2020-12-28,US,USA,United States,570120,3576386,286770,556030,3481742,280310,2214,11899,1036,2217,12004,1037,Admin,,
2020-12-29,US,USA,United States,699093,4275479,323275,678049,4159791,315116,2878,14777,1174,2880,14884,1175,Admin,,
2020-12-30,US,USA,United States,817049,5092528,359820,794314,4954105,350134,4934,19711,1649,4937,19821,1650,Admin,,
2020-12-31,US,USA,United States,410270,5502798,391042,398843,5352948,380511,1889,21600,1798,1889,21710,1799,Admin,,
