Date,Location,ShortName,LongName,Administered_Daily,Administered_Cumulative,Administered_7_Day_Rolling_Average,Admin_Dose_1_Daily,Admin_Dose_1_Cumulative,Admin_Dose_1_Day_Rolling_Average,Series_Complete_Daily,Series_Complete_Cumulative,Series_Complete_Day_Rolling_Average,date_type,Administered_daily_change_report,Administered_daily_change_report_7dayroll
2020-12-13,US,USA,United States,18263,18263,18263,15722,15722,15722,3059,3059,3059,Admin,,
2020-12-14,US,USA,United States,4227,22490,11245,4102,19824,9912,87,3146,1573,Admin,,
2020-12-15,US,USA,United States,48872,71362,23787,46294,66118,22039,166,3312,1104,Admin,,
2020-12-16,US,USA,United States,160131,231493,57873,153310,219428,54857,341,3653,913,Admin,,
2020-12-17,US,USA,United States,272944,504437,100887,263212,482640,96528,526,4179,835,Admin,,
2020-12-18,US,USA,United States,415177,919614,153269,403581,886221,147704,884,5063,843,Admin,,
2020-12-19,US,USA,United States,181377,1100991,157284,176631,1062852,151836,919,5982,854,Admin,,
2020-12-20,US,USA,United States,104870,1205861,169656,102091,1164943,164174,598,6580,503,Admin,,
2020-12-21,US,USA,United States,381278,1587139,223521,373311,1538254,216919,1091,7671,646,Admin,,
2020-12-22,US,USA,United States,447648,2034787,280489,438871,1977125,273001,2330,10001,955,Admin,,
2020-12-23,US,USA,United States,571103,2605890,339199,559159,2536284,330979,1897,11898,1177,Admin,,
2020-12-24,US,USA,United States,195172,2801062,328089,190002,2726286,320521,836,12734,1222,Admin,,
2020-12-25,US,USA,United States,12492,2813554,270562,12366,2738652,264633,79,12813,1107,Admin,,
2020-12-26,US,USA,United States,140255,2953809,264688,137363,2876015,259023,521,13334,1050,Admin,,
2020-12-27,US,USA,United States,95476,3049285,263346,92708,2968723,257683,520,13854,1039,Admin,,
2020-12-28,US,USA,United States,585019,3634304,292452,572641,3541364,286159,2810,16664,1284,Admin,,
2020-12-29,US,USA,United States,713583,4347887,330442,696043,4237407,322897,4016,20680,1525,Admin,,
2020-12-30,US,USA,United States,834306,5182193,368043,815968,5053375,359584,6256,26936,2148,Admin,,
2020-12-31,US,USA,United States,417961,5600154,399870,409371,5462746,390923,2647,29583,2407,Admin,,
2021-01-01,US,USA,United States,76845,5676999,409063,71013,5533759,399301,4768,34351,3076,Admin,,
2021-01-02,US,USA,United States,259196,5936195,426055,251151,5784910,415556,2778,37129,3399,Admin,,
2021-01-03,US,USA,United States,135988,6072183,431842,128799,5913709,420712,2374,39503,3664,Admin,,
2021-01-04,US,USA,United States,646030,6718213,440558,589151,6502860,423071,44238,83741,9582,Admin,,
2021-01-05,US,USA,United States,818699,7536912,455575,720922,7223782,426625,86187,169928,21321,Admin,,
2021-01-06,US,USA,United States,1010864,8547776,480797,824640,8048422,427864,169800,339728,44684,Admin,,
2021-01-07,US,USA,United States,1154914,9702690,586076,858145,8906567,491974,274317,614045,83494,Admin,,
2021-01-08,US,USA,United States,1220256,10922946,749421,838841,9745408,601664,355584,969629,133611,Admin,,
2021-01-09,US,USA,United States,503246,11426192,784285,367578,10112986,618297,126744,1096373,151320,Admin,,
2021-01-10,US,USA,United States,247341,11673533,800192,174019,10287005,624757,68206,1164579,160725,Admin,,
2021-01-11,US,USA,United States,1059680,12733213,859285,718905,11005910,643293,317574,1482153,199773,Admin,,
2021-01-12,US,USA,United States,1243726,13976939,920003,908549,11914459,670097,309985,1792138,231744,Admin,,
2021-01-13,US,USA,United States,1311879,15288818,963006,1023414,12937873,698493,267986,2060124,245770,Admin,,
2021-01-14,US,USA,United States,1301205,16590023,983904,1148467,14086340,739968,132636,2192760,225530,Admin,,
2021-01-15,US,USA,United States,1254120,17844143,988742,1119027,15205367,779994,118031,2310791,191594,Admin,,
2021-01-16,US,USA,United States,650965,18495108,1009845,569888,15775255,808896,70533,2381324,183564,Admin,,
2021-01-17,US,USA,United States,305607,18800715,1018168,256879,16032134,820733,41328,2422652,179724,Admin,,
2021-01-18,US,USA,United States,876752,19677467,992036,635720,16667854,808849,225744,2648396,166606,Admin,,
2021-01-19,US,USA,United States,1339450,21016917,1005711,969864,17637718,817608,347754,2996150,172001,Admin,,
2021-01-20,US,USA,United States,1612601,22629518,1048671,1173734,18811452,839083,415083,3411233,193015,Admin,,
2021-01-21,US,USA,United States,1629494,24259012,1095569,1337437,20148889,866078,267806,3679039,212325,Admin,,
2021-01-22,US,USA,United States,1613352,25872364,1146888,1386952,21535841,904353,203418,3882457,224523,Admin,,
2021-01-23,US,USA,United States,903431,26775795,1182955,741981,22277822,928938,147020,4029477,235450,Admin,,
2021-01-24,US,USA,United States,395110,27170905,1195741,301767,22579589,935351,86460,4115937,241897,Admin,,
2021-01-25,US,USA,United States,1354352,28525257,1263970,854545,23434134,966611,475837,4591774,277625,Admin,,
2021-01-26,US,USA,United States,1648742,30173999,1308154,1053335,24487469,978536,569508,5161282,309304,Admin,,
2021-01-27,US,USA,United States,1916059,32090058,1351505,1249317,25736786,989333,635085,5796367,340733,Admin,,
2021-01-28,US,USA,United States,1945170,34035228,1396602,1368154,27104940,993722,545294,6341661,380374,Admin,,
2021-01-29,US,USA,United States,1889054,35924282,1435988,1361571,28466511,990096,481548,6823209,420107,Admin,,
2021-01-30,US,USA,United States,1018042,36942324,1452361,764080,29230591,993253,236307,7059516,432862,Admin,,
2021-01-31,US,USA,United States,459942,37402266,1461623,326239,29556830,996749,124491,7184007,438295,Admin,,
2021-02-01,US,USA,United States,1346887,38749153,1460556,758820,30315650,983074,553546,7737553,449397,Admin,,
2021-02-02,US,USA,United States,1672052,40421205,1463886,962216,31277866,970057,679855,8417408,465160,Admin,,
2021-02-03,US,USA,United States,2124747,42545952,1493699,1264822,32542688,972272,817002,9234410,491149,Admin,,
2021-02-04,US,USA,United States,2327308,44873260,1548290,1394696,33937384,976063,892136,10126546,540697,Admin,,
2021-02-05,US,USA,United States,2333232,47206492,1611744,1357182,35294566,975436,934784,11061330,605445,Admin,,
2021-02-06,US,USA,United States,1295204,48501696,1651338,858415,36152981,988913,412445,11473775,630608,Admin,,
2021-02-07,US,USA,United States,446324,48948020,1649393,279865,36432846,982288,154334,11628109,634871,Admin,,
2021-02-08,US,USA,United States,1563198,50511218,1680295,839833,37272679,993861,690164,12318273,654388,Admin,,
