Date,Location,ShortName,LongName,Administered_Daily,Administered_Cumulative,Administered_7_Day_Rolling_Average,Admin_Dose_1_Daily,Admin_Dose_1_Cumulative,Admin_Dose_1_Day_Rolling_Average,Series_Complete_Daily,Series_Complete_Cumulative,Series_Complete_Day_Rolling_Average,date_type,Administered_daily_change_report,Administered_daily_change_report_7dayroll
2020-12-13,US,USA,United States,30433,30433,30433,25240,25240,25240,5929,5929,5929,Admin,,
2020-12-14,US,USA,United States,4582,35015,17508,4421,29661,14831,120,6049,3025,Admin,,
2020-12-15,US,USA,United States,49784,84799,28266,47453,77114,25705,265,6314,2105,Admin,,
2020-12-16,US,USA,United States,159940,244739,61185,154540,231654,57914,477,6791,1698,Admin,,
2020-12-17,US,USA,United States,272648,517387,103477,265517,497171,99434,753,7544,1509,Admin,,
2020-12-18,US,USA,United States,416442,933829,155638,407723,904894,150816,1214,8758,1460,Admin,,
2020-12-19,US,USA,United States,181899,1115728,159390,177962,1082856,154694,1062,9820,1403,Admin,,
2020-12-20,US,USA,United States,105352,1221080,170092,103404,1186260,165860,712,10532,658,Admin,,
2020-12-21,US,USA,United States,382036,1603116,224014,375281,1561541,218840,1499,12031,855,Admin,,
2020-12-22,US,USA,United States,447761,2050877,280868,439169,2000710,274799,2884,14915,1229,Admin,,
2020-12-23,US,USA,United States,575171,2626048,340187,562680,2563390,333105,2949,17864,1582,Admin,,
2020-12-24,US,USA,United States,196026,2822074,329241,190985,2754375,322458,1107,18971,1632,Admin,,
2020-12-25,US,USA,United States,12663,2834737,271558,12505,2766880,265998,105,19076,1474,Admin,,
2020-12-26,US,USA,United States,141964,2976701,265853,138016,2904896,260291,970,20046,1461,Admin,,
2020-12-27,US,USA,United States,96751,3073452,264625,93462,2998358,258871,727,20773,1463,Admin,,
2020-12-28,US,USA,United States,591240,3664692,294511,576783,3575141,287657,4200,24973,1849,Admin,,
2020-12-29,US,USA,United States,722164,4386856,333711,703042,4278183,325353,5255,30228,2188,Admin,,
2020-12-30,US,USA,United States,843568,5230424,372054,823649,5101832,362635,7786,38014,2879,Admin,,
2020-12-31,US,USA,United States,420720,5651144,404153,410693,5512525,394021,3167,41181,3173,Admin,,
2021-01-01,US,USA,United States,103966,5755110,417196,94201,5606726,405692,6900,48081,4144,Admin,,
2021-01-02,US,USA,United States,264592,6019702,434714,255692,5862418,422503,2863,50944,4414,Admin,,
2021-01-03,US,USA,United States,139026,6158728,440754,132010,5994428,428010,2456,53400,4661,Admin,,
2021-01-04,US,USA,United States,657623,6816351,450237,598303,6592731,431084,45809,99209,10605,Admin,,
2021-01-05,US,USA,United States,831888,7648239,465912,729879,7322610,434918,88512,187721,22499,Admin,,
2021-01-06,US,USA,United States,1021784,8670023,491371,831181,8153791,435994,172436,360157,46020,Admin,,
2021-01-07,US,USA,United States,1170452,9840475,598476,866670,9020461,501134,280905,641062,85697,Admin,,
2021-01-08,US,USA,United States,1236867,11077342,760319,847731,9868192,608781,363325,1004387,136615,Admin,,
2021-01-09,US,USA,United States,509157,11586499,795257,370567,10238759,625192,128675,1133062,154588,Admin,,
2021-01-10,US,USA,United States,251301,11837800,811296,176483,10415242,631545,69619,1202681,164183,Admin,,
2021-01-11,US,USA,United States,1071128,12908928,870368,723991,11139233,649500,322573,1525254,203721,Admin,,
2021-01-12,US,USA,United States,1258978,14167906,931381,917214,12056447,676262,314458,1839712,235999,Admin,,
2021-01-13,US,USA,United States,1324387,15492293,974610,1030102,13086549,704680,270533,2110245,250013,Admin,,
2021-01-14,US,USA,United States,1316953,16809246,995539,1157222,14243771,746187,135805,2246050,229284,Admin,,
2021-01-15,US,USA,United States,1257243,18066489,998450,1116768,15360539,784621,120742,2366792,194629,Admin,,
2021-01-16,US,USA,United States,649516,18716005,1018501,566285,15926824,812581,72000,2438792,186533,Admin,,
2021-01-17,US,USA,United States,305218,19021223,1026203,255793,16182617,823911,42092,2480884,182600,Admin,,
2021-01-18,US,USA,United States,885060,19906283,999622,638576,16821193,811709,227990,2708874,169089,Admin,,
2021-01-19,US,USA,United States,1346787,21253070,1012166,965561,17786754,818615,356566,3065440,175104,Admin,,
2021-01-20,US,USA,United States,1603029,22856099,1051972,1154060,18940814,836324,421156,3486596,196622,Admin,,
2021-01-21,US,USA,United States,1631379,24487478,1096890,1330128,20270942,861024,274945,3761541,216499,Admin,,
2021-01-22,US,USA,United States,1627676,26115154,1149809,1392526,21663468,900418,209654,3971195,229200,Admin,,
2021-01-23,US,USA,United States,907106,27022260,1186608,742707,22406175,925622,150840,4122035,240463,Admin,,
2021-01-24,US,USA,United States,395243,27417503,1199469,299791,22705966,931907,88418,4210453,247081,Admin,,
2021-01-25,US,USA,United States,1373332,28790835,1269222,859931,23565897,963529,489708,4700161,284470,Admin,,
2021-01-26,US,USA,United States,1662045,30452880,1314259,1052564,24618461,975958,582444,5282605,316738,Admin,,
