Date,Location,ShortName,LongName,Administered_Daily,Administered_Cumulative,Administered_7_Day_Rolling_Average,Admin_Dose_1_Daily,Admin_Dose_1_Cumulative,Admin_Dose_1_Day_Rolling_Average,Admin_Dose_2_Daily,Admin_Dose_2_Cumulative,Admin_Dose_2_Day_Rolling_Average,Series_Complete_Daily,Series_Complete_Cumulative,Series_Complete_Day_Rolling_Average,date_type,Administered_daily_change_report,Administered_daily_change_report_7dayroll
2020-12-13,US,USA,United States,13631,13631,13631,12136,12136,12136,1348,1348,1348,1544,1544,1544,Admin,,
2020-12-14,US,USA,United States,3972,17603,8801,3879,16015,8008,7,1355,678,43,1587,793,Admin,,
2020-12-15,US,USA,United States,49258,66861,22287,46835,62850,20950,33,1388,463,106,1693,564,Admin,,
2020-12-16,US,USA,United States,160403,227264,56816,153801,216651,54163,220,1608,402,285,1978,494,Admin,,
2020-12-17,US,USA,United States,273280,500544,100108,263632,480283,96057,505,2113,423,558,2536,507,Admin,,
2020-12-18,US,USA,United States,416391,916935,152822,404879,885162,147527,747,2860,477,763,3299,549,Admin,,
2020-12-19,US,USA,United States,182641,1099576,157082,177896,1063058,151865,882,3742,535,888,4187,598,Admin,,
2020-12-20,US,USA,United States,105357,1204933,170186,102620,1165678,164792,520,4262,416,593,4780,462,Admin,,
2020-12-21,US,USA,United States,380606,1585539,223990,372853,1538531,217502,928,5190,548,947,5727,591,Admin,,
2020-12-22,US,USA,United States,447120,2032659,280828,438086,1976617,273395,2157,7347,851,2174,7901,886,Admin,,
2020-12-23,US,USA,United States,568486,2601145,339125,557618,2534235,331083,1734,9081,1068,1745,9646,1095,Admin,,
2020-12-24,US,USA,United States,194701,2795846,327900,189685,2723920,320520,763,9844,1104,771,10417,1125,Admin,,
2020-12-25,US,USA,United States,12351,2808197,270180,12237,2736157,264428,69,9913,1008,69,10486,1026,Admin,,
2020-12-26,US,USA,United States,139008,2947205,263947,136763,2872920,258552,426,10339,942,431,10917,961,Admin,,
2020-12-27,US,USA,United States,94162,3041367,262347,92068,2964988,257044,417,10756,928,465,11382,943,Admin,,
2020-12-28,US,USA,United States,581652,3623019,291068,570076,3535064,285219,2487,13243,1150,2501,13883,1165,Admin,,
2020-12-29,US,USA,United States,709488,4332507,328549,692101,4227165,321507,3852,17095,1393,3863,17746,1406,Admin,,
2020-12-30,US,USA,United States,828344,5160851,365672,811058,5038223,357713,6315,23410,2047,6327,24073,2061,Admin,,
2020-12-31,US,USA,United States,414296,5575147,397043,406584,5444807,388698,2410,25820,2282,2421,26494,2296,Admin,,
2021-01-01,US,USA,United States,60807,5635954,403965,57204,5502011,395122,2865,28685,2682,3216,29710,2746,Admin,,
2021-01-02,US,USA,United States,255646,5891600,420627,248322,5750333,411059,2574,31259,2989,2591,32301,3054,Admin,,
2021-01-03,US,USA,United States,134052,6025652,426326,127428,5877761,416110,2243,33502,3249,2254,34555,3310,Admin,,
2021-01-04,US,USA,United States,639952,6665604,434655,584550,6462311,418178,44103,77605,9195,44144,78699,9259,Admin,,
2021-01-05,US,USA,United States,810585,7476189,449097,714825,7177136,421424,85946,163551,20922,85986,164685,20991,Admin,,
2021-01-06,US,USA,United States,1002868,8479057,474029,819284,7996420,422600,169009,332560,44164,169065,333750,44239,Admin,,
2021-01-07,US,USA,United States,1143123,9622180,578147,850231,8846651,485978,273869,606429,82944,273896,607646,83021,Admin,,
2021-01-08,US,USA,United States,1207142,10829322,741909,831321,9677972,596566,355014,961443,133251,355054,962700,133284,Admin,,
2021-01-09,US,USA,United States,498772,11328094,776642,365188,10043160,613261,126086,1087529,150896,126098,1088798,150928,Admin,,
2021-01-10,US,USA,United States,245041,11573135,792497,172812,10215972,619744,68072,1155601,160300,68091,1156889,160333,Admin,,
2021-01-11,US,USA,United States,1046667,12619802,850599,711815,10927787,637925,316990,1472591,199284,317023,1473912,199316,Admin,,
2021-01-12,US,USA,United States,1227938,13847740,910221,899982,11827769,664376,309426,1782017,231209,309473,1783385,231242,Admin,,
2021-01-13,US,USA,United States,1298290,15146030,952424,1014711,12842480,692294,266724,2048741,245169,266766,2050151,245200,Admin,,
2021-01-14,US,USA,United States,1289975,16436005,973403,1141413,13983893,733892,131827,2180568,224877,131856,2182007,224908,Admin,,
2021-01-15,US,USA,United States,1238263,17674268,977849,1107838,15091731,773394,116694,2297262,190831,116757,2298764,190866,Admin,,
2021-01-16,US,USA,United States,642772,18317040,998420,565591,15657322,802023,69978,2367240,182816,70000,2368764,182852,Admin,,
2021-01-17,US,USA,United States,298694,18615734,1006085,254958,15912280,813758,40918,2408158,178937,40926,2409690,178971,Admin,,
2021-01-18,US,USA,United States,863223,19478957,979879,630923,16543203,802202,222817,2630975,165483,222865,2632555,165520,Admin,,
2021-01-19,US,USA,United States,1322269,20801226,993355,962673,17505876,811158,344930,2975905,170555,344962,2977517,170590,Admin,,
2021-01-20,US,USA,United States,1596511,22397737,1035958,1165581,18671457,832711,412737,3388642,191414,412785,3390302,191450,Admin,,
2021-01-21,US,USA,United States,1612423,24010160,1082022,1327609,19999066,859310,265099,3653741,210453,265148,3655450,210491,Admin,,
2021-01-22,US,USA,United States,1599825,25609985,1133673,1378928,21377994,898038,202634,3856375,222730,202655,3858105,222763,Admin,,
2021-01-23,US,USA,United States,897790,26507775,1170105,739153,22117147,922832,146095,4002470,233604,146106,4004211,233635,Admin,,
2021-01-24,US,USA,United States,391370,26899145,1183344,299799,22416946,929238,85719,4088189,240004,85732,4089943,240036,Admin,,
2021-01-25,US,USA,United States,1337038,28236183,1251032,847617,23264563,960194,472455,4560644,275667,472480,4562423,275695,Admin,,
2021-01-26,US,USA,United States,1633484,29869667,1295491,1046408,24310971,972156,566231,5126875,307281,566262,5128685,307309,Admin,,
2021-01-27,US,USA,United States,1895754,31765421,1338240,1240117,25551088,982804,631580,5758455,338545,631606,5760291,338569,Admin,,
2021-01-28,US,USA,United States,1925297,33690718,1382936,1360025,26911113,987435,540983,6299438,377957,541029,6301320,377981,Admin,,
2021-01-29,US,USA,United States,1870535,35561253,1421609,1353123,28264236,983749,480561,6779999,417661,480599,6781919,417687,Admin,,
2021-01-30,US,USA,United States,1008558,36569811,1437433,758697,29022933,986541,235726,7015725,430465,235731,7017650,430491,Admin,,
2021-01-31,US,USA,United States,455370,37025181,1446576,324112,29347045,990014,123056,7138781,435799,123078,7140728,435826,Admin,,
2021-02-01,US,USA,United States,1312184,38337365,1443026,741976,30089021,974923,545213,7683994,446193,545617,7686345,446274,Admin,,
2021-02-02,US,USA,United States,1650914,39988279,1445516,954202,31043223,961750,677063,8361057,462026,677162,8363507,462117,Admin,,
2021-02-03,US,USA,United States,2101972,42090251,1474975,1256898,32300121,964148,814476,9175533,488154,814551,9178058,488252,Admin,,
2021-02-04,US,USA,United States,2304263,44394514,1529113,1385450,33685571,967780,889033,10064566,537875,889130,10067188,537981,Admin,,
2021-02-05,US,USA,United States,2308386,46702900,1591663,1348098,35033669,967062,932471,10997037,602434,932566,10999754,602547,Admin,,
2021-02-06,US,USA,United States,1283952,47986852,1631005,852126,35885795,980409,413103,11410140,627774,413163,11412917,627895,Admin,,
2021-02-07,US,USA,United States,443512,48430364,1629311,280046,36165841,974114,153638,11563778,632142,153670,11566587,632265,Admin,,
2021-02-08,US,USA,United States,1543100,49973464,1662299,832918,36998759,987105,685282,12249060,652152,685374,12251961,652230,Admin,,
2021-02-09,US,USA,United States,1934847,51908311,1702861,1035878,38034637,998773,873356,13122416,680194,873466,13125427,680274,Admin,,
2021-02-10,US,USA,United States,2258886,54167197,1725278,1219236,39253873,993393,1013909,14136325,708685,1014028,14139455,708771,Admin,,
2021-02-11,US,USA,United States,2365166,56532363,1733978,1269583,40523456,976841,1067197,15203522,734137,1067304,15206759,734224,Admin,,
2021-02-12,US,USA,United States,2539941,59072304,1767057,1373147,41896603,980419,1132881,16336403,762767,1133005,16339764,762858,Admin,,
2021-02-13,US,USA,United States,1454891,60527195,1791477,864379,42760982,982170,565601,16902004,784552,565673,16905437,784645,Admin,,
2021-02-14,US,USA,United States,579339,61106534,1810881,342036,43103018,991025,224917,17126921,794735,224944,17130381,794827,Admin,,
2021-02-15,US,USA,United States,1148569,62255103,1754519,608865,43711883,959018,515349,17642270,770459,515488,17645869,770558,Admin,,
2021-02-16,US,USA,United States,1591954,63847057,1705535,793743,44505626,924427,772484,18414754,756048,772573,18418442,756145,Admin,,
2021-02-17,US,USA,United States,1929600,65776657,1658494,927683,45433309,882777,974755,19389509,750455,974871,19393313,750551,Admin,,
2021-02-18,US,USA,United States,1820575,67597232,1580695,832734,46266043,820370,954407,20343916,734342,954516,20347829,734438,Admin,,
2021-02-19,US,USA,United States,1934118,69531350,1494149,833342,47099385,743255,1067997,21411913,725073,1068181,21416010,725178,Admin,,
2021-02-20,US,USA,United States,1292014,70823364,1470881,605674,47705059,706297,663104,22075017,739002,663179,22079189,739107,Admin,,
2021-02-21,US,USA,United States,585945,71409309,1471825,258455,47963514,694357,313772,22388789,751695,313836,22393025,751806,Admin,,
2021-02-22,US,USA,United States,1433029,72842338,1512462,627411,48590925,697006,775779,23164568,788900,775895,23168920,789007,Admin,,
2021-02-23,US,USA,United States,1905653,74747991,1557276,879374,49470299,709239,991878,24156446,820242,991994,24160914,820353,Admin,,
2021-02-24,US,USA,United States,2482265,77230256,1636228,1251422,50721721,755487,1194231,25350677,851595,1194379,25355293,851711,Admin,,
2021-02-25,US,USA,United States,2883740,80113996,1788109,1539613,52261334,856470,1297113,26647790,900553,1297337,26652630,900685,Admin,,
2021-02-26,US,USA,United States,3055113,83169109,1948251,1679700,53941034,977378,1333288,27981078,938452,1333444,27986074,938580,Admin,,
2021-02-27,US,USA,United States,1967928,85137037,2044810,1148054,55089088,1054861,791183,28772261,956749,791520,28777594,956915,Admin,,
2021-02-28,US,USA,United States,835731,85972768,2080494,536049,55625137,1094518,280888,29053149,952051,280990,29058584,952222,Admin,,
2021-03-01,US,USA,United States,1919975,87892743,2150057,1136250,56761387,1167209,742591,29795740,947310,745162,29803746,947832,Admin,,
2021-03-02,US,USA,United States,2395180,90287923,2219990,1441581,58202968,1247524,921878,30717618,937310,922879,30726625,937958,Admin,,
2021-03-03,US,USA,United States,2842078,93130001,2271392,1723662,59926630,1314987,1080281,31797899,921032,1091031,31817656,923194,Admin,,
2021-03-04,US,USA,United States,3134764,96264765,2307252,1938953,61865583,1372036,1155053,32952952,900737,1203791,33021447,909831,Admin,,
2021-03-05,US,USA,United States,3157956,99422721,2321944,1990666,63856249,1416459,1136758,34089710,872662,1261223,34282670,899513,Admin,,
2021-03-06,US,USA,United States,2017766,101440487,2329064,1337555,65193804,1443531,661631,34751341,854154,838695,35121365,906253,Admin,,
2021-03-07,US,USA,United States,908388,102348875,2339443,671346,65865150,1462859,227545,34978886,846534,333548,35454913,913761,Admin,,
2021-03-08,US,USA,United States,2111050,104459925,2366740,1464272,67329422,1509719,625525,35604411,829810,823125,36278038,924898,Admin,,
2021-03-09,US,USA,United States,2667072,107126997,2405582,1800835,69130257,1561041,844429,36448840,818746,1054730,37332768,943734,Admin,,
2021-03-10,US,USA,United States,3068487,110195484,2437926,2048486,71178743,1607445,994043,37442883,806426,1237007,38569775,964588,Admin,,
2021-03-11,US,USA,United States,3395995,113591479,2475244,2275061,73453804,1655460,1094401,38537284,797762,1366204,39935979,987790,Admin,,
2021-03-12,US,USA,United States,3374701,116966180,2506208,2116668,75570472,1673460,1224743,39762027,810331,1488276,41424255,1020226,Admin,,
2021-03-13,US,USA,United States,2168850,119135030,2527791,1390799,76961271,1681067,751659,40513686,823192,998687,42422942,1043082,Admin,,
2021-03-14,US,USA,United States,969551,120104581,2536529,647447,77608718,1677653,304865,40818551,834238,417301,42840243,1055047,Admin,,
2021-03-15,US,USA,United States,2235278,122339859,2554276,1487683,79096401,1680997,712534,41531085,846668,846240,43686483,1058349,Admin,,
2021-03-16,US,USA,United States,2838032,125177891,2578699,1922863,81019264,1698430,885699,42416784,852563,1020138,44706621,1053407,Admin,,
2021-03-17,US,USA,United States,3117268,128295159,2585667,2124461,83143725,1709283,964875,43381659,848397,1098233,45804854,1033582,Admin,,
2021-03-18,US,USA,United States,3357442,131652601,2580160,2295733,85439458,1712236,1035247,44416906,839946,1178087,46982941,1006708,Admin,,
2021-03-19,US,USA,United States,3279012,134931613,2566490,2214597,87654055,1726226,1035478,45452384,812908,1189455,48172396,964020,Admin,,
2021-03-20,US,USA,United States,2125287,137056900,2560267,1407701,89061756,1728641,700429,46152813,805590,842832,49015228,941755,Admin,,
2021-03-21,US,USA,United States,1000719,138057619,2564719,681365,89743121,1733486,309660,46462473,806275,360524,49375752,933644,Admin,,
