Date,Location,ShortName,LongName,Census2019,Doses_Distributed,Doses_Administered,Dist_Per_100K,Admin_Per_100K,Administered_Dose1,Administered_Dose2,Administered_Dose_Other,Administered_Dose1_Per_100K,Administered_Dose2_Per_100K,Administered_Pfizer,Administered_Moderna,Administered_Unk_Manuf,doses_distributed,doses_distributed_daily,doses_distributed_daily_7day_avg,doses_administered,doses_administered_daily,doses_administered_daily_7day_avg,administered_dose1_adj,administered_dose1_daily_adj,administered_dose1_daily_7day_avg_adj,administered_dose2_adj,administered_dose2_daily_adj,administered_dose2_daily_7day_avg_adj,administered_pfizer,administered_pfizer_daily,administered_pfizer_daily_7day_avg,administered_moderna,administered_moderna_daily,administered_moderna_daily_7day_avg
2020-12-14,AK,AKA,Alaska,731545,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-15,AK,AKA,Alaska,731545,,,,,,,,,,,,,3089.0625,3089.0625,1544.53125,799.9375,799.9375,399.96875,799.9375,799.9375,399.96875,0,0,0,799.9375,799.9375,399.96875,0,0,0
2020-12-16,AK,AKA,Alaska,731545,,,,,,,,,,,,,6178.125,3089.0625,2059.375,1599.875,799.9375,533.2916667,1599.875,799.9375,533.2916667,0,0,0,1599.875,799.9375,533.2916667,0,0,0
2020-12-17,AK,AKA,Alaska,731545,,,,,,,,,,,,,9267.1875,3089.0625,2316.796875,2399.8125,799.9375,599.953125,2399.8125,799.9375,599.953125,0,0,0,2399.8125,799.9375,599.953125,0,0,0
2020-12-18,AK,AKA,Alaska,731545,,,,,,,,,,,,,12356.25,3089.0625,2471.25,3199.75,799.9375,639.95,3199.75,799.9375,639.95,0,0,0,3199.75,799.9375,639.95,0,0,0
2020-12-19,AK,AKA,Alaska,731545,,,,,,,,,,,,,15445.3125,3089.0625,2574.21875,3999.6875,799.9375,666.6145833,3999.6875,799.9375,666.6145833,0,0,0,3999.6875,799.9375,666.6145833,0,0,0
2020-12-20,AK,AKA,Alaska,731545,,,,,,,,,,,,,18534.375,3089.0625,2647.767857,4799.625,799.9375,685.6607143,4799.625,799.9375,685.6607143,0,0,0,4799.625,799.9375,685.6607143,0,0,0
2020-12-21,AK,AKA,Alaska,731545,,,,,,,,,,,,,21623.4375,3089.0625,3089.0625,5599.5625,799.9375,799.9375,5599.5625,799.9375,799.9375,0,0,0,5599.5625,799.9375,799.9375,0,0,0
2020-12-22,AK,AKA,Alaska,731545,,,,,,,,,,,,,24712.5,3089.0625,3089.0625,6399.5,799.9375,799.9375,6399.5,799.9375,799.9375,0,0,0,6139.558824,539.9963235,762.8030462,259.9411765,259.9411765,37.13445378
2020-12-23,AK,AKA,Alaska,731545,,,,,,,,,,,,,27801.5625,3089.0625,3089.0625,7199.4375,799.9375,799.9375,7199.4375,799.9375,799.9375,0,0,0,6679.555147,539.9963235,725.6685924,519.8823529,259.9411765,74.26890756
